,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,1inch,total,total,total,total,,1.6579327578307275,2486899136.7460914,690218313.7495493,2486899136.7460914,62009535.62266839,0.02493447953172838,1576.9213606670874,437.6614983667542,1576.9213606670874,437.6614983667542,,,1751.6529850279278,0.0,1751.6529850279278,
1,2022-02-17T00:00:00+00:00,1inch,total,total,total,total,,1.8133537300299776,2720030595.044966,755673629.9075192,2720030595.044966,59100735.70871341,0.021727967257565494,1690.4226190022648,469.62993684933144,1690.4226190022648,469.62993684933144,,312062.0793110525,2378.4290798602183,0.0,2378.4290798602183,
2,2022-02-16T00:00:00+00:00,1inch,total,total,total,total,,1.796169476988603,2694254215.4829044,747958012.5712961,2694254215.4829044,40766284.02483243,0.015130823138575172,1652.5034548888536,458.75522539150313,1652.5034548888536,458.75522539150313,,,1487.5043695268791,0.0,1487.5043695268791,
3,2022-02-15T00:00:00+00:00,1inch,total,total,total,total,,1.7026976476062043,2554046471.4093065,707836389.514277,2554046471.4093065,56943236.08251659,0.02229530148333428,1546.7295323809583,428.66543738004987,1546.7295323809583,428.66543738004987,,327445.90219006815,1952.8213823772523,0.0,1952.8213823772523,
4,2022-02-14T00:00:00+00:00,1inch,total,total,total,total,,1.6651291469610636,2497693720.4415956,691947014.8670207,2497693720.4415956,35980822.94195806,0.014405618530200174,1490.5788252706107,412.9415709095174,1490.5788252706107,412.9415709095174,,,1758.7703403645091,0.0,1758.7703403645091,
5,2022-02-13T00:00:00+00:00,1inch,total,total,total,total,,1.6848295930835835,2527244389.6253753,700094868.2919073,2527244389.6253753,42557808.849705875,0.01683960958600225,1436.4618623543001,397.9273165902072,1436.4618623543001,397.9273165902072,,131153.84930266568,824.5044467105042,0.0,824.5044467105042,
6,2022-02-12T00:00:00+00:00,1inch,total,total,total,total,,1.7106963100108714,2566044465.0163074,708508323.9510874,2566044465.0163074,56410608.10683491,0.021983488156927328,1362.1066911043383,376.0901036259959,1362.1066911043383,376.0901036259959,,,1151.948319817996,0.0,1151.948319817996,
7,2022-02-11T00:00:00+00:00,1inch,total,total,total,total,,1.8028303550441656,2704245532.5662484,844805615.4554602,2704245532.5662484,71933466.82737404,0.026600198081537116,1392.21254672649,434.92684492519277,1392.21254672649,434.92684492519277,,379908.408118738,3667.9778393182773,0.0,3667.9778393182773,
8,2022-02-10T00:00:00+00:00,1inch,total,total,total,total,,1.9296249499102522,2894437424.8653784,902543101.6287981,2894437424.8653784,58393308.93353551,0.02017432072702398,1485.6960383181347,463.26954557106484,1485.6960383181347,463.26954557106484,,,2146.5379289352873,0.0,2146.5379289352873,
9,2022-02-09T00:00:00+00:00,1inch,total,total,total,total,,1.8621469952479512,2793220492.871927,873124965.3042003,2793220492.871927,82270473.01649514,0.029453626459652126,1387.8977772655792,433.8390763325782,1387.8977772655792,433.8390763325782,,272793.9974774078,2251.317657622896,0.0,2251.317657622896,
10,2022-02-08T00:00:00+00:00,1inch,total,total,total,total,,1.9400032255197392,2910004838.2796087,909332109.5200831,2910004838.2796087,67192266.19340058,0.023090087449175706,1429.2913294552447,446.6317315474579,1429.2913294552447,446.6317315474579,,,2472.0877375585997,0.0,2472.0877375585997,
11,2022-02-07T00:00:00+00:00,1inch,total,total,total,total,,1.8625384373446543,2793807656.0169816,872530850.7150925,2793807656.0169816,56831762.39959909,0.02034204547947364,1341.327129592912,418.90833069713045,1341.327129592912,418.90833069713045,,283673.2839237223,2597.6528896185605,0.0,2597.6528896185605,
12,2022-02-06T00:00:00+00:00,1inch,total,total,total,total,,1.7919084864355195,2687862729.6532793,841316402.4711099,2687862729.6532793,58898933.11498079,0.021912924519987838,1246.1680103844008,390.0577123246267,1246.1680103844008,390.0577123246267,,,712.4792805181743,0.0,712.4792805181743,
13,2022-02-05T00:00:00+00:00,1inch,total,total,total,total,,1.761711364108698,2642567046.1630473,819701884.3941526,2642567046.1630473,62191836.91098511,0.02353462970836875,1172.9203512383144,363.8299446556317,1172.9203512383144,363.8299446556317,,260728.0326329028,1923.81683859932,0.0,1923.81683859932,
14,2022-02-04T00:00:00+00:00,1inch,total,total,total,total,,1.6524243771647247,2478636565.747087,770763364.3100177,2478636565.747087,42626697.98005282,0.017197639447881174,1064.951723699048,331.1601969926661,1064.951723699048,331.1601969926661,,,2795.4662476686817,0.0,2795.4662476686817,
15,2022-02-03T00:00:00+00:00,1inch,total,total,total,total,,1.6248703155062347,2437305473.259352,760769074.5785512,2437305473.259352,49494510.80397688,0.02030706095194092,1046.6213355765708,326.6874643480636,1046.6213355765708,326.6874643480636,,249603.2343813712,3123.073714754578,0.0,3123.073714754578,
16,2022-02-02T00:00:00+00:00,1inch,total,total,total,total,,1.7087060685408948,2563059102.8113422,801871964.7155212,2563059102.8113422,51149441.330221504,0.019956403375215665,1083.3477454647532,338.9333410895966,1083.3477454647532,338.9333410895966,,,2653.13062629829,0.0,2653.13062629829,
17,2022-02-01T00:00:00+00:00,1inch,total,total,total,total,,1.6878052009493403,2531707801.4240103,788689974.5025829,2531707801.4240103,43594016.56594689,0.01721921326838214,1070.4918213843523,333.48483851017977,1070.4918213843523,333.48483851017977,,283994.7685417951,1652.0202880483516,0.0,1652.0202880483516,
18,2022-01-31T00:00:00+00:00,1inch,total,total,total,total,,1.6613275724150351,2491991358.622553,780702174.3560541,2491991358.622553,44014943.29233023,0.01766255855584486,1044.2050561347064,327.13322017639723,1044.2050561347064,327.13322017639723,,,25737.327678181737,0.0,25737.327678181737,
19,2022-01-30T00:00:00+00:00,1inch,total,total,total,total,,1.7144642627557019,2571696394.1335526,801508636.5223519,2571696394.1335526,65058547.27667516,0.025297911302859865,1206.3470156485525,375.976555355028,1206.3470156485525,375.976555355028,,310843.4972122413,3081.6708313870818,0.0,3081.6708313870818,
20,2022-01-29T00:00:00+00:00,1inch,total,total,total,total,,1.6508340689087257,2476251103.3630886,771913770.6761535,2476251103.3630886,69092079.45574608,0.027901887398216425,1156.7665213189878,360.595097181608,1156.7665213189878,360.595097181608,,,1716.0816806558832,0.0,1716.0816806558832,
21,2022-01-28T00:00:00+00:00,1inch,total,total,total,total,,1.5926490890528142,2388973633.5792212,745542418.0853341,2388973633.5792212,61462398.62187693,0.02572753326280642,1071.8009741020012,334.4838464127504,1071.8009741020012,334.4838464127504,,512281.5733218734,5012.265210923958,0.0,5012.265210923958,
22,2022-01-27T00:00:00+00:00,1inch,total,total,total,total,,1.6227338201338097,2434100730.2007146,764296004.5987737,2434100730.2007146,99106030.99124765,0.04071566544539651,1067.438708188278,335.17065653856633,1067.438708188278,335.17065653856633,,,4613.286575761626,0.0,4613.286575761626,
23,2022-01-26T00:00:00+00:00,1inch,total,total,total,total,,1.5972490591692925,2395873588.7539387,749265609.4347906,2395873588.7539387,65793111.06272119,0.027461011036454264,1049.9819697625398,328.36264156942906,1049.9819697625398,328.36264156942906,,678763.6637587325,6082.918361373017,0.0,6082.918361373017,
24,2022-01-25T00:00:00+00:00,1inch,total,total,total,total,,1.5865874098874901,2379881114.8312354,744819408.6813496,2379881114.8312354,90452644.66242792,0.03800721141015575,1028.7345697167382,321.9578781189743,1028.7345697167382,321.9578781189743,,,2788.780264319414,0.0,2788.780264319414,
25,2022-01-24T00:00:00+00:00,1inch,total,total,total,total,,1.6874058651650896,2531108797.7476344,788166180.6269383,2531108797.7476344,76609837.81490825,0.030267303358544398,1065.854870019175,331.8983216972701,1065.854870019175,331.8983216972701,,894591.0884895037,7937.308980043702,0.0,7937.308980043702,
26,2022-01-23T00:00:00+00:00,1inch,total,total,total,total,,1.6110551633105872,2416582744.965881,753231487.3479259,2416582744.965881,126096273.38626537,0.05217958029740285,1017.7928919321747,317.2387353171483,1017.7928919321747,317.2387353171483,,,5832.520916228875,0.0,5832.520916228875,
27,2022-01-22T00:00:00+00:00,1inch,total,total,total,total,,1.8314833542385354,2747225031.357803,858730614.803976,2747225031.357803,127638637.42038116,0.04646093274612323,1145.7889751865182,358.15197512641936,1145.7889751865182,358.15197512641936,,1150060.2158499204,13832.901352086503,0.0,13832.901352086503,
28,2022-01-21T00:00:00+00:00,1inch,total,total,total,total,,2.04293539015826,3064403085.2373896,959917347.0613481,3064403085.2373896,80849464.02911031,0.026383429914490886,1340.3436106741085,419.85960956218275,1340.3436106741085,419.85960956218275,,,8600.953166779134,0.0,8600.953166779134,
29,2022-01-20T00:00:00+00:00,1inch,total,total,total,total,,2.0941482502563535,3141222375.3845305,983807737.0473105,3141222375.3845305,68484286.54190806,0.02180179508415879,1411.1132999359745,441.9503035525877,1411.1132999359745,441.9503035525877,,753613.5769522421,6437.159627385889,0.0,6437.159627385889,
30,2022-01-19T00:00:00+00:00,1inch,total,total,total,total,,2.192094406051863,3288141609.077794,970876771.1615937,3288141609.077794,71598382.44478266,0.021774725956788536,1473.0255510507654,434.93451951535434,1473.0255510507654,434.93451951535434,,,4967.690566858339,0.0,4967.690566858339,
