,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.00539062597486084,1132031454.7207763,448832580.58991826,1132031454.7207763,42484131.25422729,0.0375291084687274,,,,,3086763821.498794,,,,,
1,2022-02-17T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.00601813793738553,1263808966.8509612,500832641.7181225,1263808966.8509612,36348882.55194229,0.028761374151754098,,,,,3171624345.3335547,,,,,
2,2022-02-16T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.006120856856841149,1285379939.9366415,505822450.48039246,1285379939.9366415,41725220.537653744,0.03246139078513272,,,,,3180963795.438445,,,,,
3,2022-02-15T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.005660148833595082,1188631255.0549672,466036385.78076047,1188631255.0549672,65885395.3449649,0.05542963392958911,,,,,3090382152.755912,,,,,
4,2022-02-14T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.005799626834443685,1217921635.2331738,477307320.90149665,1217921635.2331738,44202458.86663863,0.036293352205846945,,,,,3100641514.504608,,,,,
5,2022-02-13T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.006151927356818323,1291904744.9318478,506540565.2840794,1291904744.9318478,46882596.06709607,0.03628951457219803,,,,,3135970484.7483687,,,,,
6,2022-02-12T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.006200949607720812,1302199417.6213706,511857485.8778663,1302199417.6213706,75363554.30113564,0.057874050073526036,,,,,3165604698.387262,,,,,
7,2022-02-11T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.00698295813202357,1466421207.7249496,575958747.3300021,1466421207.7249496,80034058.82779387,0.05457781052686843,,,,,3270879400.584564,,,,,
8,2022-02-10T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.007434591796422608,1561264277.2487478,613439657.4687123,1561264277.2487478,78359242.27690338,0.05018960813923678,,,,,3299853475.8057685,,,,,
9,2022-02-09T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.007267960344086863,1526271672.2582412,600425486.5070317,1526271672.2582412,150411325.29736125,0.09854819953174893,,,,,3270528165.907908,,,,,
10,2022-02-08T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.006975001025769401,1464750215.4115741,571381851.7340403,1464750215.4115741,73834338.61852244,0.050407460495082455,,,,,3267071963.5972834,,,,,
11,2022-02-07T00:00:00+00:00,Abracadabra.money,total,total,total,total,,0.00695934515138708,1461462481.791287,571583449.8532778,1461462481.791287,66352687.788950525,0.04540156768692638,,,,,3267071963.5972834,,,,,
