,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.36280920562880253,362809205.62880254,162002468.11111963,362809205.62880254,6989440.572974024,0.019264782879090073,248.81173275679222,111.10003323026126,49.76234655135844,22.22000664605225,,106503741.71744487,22579.38749053704,18063.509992429634,4515.877498107408,
1,2022-02-17T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.3965899709690324,396589970.9690324,177676677.44022095,396589970.9690324,7310994.2415569965,0.018434642267158775,276.46171256466124,123.8578938541993,55.29234251293225,24.77157877083986,,132441022.92349227,0.0,0.0,0.0,
2,2022-02-16T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.4124727081372666,412472708.13726664,184179323.38223037,412472708.13726664,7617682.829436939,0.01846833179300157,266.5154449055253,119.00577503731043,53.303088981105056,23.80115500746208,,133018982.67074418,24721.29919085015,19777.03935268012,4944.25983817003,
3,2022-02-15T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.3844133812290019,384413381.22900194,171670583.17735592,384413381.22900194,6515624.256226406,0.016949525106008036,258.09331682295897,115.25881349791244,51.61866336459179,23.051762699582486,,139914036.02547488,29514.88623782877,23611.90899026301,5902.977247565753,
4,2022-02-14T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.37916725432175574,379167254.32175577,168860000.28253287,379167254.32175577,5018661.7788045285,0.01323601055102128,262.40906657483424,116.86239924707355,52.48181331496686,23.372479849414713,,129136896.08261402,8251.429916668207,6601.143933334566,1650.2859833336413,
5,2022-02-13T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.39948721842437523,399487218.42437524,178017721.48445126,399487218.42437524,8352778.369402206,0.020908749977900543,267.6822522567252,119.28337736690094,53.53645045134505,23.856675473380193,,129645446.09934165,17385.347331395133,13908.277865116104,3477.069466279026,
6,2022-02-12T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.40424786902602605,404247869.02602607,180296610.05774537,404247869.02602607,21320670.431576267,0.052741577792222355,258.516227585635,115.29955517367439,51.703245517126994,23.059911034734874,,129169588.44529909,26979.6068356817,21583.685468545365,5395.921367136341,
7,2022-02-11T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.43122199327970445,431221993.27970445,192593648.7297624,431221993.27970445,29139806.361497294,0.0675749540042506,287.4447741493206,128.37943964934053,57.48895482986411,25.6758879298681,,133669641.61039375,6858.029450725042,5486.423560580033,1371.6058901450083,
8,2022-02-10T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.4451622005061937,445162200.5061937,198758841.23477408,445162200.5061937,9470456.315954082,0.02127416996588037,290.423191900989,129.66998775796074,58.084638380197816,25.933997551592157,,134267162.41688198,22134.321499201807,17707.457199361448,4426.864299840362,
9,2022-02-09T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.4363104968445216,436310496.8445216,194825699.74025074,436310496.8445216,13514437.777510291,0.030974358570901254,282.36401094373645,126.08398471142125,56.4728021887473,25.216796942284255,,131691562.99602032,5589.11465899301,4471.291727194409,1117.8229317986022,
10,2022-02-08T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.4511093086984851,451109308.6984851,201239580.7096871,451109308.6984851,6187042.076424514,0.013715172702321341,286.18071110613016,127.66503638853227,57.23614222122604,25.533007277706457,,129667169.33561075,21229.46815759523,16983.574526076187,4245.893631519047,
11,2022-02-07T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.44173750726773126,441737507.26773125,197324049.39104176,441737507.26773125,3935532.707482481,0.008909211110065885,288.0105418900735,128.6542470540379,57.6021083780147,25.730849410807583,,127636121.27109703,29335.40367290666,23468.32293832533,5867.080734581333,
12,2022-02-06T00:00:00+00:00,Alpha Finance,total,total,total,total,,0.42584220035766424,425842200.3576642,190799198.69185984,425842200.3576642,5194979.339205826,0.012199306068873799,253.68846600048556,113.66547512107937,50.73769320009712,22.733095024215874,,125356661.53138031,2736.926353198187,2189.5410825585495,547.3852706396374,
