,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Arweave,total,total,total,total,,30.02787565676552,1981839793.3465242,1505696112.9971967,1981839793.3465242,31227138.026819963,0.01575664094123874,,,1132.872255114435,860.6958830753083,,,16792.632241691885,16792.632241691885,0,
1,2022-02-17T00:00:00+00:00,Arweave,total,total,total,total,,33.698043902295424,2224070897.551498,1703576532.4000015,2224070897.551498,21821182.947307777,0.009811370209165065,,,1415.7573406090396,1084.4307992563665,,,9682.104508799981,9682.104508799981,0,
2,2022-02-16T00:00:00+00:00,Arweave,total,total,total,total,,35.120846094318935,2317975842.2250495,1767139065.4685788,2317975842.2250495,21579357.0803531,0.00930956944729797,,,1564.0316976657436,1192.3599298270585,,,8874.374159207124,8874.374159207124,0,
3,2022-02-15T00:00:00+00:00,Arweave,total,total,total,total,,32.42145186957755,2139815823.3921185,1625354365.8523736,2139815823.3921185,21043841.186833955,0.009834417035702843,,,1521.5449196061113,1155.7301571879761,,,7789.618518849619,7789.618518849619,0,
4,2022-02-14T00:00:00+00:00,Arweave,total,total,total,total,,32.23083629168434,2127235195.2511666,1614911699.923204,2127235195.2511666,13903744.085616495,0.006536063391887823,,,1592.4906610305748,1208.9550822860765,,,6288.572932438955,6288.572932438955,0,
5,2022-02-13T00:00:00+00:00,Arweave,total,total,total,total,,33.06602346201891,2182357548.493248,1655709938.3043046,2182357548.493248,18968756.3574894,0.00869186461704494,,,1704.0416790372728,1292.821492616885,,,4378.946284999995,4378.946284999995,0,
6,2022-02-12T00:00:00+00:00,Arweave,total,total,total,total,,32.4464136563921,2141463301.321879,1624319989.6136324,2141463301.321879,39469148.218659885,0.018430924403092238,,,1716.6734686018892,1302.1129192212557,,,4913.64735488187,4913.64735488187,0,
7,2022-02-11T00:00:00+00:00,Arweave,total,total,total,total,,36.19205629631924,2388675715.55707,1813966311.8307087,2388675715.55707,73161457.57776585,0.03062845956915657,,,1980.1289601008286,1503.7148840714876,,,5378.706509068261,5378.706509068261,0,
8,2022-02-10T00:00:00+00:00,Arweave,total,total,total,total,,40.70168375875455,2686311128.0778003,2043548831.1524463,2686311128.0778003,47602924.188182935,0.01772055503572491,,,2314.2453575717973,1760.5084333064092,,,7288.816194923307,7288.816194923307,0,
9,2022-02-09T00:00:00+00:00,Arweave,total,total,total,total,,36.79658967626777,2428574918.6336727,1845099909.8862405,2428574918.6336727,59022137.232969746,0.02430319805253357,,,2222.1602712621184,1688.2772216742062,,,4229.226494417782,4229.226494417782,0,
10,2022-02-08T00:00:00+00:00,Arweave,total,total,total,total,,40.08990232946871,2645933553.7449346,2026658224.4344254,2645933553.7449346,46802842.711118676,0.01768859336806703,,,2495.57320626728,1911.4894083418567,,,8547.58548809517,8547.58548809517,0,
11,2022-02-07T00:00:00+00:00,Arweave,total,total,total,total,,37.90488959386539,2501722713.195116,1896346086.8144085,2501722713.195116,25102072.86557771,0.010033914923176353,,,2547.200944726656,1930.8193183780816,,,5235.866030513773,5235.866030513773,0,
12,2022-02-06T00:00:00+00:00,Arweave,total,total,total,total,,38.66704316754821,2552024849.058182,1941891301.2876754,2552024849.058182,32694627.636376627,0.012811249721350674,,,2721.7245443620104,2071.0194962044643,,,4204.013534421326,4204.013534421326,0,
13,2022-02-05T00:00:00+00:00,Arweave,total,total,total,total,,39.57344878450721,2611847619.777476,1981090304.9465427,2611847619.777476,35461059.894545645,0.013577001822781244,,,2857.9917543922484,2167.790997212169,,,10716.678436444798,10716.678436444798,0,
14,2022-02-04T00:00:00+00:00,Arweave,total,total,total,total,,34.74217529685921,2292983569.5927076,1737581276.67632,2292983569.5927076,30104509.172784906,0.0131289685508441,,,2839.5416951849534,2151.7530911795875,,,21832.451677075565,21832.451677075565,0,
15,2022-02-03T00:00:00+00:00,Arweave,total,total,total,total,,34.83645614600682,2299206105.63645,1746164943.8035343,2299206105.63645,40975271.61298033,0.0178214869526183,,,3985.610372453176,3026.928771185998,,,2356.4704414626794,2356.4704414626794,0,
