,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Autofarm,total,total,total,total,,421.1928885267028,33695431.08213622,14753589.46770119,33695431.08213622,3279001.1323531014,0.09731293018214206,,,,,217469211.69872752,,,,,
1,2022-02-17T00:00:00+00:00,Autofarm,total,total,total,total,,452.73592281848244,36218873.8254786,15823845.315286597,36218873.8254786,1599295.1635040075,0.044156402300365404,,,,,230349404.25059423,,,,,
2,2022-02-16T00:00:00+00:00,Autofarm,total,total,total,total,,468.48522701054407,37478818.16084353,16348591.789800216,37478818.16084353,1362745.494731648,0.036360418006867505,,,,,233167869.55937615,,,,,
3,2022-02-15T00:00:00+00:00,Autofarm,total,total,total,total,,431.40230574616265,34512184.459693015,15091601.09873033,34512184.459693015,1215966.5227178994,0.035232963133296706,,,,,224242375.35157114,,,,,
4,2022-02-14T00:00:00+00:00,Autofarm,total,total,total,total,,437.2627898687842,34981023.18950273,15279027.639938496,34981023.18950273,1350432.9904361463,0.03860473100287674,,,,,223885119.00128916,,,,,
5,2022-02-13T00:00:00+00:00,Autofarm,total,total,total,total,,443.0236538122299,35441892.30497839,15487600.714870647,35441892.30497839,1652146.8723853012,0.04661565071550173,,,,,223102699.73320538,,,,,
6,2022-02-12T00:00:00+00:00,Autofarm,total,total,total,total,,446.0962905060603,35687703.240484826,15580466.911390284,35687703.240484826,2679777.496895261,0.07508965984270093,,,,,231094474.6612734,,,,,
7,2022-02-11T00:00:00+00:00,Autofarm,total,total,total,total,,482.2479326485546,38579834.61188436,17057234.911482,38579834.61188436,9588466.022125382,0.2485356953596606,,,,,237565233.18724257,,,,,
8,2022-02-10T00:00:00+00:00,Autofarm,total,total,total,total,,479.3629104138605,38349032.83310884,16759981.693052234,38349032.83310884,2596055.328988293,0.06769545767388885,,,,,237565233.18724257,,,,,
9,2022-02-09T00:00:00+00:00,Autofarm,total,total,total,total,,456.94780918086957,36555824.73446956,15992992.072406601,36555824.73446956,2401681.707962962,0.0656990158314865,,,,,233097911.941518,,,,,
10,2022-02-08T00:00:00+00:00,Autofarm,total,total,total,total,,472.9057929128871,37832463.43303096,16542007.31479453,37832463.43303096,2966402.9431691635,0.07840892910450133,,,,,231196340.93543676,,,,,
11,2022-02-07T00:00:00+00:00,Autofarm,total,total,total,total,,467.08853025786726,37367082.42062938,16338464.68062445,37367082.42062938,2864203.33603055,0.07665044072183967,,,,,231196340.93543676,,,,,
12,2022-02-06T00:00:00+00:00,Autofarm,total,total,total,total,,440.97768402659335,35278214.72212747,15449360.453525523,35278214.72212747,2893130.1975762793,0.08200897410382925,,,,,227917877.67713255,,,,,
13,2022-02-05T00:00:00+00:00,Autofarm,total,total,total,total,,451.766009685309,36141280.774824716,15559015.256331455,36141280.774824716,3207220.765251871,0.08874120386696302,,,,,215921440.16729432,,,,,
14,2022-02-04T00:00:00+00:00,Autofarm,total,total,total,total,,410.1691992974323,32813535.943794586,14348666.928412294,32813535.943794586,2471902.0162002416,0.07533177833788761,,,,,215921440.16729432,,,,,
15,2022-02-03T00:00:00+00:00,Autofarm,total,total,total,total,,400.4872881293429,32038983.050347432,14008139.972013868,32038983.050347432,2243255.0838243715,0.07001642593646697,,,,,222069703.62455833,,,,,
16,2022-02-02T00:00:00+00:00,Autofarm,total,total,total,total,,419.0511030444035,33524088.24355228,14662437.176082062,33524088.24355228,2253566.8968809294,0.06722231729342737,,,,,222069703.62455833,,,,,
17,2022-02-01T00:00:00+00:00,Autofarm,total,total,total,total,,416.4049295185515,33312394.36148412,14570746.548471713,33312394.36148412,2182291.049776607,0.06550988278104014,,,,,218477871.5366872,,,,,
18,2022-01-31T00:00:00+00:00,Autofarm,total,total,total,total,,409.02126212604793,32721700.970083833,14310363.630657692,32721700.970083833,1956371.8412448673,0.05978820731335151,,,,,218590992.28414756,,,,,
19,2022-01-30T00:00:00+00:00,Autofarm,total,total,total,total,,423.6426244139179,33891409.95311343,14827432.252640055,33891409.95311343,2267390.1160318763,0.06690161663880799,,,,,217833725.13543308,,,,,
20,2022-01-29T00:00:00+00:00,Autofarm,total,total,total,total,,415.13909256728476,33211127.405382782,14488292.87346039,33211127.405382782,1908166.005266262,0.05745562268858692,,,,,217833725.13543308,,,,,
21,2022-01-28T00:00:00+00:00,Autofarm,total,total,total,total,,412.503370368338,33000269.62946704,14407005.786522081,33000269.62946704,2854921.402670405,0.08651206292330262,,,,,215289753.01391688,,,,,
22,2022-01-27T00:00:00+00:00,Autofarm,total,total,total,total,,426.13452073654764,34090761.65892381,14923805.97357727,34090761.65892381,3154764.0806260016,0.09254014657077017,,,,,215190361.68751854,,,,,
23,2022-01-26T00:00:00+00:00,Autofarm,total,total,total,total,,406.37494518552137,32509995.61484171,14212704.745826993,32509995.61484171,2268543.73894605,0.06977988449529034,,,,,215190361.68751854,,,,,
24,2022-01-25T00:00:00+00:00,Autofarm,total,total,total,total,,407.2315457304056,32578523.65843245,14241256.96816456,32578523.65843245,3689815.110405464,0.11325912583059644,,,,,221847099.80765885,,,,,
25,2022-01-24T00:00:00+00:00,Autofarm,total,total,total,total,,417.29909344297766,33383927.475438215,14582411.970412105,33383927.475438215,3503648.131702873,0.10495014806992485,,,,,218367013.2827942,,,,,
26,2022-01-23T00:00:00+00:00,Autofarm,total,total,total,total,,393.3479129919092,31467833.039352737,13735231.516998764,31467833.039352737,5221452.516682021,0.16592984048670362,,,,,231554852.47385,,,,,
27,2022-01-22T00:00:00+00:00,Autofarm,total,total,total,total,,416.50956431007216,33320765.144805774,14570699.241221922,33320765.144805774,3542383.4218375944,0.10631158697716162,,,,,264159613.4048094,,,,,
28,2022-01-21T00:00:00+00:00,Autofarm,total,total,total,total,,509.41410208038883,40753128.16643111,17816763.191986483,40753128.16643111,2325307.066358443,0.05705837001915915,,,,,264159613.4048094,,,,,
29,2022-01-20T00:00:00+00:00,Autofarm,total,total,total,total,,514.7676198205704,41181409.58564563,18002334.27260532,41181409.58564563,2217865.5991634624,0.05385599039661166,,,,,266746417.1434209,,,,,
30,2022-01-19T00:00:00+00:00,Autofarm,total,total,total,total,,533.7752806287984,42702022.450303875,18668182.04846822,42702022.450303875,2201699.752956751,0.051559613025801386,,,,,279919024.5980398,,,,,
31,2022-01-18T00:00:00+00:00,Autofarm,total,total,total,total,,530.3199074059482,42425592.59247586,18552588.70186965,42425592.59247586,2106487.4682215443,0.04965133872037247,,,,,289603034.9552041,,,,,
32,2022-01-17T00:00:00+00:00,Autofarm,total,total,total,total,,553.8569463116239,44308555.70492991,19368397.728205856,44308555.70492991,2090406.8549324065,0.04717840204165854,,,,,292389339.0663168,,,,,
33,2022-01-16T00:00:00+00:00,Autofarm,total,total,total,total,,561.3318550128268,44906548.401026145,19680285.259030383,44906548.401026145,2385963.062004887,0.05313174017957627,,,,,288522861.3049785,,,,,
34,2022-01-15T00:00:00+00:00,Autofarm,total,total,total,total,,558.9220450237277,44713763.601898216,19537575.499889437,44713763.601898216,2985610.8109175526,0.06677162847438782,,,,,291389707.4402131,,,,,
35,2022-01-14T00:00:00+00:00,Autofarm,total,total,total,total,,553.3169446207219,44265355.56965775,19417407.507402394,44265355.56965775,2847703.8353346074,0.06433256434263462,,,,,291389707.4402131,,,,,
36,2022-01-13T00:00:00+00:00,Autofarm,total,total,total,total,,586.9147050288715,46953176.402309716,20574421.633888304,46953176.402309716,3939760.70779551,0.0839082892718139,,,,,291832583.1082869,,,,,
37,2022-01-12T00:00:00+00:00,Autofarm,total,total,total,total,,532.8783106773399,42630264.85418719,18657374.71780903,42630264.85418719,2286121.96885109,0.05362673623235875,,,,,281158453.15661305,,,,,
38,2022-01-11T00:00:00+00:00,Autofarm,total,total,total,total,,507.55919031872,40604735.2254976,17737960.9331028,40604735.2254976,2679924.167300804,0.06600028672562197,,,,,291377790.3204121,,,,,
39,2022-01-10T00:00:00+00:00,Autofarm,total,total,total,total,,537.326541391391,42986123.311311275,18784765.23513478,42986123.311311275,2191846.303699607,0.05098962490350576,,,,,287506739.95492727,,,,,
40,2022-01-09T00:00:00+00:00,Autofarm,total,total,total,total,,538.7506930393351,43100055.44314681,18870955.351528462,43100055.44314681,3032444.116204162,0.07035824165479909,,,,,304268194.4846358,,,,,
41,2022-01-08T00:00:00+00:00,Autofarm,total,total,total,total,,548.8923574713903,43911388.59771122,19195332.05502879,43911388.59771122,3453938.3668441526,0.07865700623788019,,,,,318806303.36606413,,,,,
42,2022-01-07T00:00:00+00:00,Autofarm,total,total,total,total,,590.8340780279586,47266726.24223669,20682045.86370236,47266726.24223669,3792849.3858652967,0.08024353889938067,,,,,324788105.7826425,,,,,
