,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Barnbridge,total,total,total,total,,9.52835049941414,95283504.9941414,58228800.0616411,95283504.9941414,6125849.312034708,0.06429076378342045,,,,,12841284.890280314,,,,,
1,2022-02-17T00:00:00+00:00,Barnbridge,total,total,total,total,,10.188856000593782,101888560.00593783,62269797.69418094,101888560.00593783,6085858.680507535,0.059730539720581635,,,,,13138341.57349651,,,,,
2,2022-02-16T00:00:00+00:00,Barnbridge,total,total,total,total,,10.433857081010471,104338570.81010471,63848985.166986376,104338570.81010471,7922605.565319811,0.07593170487008954,,,,,13192040.126533771,,,,,
3,2022-02-15T00:00:00+00:00,Barnbridge,total,total,total,total,,10.059542048169169,100595420.48169169,61406599.23494783,100595420.48169169,14679914.632649252,0.14593024774245056,,,,,13047997.380133912,,,,,
4,2022-02-14T00:00:00+00:00,Barnbridge,total,total,total,total,,9.69484473535681,96948447.35356809,59053891.541107215,96948447.35356809,14041367.563570831,0.14483334129490885,,,,,12963560.677913325,,,,,
5,2022-02-13T00:00:00+00:00,Barnbridge,total,total,total,total,,9.696087983504592,96960879.83504592,58928149.031135246,96960879.83504592,6131827.23099081,0.06324021854404109,,,,,12964800.767065221,,,,,
6,2022-02-12T00:00:00+00:00,Barnbridge,total,total,total,total,,9.825232219345851,98252322.19345851,59707486.88663681,98252322.19345851,7509492.246820253,0.07643068457999483,,,,,12963906.508169137,,,,,
7,2022-02-11T00:00:00+00:00,Barnbridge,total,total,total,total,,10.42965347015042,104296534.7015042,63175514.281374484,104296534.7015042,8728810.101037703,0.08369223508738315,,,,,13078609.80654814,,,,,
8,2022-02-10T00:00:00+00:00,Barnbridge,total,total,total,total,,10.861517407102587,108615174.07102588,65982791.89078451,108615174.07102588,7179681.485114584,0.06610201149629084,,,,,15870842.467841996,,,,,
9,2022-02-09T00:00:00+00:00,Barnbridge,total,total,total,total,,10.638493481394235,106384934.81394236,64529928.48736995,106384934.81394236,10107133.653779974,0.09500530945905487,,,,,15870842.467841996,,,,,
10,2022-02-08T00:00:00+00:00,Barnbridge,total,total,total,total,,11.14066257521124,111406625.75211239,67537074.595492,111406625.75211239,12517189.27572492,0.11235587821837949,,,,,17007326.23167249,,,,,
11,2022-02-07T00:00:00+00:00,Barnbridge,total,total,total,total,,10.77420708701469,107742070.8701469,65152315.567426465,107742070.8701469,6340226.291851842,0.05884633774575598,,,,,17007326.23167249,,,,,
12,2022-02-06T00:00:00+00:00,Barnbridge,total,total,total,total,,10.661322383996408,106613223.83996408,64517980.921919085,106613223.83996408,10153759.835317241,0.09523921582709981,,,,,16960880.085438374,,,,,
13,2022-02-05T00:00:00+00:00,Barnbridge,total,total,total,total,,10.36484923656424,103648492.3656424,61929815.32119108,103648492.3656424,6177330.315354445,0.0595988438844106,,,,,16832666.954706892,,,,,
14,2022-02-04T00:00:00+00:00,Barnbridge,total,total,total,total,,9.703963292481774,97039632.92481774,58536326.56647424,97039632.92481774,7825213.542576984,0.08063935638173356,,,,,17255140.981708426,,,,,
15,2022-02-03T00:00:00+00:00,Barnbridge,total,total,total,total,,9.715975404700007,97159754.04700007,58381095.74818521,97159754.04700007,7289566.7629485205,0.07502660782181751,,,,,17784467.815119836,,,,,
16,2022-02-02T00:00:00+00:00,Barnbridge,total,total,total,total,,9.815842798884905,98158427.98884904,59009387.761311635,98158427.98884904,8689907.853105165,0.08852941139289998,,,,,17784467.815119836,,,,,
17,2022-02-01T00:00:00+00:00,Barnbridge,total,total,total,total,,9.907114946478758,99071149.46478759,59166488.338802,99071149.46478759,6120829.45352202,0.06178215844459863,,,,,17764891.962711856,,,,,
18,2022-01-31T00:00:00+00:00,Barnbridge,total,total,total,total,,10.193268956363527,101932689.56363527,60782089.99001101,101932689.56363527,3132123.1038073506,0.030727366433826963,,,,,18345126.94393205,,,,,
19,2022-01-30T00:00:00+00:00,Barnbridge,total,total,total,total,,10.528467574465108,105284675.74465108,62762529.53030131,105284675.74465108,3069366.6373509844,0.029153023606162568,,,,,18296757.62204855,,,,,
20,2022-01-29T00:00:00+00:00,Barnbridge,total,total,total,total,,10.344037396674555,103440373.96674554,61566723.15289665,103440373.96674554,3498413.5034587267,0.03382058058474742,,,,,18296757.62204855,,,,,
21,2022-01-28T00:00:00+00:00,Barnbridge,total,total,total,total,,10.218288330445029,102182883.30445029,60618352.955918886,102182883.30445029,5174719.820717146,0.050641747946172655,,,,,18328998.66295445,,,,,
22,2022-01-27T00:00:00+00:00,Barnbridge,total,total,total,total,,10.57290926775787,105729092.6775787,63297350.83752844,105729092.6775787,6573736.897202701,0.06217528904035277,,,,,18465986.92465512,,,,,
23,2022-01-26T00:00:00+00:00,Barnbridge,total,total,total,total,,10.867796134553824,108677961.34553824,64646153.57810758,108677961.34553824,5172395.955003309,0.04759378894270785,,,,,18465986.92465512,,,,,
24,2022-01-25T00:00:00+00:00,Barnbridge,total,total,total,total,,10.797961674707535,107979616.74707535,58748824.23165244,107979616.74707535,9261889.65413949,0.08577442607370943,,,,,18824817.960819807,,,,,
25,2022-01-24T00:00:00+00:00,Barnbridge,total,total,total,total,,11.174611598247681,111746115.98247682,60367543.6784043,111746115.98247682,6035370.114801927,0.05400966343875744,,,,,18662763.079109233,,,,,
26,2022-01-23T00:00:00+00:00,Barnbridge,total,total,total,total,,10.721247494132564,107212474.94132563,57951827.52856402,107212474.94132563,7497872.104779465,0.06993469844701225,,,,,18890685.61360981,,,,,
27,2022-01-22T00:00:00+00:00,Barnbridge,total,total,total,total,,11.531824236355018,115318242.36355017,62310935.202021234,115318242.36355017,7984236.767275335,0.06923654578522258,,,,,19626015.84135685,,,,,
28,2022-01-21T00:00:00+00:00,Barnbridge,total,total,total,total,,13.192259740133348,131922597.40133348,71488568.48275377,131922597.40133348,4266610.86511703,0.03234177426129046,,,,,19626015.84135685,,,,,
29,2022-01-20T00:00:00+00:00,Barnbridge,total,total,total,total,,13.647135839472805,136471358.39472803,73566391.41760631,136471358.39472803,4189883.8623821773,0.030701561936999338,,,,,19716515.760598786,,,,,
30,2022-01-19T00:00:00+00:00,Barnbridge,total,total,total,total,,14.075491762235742,140754917.62235743,75761287.18261427,140754917.62235743,5236967.274876552,0.03720628283075145,,,,,19977734.0975031,,,,,
31,2022-01-18T00:00:00+00:00,Barnbridge,total,total,total,total,,14.559983788082425,145599837.88082424,78281406.0496726,145599837.88082424,7094846.942784922,0.04872839864418095,,,,,20344535.55257029,,,,,
32,2022-01-17T00:00:00+00:00,Barnbridge,total,total,total,total,,14.871486482854818,148714864.8285482,79592993.03798798,148714864.8285482,3711964.9409788074,0.02496028184713272,,,,,20316222.58952488,,,,,
