,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,43832.04821198762,87.8397759759271,87.8397759759271,0,
1,2022-02-17T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1495666.3482911596,2997.327351284888,2997.327351284888,0,
2,2022-02-16T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,764926.7175609577,1532.9192736692537,1532.9192736692537,0,
3,2022-02-15T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,962897.719660223,1929.654748818082,1929.654748818082,0,
4,2022-02-14T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,878283.9806727186,1760.0881376206792,1760.0881376206792,0,
5,2022-02-13T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,655903.3147486132,1314.4355004982224,1314.4355004982224,0,
6,2022-02-12T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1688405.864855915,3383.5788874868044,3383.5788874868044,0,
7,2022-02-11T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1930525.8489284203,3868.789276409661,3868.789276409661,0,
8,2022-02-10T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,2288058.758214705,4585.288092614639,4585.288092614639,0,
9,2022-02-09T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1121898.7268318208,2248.2940417471364,2248.2940417471364,0,
10,2022-02-08T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1323158.0900861402,2651.6194190103015,2651.6194190103015,0,
11,2022-02-07T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,976400.6552347149,1956.714739949328,1956.714739949328,0,
12,2022-02-06T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,657003.8773376911,1316.64103674888,1316.64103674888,0,
13,2022-02-05T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1148687.4607154874,2301.9788791893534,2301.9788791893534,0,
14,2022-02-04T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1911713.819965166,3831.0898195694713,3831.0898195694713,0,
15,2022-02-03T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1096563.0868647066,2197.5212161617364,2197.5212161617364,0,
16,2022-02-02T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1345825.5989790848,2697.0452885352406,2697.0452885352406,0,
17,2022-02-01T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1264306.2984014396,2533.679956716311,2533.679956716311,0,
18,2022-01-31T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1201578.017576705,2407.971979111633,2407.971979111633,0,
19,2022-01-30T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,512951.9040042432,1027.9597274634132,1027.9597274634132,0,
20,2022-01-29T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,985845.5032230953,1975.6422910282467,1975.6422910282467,0,
21,2022-01-28T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1977239.8262615027,3962.404461445897,3962.404461445897,0,
22,2022-01-27T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,2231092.313987698,4471.126881738874,4471.126881738874,0,
23,2022-01-26T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,4049715.0752085806,8115.66147336389,8115.66147336389,0,
24,2022-01-25T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,2240042.937725617,4489.064003458149,4489.064003458149,0,
25,2022-01-24T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,4748048.152150399,9515.126557415628,9515.126557415628,0,
26,2022-01-23T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1763065.5840679756,3533.1975632624763,3533.1975632624763,0,
27,2022-01-22T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,6730079.095480779,13487.13245587331,13487.13245587331,0,
28,2022-01-21T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,6315098.564816233,12655.508145924321,12655.508145924321,0,
29,2022-01-20T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1165893.352535101,2336.45962431884,2336.45962431884,0,
30,2022-01-19T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1001744.6253301741,2007.5042591787055,2007.5042591787055,0,
31,2022-01-18T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,771196.8386637534,1545.4846466207482,1545.4846466207482,0,
32,2022-01-17T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,563090.4560914017,1128.4377877583202,1128.4377877583202,0,
33,2022-01-16T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,773101.96137316,1549.3025278019236,1549.3025278019236,0,
34,2022-01-15T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,253816.61100743688,508.65052306099574,508.65052306099574,0,
35,2022-01-14T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,454618.0964581177,911.058309535306,911.058309535306,0,
36,2022-01-13T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,834845.084626864,1673.0362417372025,1673.0362417372025,0,
37,2022-01-12T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,577616.3942834092,1157.5478843354895,1157.5478843354895,0,
38,2022-01-11T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1157736.2059848986,2320.112637244286,2320.112637244286,0,
39,2022-01-10T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,2093525.8912402946,4195.442667816222,4195.442667816222,0,
40,2022-01-09T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,707593.4187533426,1418.0228832732319,1418.0228832732319,0,
41,2022-01-08T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,2211931.8549691276,4432.729168274805,4432.729168274805,0,
42,2022-01-07T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,3418974.018434959,6851.6513395490165,6851.6513395490165,0,
43,2022-01-06T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,1483467.344846677,2972.8804505945436,2972.8804505945436,0,
44,2022-01-05T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,2171219.3268333296,4351.140935537735,4351.140935537735,0,
45,2022-01-04T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,639729.4565407716,1282.0229589995424,1282.0229589995424,0,
46,2022-01-03T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,594827.5735236664,1192.0392254983292,1192.0392254983292,0,
47,2022-01-02T00:00:00+00:00,Clipper,total,total,total,total,,,,,,,,,,,,,451133.19490942394,904.0745388966412,904.0745388966412,0,
