,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,dHedge,total,total,total,total,,0.4186488867434674,41864888.67434674,10044563.213516189,41864888.67434674,307976.7229892795,0.007356444331786705,1435.2602161286147,344.35925724992353,1435.2602161286147,344.35925724992353,17356325.980598614,,,,,
1,2022-02-17T00:00:00+00:00,dHedge,total,total,total,total,,0.46126031207827034,46126031.20782703,11080017.705086162,46126031.20782703,227787.61147195305,0.004938374395265557,1581.345600497625,379.8578978631188,1581.345600497625,379.8578978631188,18180033.683224488,,0.0039490302744249976,0.0,0.0039490302744249976,
2,2022-02-16T00:00:00+00:00,dHedge,total,total,total,total,,0.49539328424430235,49539328.424430236,11849223.73772712,49539328.424430236,163391.54058108726,0.0032982187239444087,1698.366884826703,406.2293504393562,1698.366884826703,406.2293504393562,18093921.765547793,,,,,
3,2022-02-15T00:00:00+00:00,dHedge,total,total,total,total,,0.5108846980100155,51088469.80100155,12204722.956207184,51088469.80100155,182768.98119769926,0.0035774996180080584,1751.4751698902296,418.4167053045519,1751.4751698902296,418.4167053045519,17616421.664110947,,,,,
4,2022-02-14T00:00:00+00:00,dHedge,total,total,total,total,,0.5073403462637819,50734034.626378186,12178912.881571537,50734034.626378186,90114.85038063368,0.0017762208553738835,1739.3240052515825,417.5318538883041,1739.3240052515825,417.5318538883041,17575282.229916457,,39.71929595993675,0.0,39.71929595993675,
5,2022-02-13T00:00:00+00:00,dHedge,total,total,total,total,,0.4929705322912169,49297053.22912169,11767989.120589618,49297053.22912169,38907.04923104888,0.0007892368140184283,1714.881670245852,409.36947579313335,1714.881670245852,409.36947579313335,17797876.1965494,,0.005565606481912982,0.0,0.005565606481912982,
6,2022-02-12T00:00:00+00:00,dHedge,total,total,total,total,,0.5118357422505969,51183574.22505969,12302173.463855827,51183574.22505969,132313.26407347136,0.002585072771426155,1780.51156398735,427.9529604216121,1780.51156398735,427.9529604216121,18335473.291375652,,,,,
7,2022-02-11T00:00:00+00:00,dHedge,total,total,total,total,,0.5517415566522285,55174155.665222846,13167914.265590424,55174155.665222846,70787.61247070266,0.0012829849703585264,1863.4821039929275,444.7403369383635,1863.4821039929275,444.7403369383635,18199619.799750578,,0.3036902512523926,0.0,0.3036902512523926,
8,2022-02-10T00:00:00+00:00,dHedge,total,total,total,total,,0.5599708340396287,55997083.403962865,13380840.979756864,55997083.403962865,215181.8463239381,0.0038427331075730612,1782.5766393103768,425.95744447564476,1782.5766393103768,425.95744447564476,18439387.90639506,,0.07773640732104128,0.0,0.07773640732104128,
9,2022-02-09T00:00:00+00:00,dHedge,total,total,total,total,,0.5456497894080975,54564978.94080975,13029239.194609113,54564978.94080975,116216.48307301414,0.0021298731407755488,1712.9516446226514,409.0252968080112,1712.9516446226514,409.0252968080112,18122244.298451126,,748.9992814599278,0.0,748.9992814599278,
10,2022-02-08T00:00:00+00:00,dHedge,total,total,total,total,,0.557123402771701,55712340.2771701,13337764.831373837,55712340.2771701,183194.95518435485,0.0032882293989618095,2418.5429232310908,579.0091851133103,2418.5429232310908,579.0091851133103,17572423.86487122,,16.441091318318847,0.0,16.441091318318847,
11,2022-02-07T00:00:00+00:00,dHedge,total,total,total,total,,0.5534113169113406,55341131.69113406,13006834.144146154,55341131.69113406,143402.83114029747,0.002591252234244992,2421.4176257147674,569.1061329782999,2421.4176257147674,569.1061329782999,17572423.86487122,,275.75698017252245,0.0,275.75698017252245,
12,2022-02-06T00:00:00+00:00,dHedge,total,total,total,total,,0.5427957931512603,54279579.315126024,12753569.443534603,54279579.315126024,117576.82145977493,0.0021661336167911297,2735.11042898564,642.6435361499465,2735.11042898564,642.6435361499465,17475429.079335153,,26.444199335424464,0.0,26.444199335424464,
13,2022-02-05T00:00:00+00:00,dHedge,total,total,total,total,,0.5546674924703423,55466749.24703423,12587450.518999694,55466749.24703423,354931.8950793814,0.006399003004459639,2787.909500336966,632.6794586545399,2787.909500336966,632.6794586545399,16500254.152929965,,202.00033285941734,0.0,202.00033285941734,
14,2022-02-04T00:00:00+00:00,dHedge,total,total,total,total,,0.521928981366678,52192898.136667795,11855830.499352926,52192898.136667795,226589.1258282772,0.004341378500096901,2979.5447162369505,676.8157811135335,2979.5447162369505,676.8157811135335,16500254.152929965,,283.65272095703233,0.0,283.65272095703233,
15,2022-02-03T00:00:00+00:00,dHedge,total,total,total,total,,0.55807510315968,55807510.315968,12663520.167476077,55807510.315968,84422.00513723497,0.0015127355558285783,3589.7272066296423,814.5603095267473,3589.7272066296423,814.5603095267473,16703619.142963234,,0.44305087820868755,0.0,0.44305087820868755,
16,2022-02-02T00:00:00+00:00,dHedge,total,total,total,total,,0.5766712249516991,57667122.49516991,13033712.67733036,57667122.49516991,192670.61055103497,0.0033410824437646027,3437.833328912436,777.0065490149584,3437.833328912436,777.0065490149584,16703619.142963234,,8.601523802334642,0.0,8.601523802334642,
17,2022-02-01T00:00:00+00:00,dHedge,total,total,total,total,,0.5523919594552945,55239195.94552945,12536390.80192807,55239195.94552945,118313.13074260754,0.0021418329633051563,3313.0697760740827,751.8925059640081,3313.0697760740827,751.8925059640081,16416001.940629238,,155.59194928130816,0.0,155.59194928130816,
18,2022-01-31T00:00:00+00:00,dHedge,total,total,total,total,,0.5605861772499627,56058617.724996276,12700438.461508695,56058617.724996276,58954.10201264725,0.0010516510111229498,3549.419554273532,804.1437062231739,3549.419554273532,804.1437062231739,16150063.88141264,,299.6538053729457,0.0,299.6538053729457,
19,2022-01-30T00:00:00+00:00,dHedge,total,total,total,total,,0.5659644562250009,56596445.62250009,12802704.151647883,56596445.62250009,73774.40421499214,0.001303516561924569,4561.723008862798,1031.9091501572561,4561.723008862798,1031.9091501572561,16102531.717896178,,62.76221606826581,0.0,62.76221606826581,
