,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2050501680753216,205050168.07532158,123108358.27509613,205050168.07532158,6236566.232891391,0.03041483111879478,,,,,619965794.1785077,,,,,
1,2022-02-17T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.23046923868053848,230469238.68053848,138666409.04945192,230469238.68053848,7816131.640334158,0.03391399080017084,,,,,623232883.1019341,,,,,
2,2022-02-16T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.24012998053568801,240129980.535688,144593175.34262902,240129980.535688,31204757.206604574,0.12994944295165567,,,,,623901721.9242038,,,,,
3,2022-02-15T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.24316439063580048,243164390.63580048,145993180.91098624,243164390.63580048,47997905.51549635,0.19738871053445167,,,,,623998692.0054867,,,,,
4,2022-02-14T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.20662203714220814,206622037.14220813,123810187.59023322,206622037.14220813,12205400.765884992,0.059071147176254946,,,,,620122043.4194244,,,,,
5,2022-02-13T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.20373618349773354,203736183.49773353,121857979.23560542,203736183.49773353,10565422.554158622,0.051858351191093936,,,,,620374508.8042212,,,,,
6,2022-02-12T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.21419462183767773,214194621.83767775,127603433.1813824,214194621.83767775,24025815.53064245,0.11216815494485122,,,,,625019948.5160211,,,,,
7,2022-02-11T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.25788260820132775,257882608.20132774,158210769.11189535,257882608.20132774,107093123.65939882,0.415278581236435,,,,,621841705.661036,,,,,
8,2022-02-10T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.21659513498225952,216595134.9822595,128679461.62286794,216595134.9822595,7595754.25479605,0.03506890519686968,,,,,621841705.661036,,,,,
9,2022-02-09T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.1856843631439469,185684363.14394692,110249172.36184421,185684363.14394692,7922710.015219557,0.042667620908270476,,,,,617662421.026924,,,,,
10,2022-02-08T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.19478291797370917,194782917.97370917,115486388.73848276,194782917.97370917,5799077.153644008,0.02977200061468808,,,,,618333954.406585,,,,,
11,2022-02-07T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.1891126873575266,189112687.3575266,112206487.84875731,189112687.3575266,2585336.875950999,0.013670880108975957,,,,,618333954.406585,,,,,
12,2022-02-06T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.1847782073486797,184778207.3486797,109108453.87768632,184778207.3486797,3809689.926125157,0.02061763657516282,,,,,617956383.006945,,,,,
13,2022-02-05T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.1885801177965678,188580117.7965678,110854031.44275165,188580117.7965678,11758732.490310432,0.06235404149548391,,,,,615541312.588792,,,,,
14,2022-02-04T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.16967103369678763,169671033.69678763,99666305.13935189,169671033.69678763,5398040.0102700805,0.03181474110611422,,,,,615541312.588792,,,,,
15,2022-02-03T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.16158969148590988,161589691.48590988,94853023.4840848,161589691.48590988,3813630.479177971,0.023600704005988574,,,,,618303123.596799,,,,,
16,2022-02-02T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.16870516281062992,168705162.8106299,99061612.82949518,168705162.8106299,2484991.339001441,0.014729788333690904,,,,,618303123.596799,,,,,
17,2022-02-01T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.16180931039425542,161809310.39425543,94671949.78355008,161809310.39425543,1996610.8886183223,0.012339283096587538,,,,,618138293.350607,,,,,
18,2022-01-31T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.1596274659123878,159627465.9123878,93456835.33050182,159627465.9123878,1721700.7029470634,0.010785742247465271,,,,,619228122.601462,,,,,
19,2022-01-30T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.16180986637015699,161809866.37015697,94637273.63478887,161809866.37015697,1646329.0134121613,0.010174466182711082,,,,,620526059.540886,,,,,
20,2022-01-29T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.16203413232345446,162034132.32345447,94780365.88339047,162034132.32345447,1898518.0110507566,0.011716778334461731,,,,,620526059.540886,,,,,
21,2022-01-28T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.15758664574325734,157586645.74325734,90722193.90913872,157586645.74325734,2835075.829205682,0.017990584264510792,,,,,620612254.4269857,,,,,
22,2022-01-27T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.16108308807526497,161083088.07526496,93517772.21462923,161083088.07526496,3293446.20144348,0.020445636104918972,,,,,623924726.650727,,,,,
23,2022-01-26T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.16355102095640073,163551020.95640072,93888658.8357765,163551020.95640072,1812553.0218549657,0.011082492859143658,,,,,623924726.650727,,,,,
24,2022-01-25T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.16333208620852227,163332086.20852226,93720500.06223504,163332086.20852226,4255488.1766720405,0.02605420818074385,,,,,628218057.281805,,,,,
25,2022-01-24T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.1678029403112573,167802940.3112573,96257653.44203608,167802940.3112573,4031623.824361662,0.024025942673491965,,,,,629554882.438435,,,,,
26,2022-01-23T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.16161416883523363,161614168.83523363,92771307.02859351,161614168.83523363,10242029.165721502,0.06337333687718492,,,,,631894475.020489,,,,,
27,2022-01-22T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.17397242578777464,173972425.78777462,99881636.05281442,173972425.78777462,7693131.909824292,0.044220409498738525,,,,,640198738.851684,,,,,
28,2022-01-21T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2066146692282998,206614669.2282998,116160647.41739853,206614669.2282998,7148794.174424637,0.03459964484189429,,,,,640198738.851684,,,,,
29,2022-01-20T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.21020459679450296,210204596.79450294,118028262.8725214,210204596.79450294,3709831.721149361,0.017648670760402597,,,,,642598123.386332,,,,,
30,2022-01-19T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.21352020957232973,213520209.57232973,119433335.95249137,213520209.57232973,3533782.196420652,0.016550106444250128,,,,,645829122.862876,,,,,
31,2022-01-18T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.21994265246414377,219942652.46414375,123511985.91008274,219942652.46414375,3849381.7679494177,0.01750175204682941,,,,,648881373.110369,,,,,
32,2022-01-17T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.23780394140148753,237803941.40148753,132819106.69080915,237803941.40148753,5104871.095577772,0.02146672197900686,,,,,648992995.984456,,,,,
33,2022-01-16T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2342654647770002,234265464.7770002,130435027.8858451,234265464.7770002,3237022.1095157475,0.01381775206429639,,,,,650131628.3885833,,,,,
34,2022-01-15T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.23205746142051736,232057461.42051736,129514224.222004,232057461.42051736,4774708.10848216,0.020575542278426406,,,,,650766094.422375,,,,,
35,2022-01-14T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.23239842613025716,232398426.13025716,129321527.55201416,232398426.13025716,5310450.326613282,0.022850629477313342,,,,,650766094.422375,,,,,
36,2022-01-13T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.24278573824546015,242785738.24546015,134623023.19225153,242785738.24546015,7059086.271153313,0.029075374534629654,,,,,650831602.2447084,,,,,
37,2022-01-12T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2304039212090801,230403921.2090801,127784170.61955029,230403921.2090801,6524729.321459295,0.0283186557208739,,,,,651182720.270722,,,,,
38,2022-01-11T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2117560246663322,211756024.6663322,117125475.54097988,211756024.6663322,5265751.063825315,0.024867066106490497,,,,,594588454.477603,,,,,
39,2022-01-10T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2188481955102914,218848195.5102914,118431985.20067024,218848195.5102914,3395087.2845366797,0.015513435130777785,,,,,537642365.741223,,,,,
40,2022-01-09T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2167505285496105,216750528.5496105,117847426.7657393,216750528.5496105,5398544.377131207,0.024906718397669662,,,,,541174456.812525,,,,,
41,2022-01-08T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2267863589579342,226786358.9579342,122507329.91786736,226786358.9579342,7920589.846932689,0.03492533626505222,,,,,548157999.8482373,,,,,
42,2022-01-07T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.25202011599624274,252020115.99624273,135509484.083302,252020115.99624273,7563037.502669519,0.030009658049606935,,,,,559204692.9868174,,,,,
43,2022-01-06T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.26272669921172076,262726699.21172076,141376568.77098554,262726699.21172076,10886176.144904515,0.041435362974403256,,,,,558746044.300662,,,,,
44,2022-01-05T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.286469542829499,286469542.829499,157856110.25028193,286469542.829499,21423060.225906387,0.0747830293381554,,,,,557121001.169205,,,,,
45,2022-01-04T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.28564443941810397,285644439.418104,153331321.6686207,285644439.418104,9005447.393395916,0.031526772976015985,,,,,558822865.531907,,,,,
46,2022-01-03T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2750254883606444,275025488.3606444,148189604.72716814,275025488.3606444,7803053.228538378,0.028372109345393238,,,,,559277342.711972,,,,,
47,2022-01-02T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.271819237128525,271819237.128525,145417531.08784187,271819237.128525,5134234.236793653,0.018888413826156164,,,,,559277342.711972,,,,,
48,2022-01-01T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.26182718690865686,261827186.90865687,140311274.82388797,261827186.90865687,6010688.316503692,0.02295670051483473,,,,,558696757.394788,,,,,
49,2021-12-31T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.26636224432349886,266362244.32349887,141454560.8144716,266362244.32349887,6506861.262006956,0.024428617045681316,,,,,565125166.7141997,,,,,
50,2021-12-30T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.26957430392742265,269574303.92742264,142053092.42839962,269574303.92742264,15756220.636532953,0.05844852571992541,,,,,563539598.678295,,,,,
51,2021-12-29T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.30655825256258984,306558252.5625898,164122308.42269343,306558252.5625898,62054498.52336811,0.20242318712558058,,,,,565810528.706519,,,,,
52,2021-12-28T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2926995675061826,292699567.5061826,155533248.23457342,292699567.5061826,24056820.345904555,0.08218946324680308,,,,,565810528.706519,,,,,
53,2021-12-27T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2720005853305274,272000585.3305274,144138766.71747354,272000585.3305274,6007078.662593432,0.022084800498843777,,,,,561013357.570034,,,,,
54,2021-12-26T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2761781646602392,276178164.6602392,146372281.07679743,276178164.6602392,4736644.458762401,0.017150684104912967,,,,,558207644.067285,,,,,
55,2021-12-25T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.26900737385238693,269007373.85238695,142563059.781105,269007373.85238695,7396807.372566594,0.027496671435577307,,,,,558207644.067285,,,,,
56,2021-12-24T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2776395271128917,277639527.1128917,146269520.22348362,277639527.1128917,7950226.300800181,0.028635066423980473,,,,,554855283.018126,,,,,
57,2021-12-23T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2685554399368076,268555439.9368076,141437962.67113066,268555439.9368076,10180722.422108557,0.03790920200500921,,,,,554767798.976786,,,,,
58,2021-12-22T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.25879542493429225,258795424.93429226,135662027.5833822,258795424.93429226,6723466.818132292,0.025979851922959492,,,,,552379795.922827,,,,,
59,2021-12-21T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.25145103142990427,251451031.42990428,131632969.66527729,251451031.42990428,7077875.641033093,0.02814812729454306,,,,,554726786.059379,,,,,
60,2021-12-20T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.266277279309857,266277279.309857,139397715.02101725,266277279.309857,7625945.601963695,0.02863911491708485,,,,,554989058.2123874,,,,,
61,2021-12-19T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.27716984386873483,277169843.86873484,144867268.41560882,277169843.86873484,8922109.023933306,0.03219004239205307,,,,,554262497.256041,,,,,
62,2021-12-18T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2664986713629502,266498671.36295018,138623580.8394417,266498671.36295018,10754027.004582757,0.04035302296099113,,,,,553450512.8688121,,,,,
63,2021-12-17T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2632760060279972,263276006.02799723,135827374.63616967,263276006.02799723,5113301.669247231,0.019421829381229196,,,,,559315766.4153339,,,,,
64,2021-12-16T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2692434590175856,269243459.01758564,138736482.89075056,269243459.01758564,6877057.4032610115,0.02554215217838156,,,,,559315766.4153339,,,,,
65,2021-12-15T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2589167664722429,258916766.47224286,133346512.77642615,258916766.47224286,5338190.308733594,0.02061739910267987,,,,,563079041.244717,,,,,
66,2021-12-14T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2631989195517612,263198919.5517612,135816869.83680418,263198919.5517612,9877291.189235168,0.037527856140354254,,,,,574632385.4680036,,,,,
67,2021-12-13T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.3044624556992877,304462455.6992877,156229145.80748457,304462455.6992877,14931362.318482213,0.049041719394228564,,,,,574632385.4680036,,,,,
68,2021-12-12T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2953932985187062,295393298.5187062,148188342.41145667,295393298.5187062,9006186.14829428,0.03048879644005854,,,,,570924680.8629278,,,,,
69,2021-12-11T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.2917970986378284,291797098.63782835,147486060.56137207,291797098.63782835,8519642.579601685,0.02919714630259591,,,,,570924680.8629278,,,,,
70,2021-12-10T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.3174881491167976,317488149.1167976,159806746.28446007,317488149.1167976,6785000.168389558,0.02137087695167321,,,,,580126589.9610907,,,,,
71,2021-12-09T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.347147483999015,347147483.99901503,172744374.71827766,347147483.99901503,8748212.350319212,0.025200275829578053,,,,,580126589.9610907,,,,,
72,2021-12-08T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.33956128846344663,339561288.4634466,168897325.61136785,339561288.4634466,8123449.775117516,0.02392336833175845,,,,,580203823.17609,,,,,
73,2021-12-07T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.3485600755995948,348560075.5995948,173335701.09847003,348560075.5995948,10315881.06070224,0.0295957046800521,,,,,580806670.0935242,,,,,
74,2021-12-06T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.33977744580686353,339777445.80686355,168800287.0107057,339777445.80686355,12561993.947241608,0.03697124132948513,,,,,578798727.331549,,,,,
75,2021-12-05T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.354920963918216,354920963.918216,176265318.43528154,354920963.918216,20118363.36518151,0.05668406606102129,,,,,579866407.571796,,,,,
76,2021-12-04T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.4463833921149514,446383392.11495143,222118312.08921966,446383392.11495143,31020037.545813996,0.06949191680013445,,,,,595468261.49592,,,,,
77,2021-12-03T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.4355225061332683,435522506.1332683,214662403.41911414,435522506.1332683,11224694.297500623,0.02577293742442304,,,,,596504135.4717602,,,,,
78,2021-12-02T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.44526120106677947,445261201.0667795,218754246.25343478,445261201.0667795,11425944.999043208,0.025661218564897066,,,,,592527683.8684705,,,,,
79,2021-12-01T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.4499764675324486,449976467.5324486,220920556.39664632,449976467.5324486,11261348.386376968,0.025026527382934514,,,,,596469226.724993,,,,,
80,2021-11-30T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.46380020329407545,463800203.2940754,226395000.33230162,463800203.2940754,11574071.419380203,0.0249548649120397,,,,,596469226.724993,,,,,
81,2021-11-29T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.4561362878477335,456136287.8477335,223303102.9926022,456136287.8477335,10589375.95644508,0.02321537715495243,,,,,595799979.648571,,,,,
82,2021-11-28T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.4483289924863614,448328992.4863614,219641944.65567514,448328992.4863614,17094030.61713598,0.038128318497394516,,,,,587540563.0203105,,,,,
83,2021-11-27T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.43839058977973894,438390589.77973896,213960521.53580627,438390589.77973896,18882845.51368914,0.04307310867045862,,,,,587540563.0203105,,,,,
84,2021-11-26T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.4897177960148952,489717796.0148952,235885916.7613237,489717796.0148952,16321649.698252937,0.03332868405247111,,,,,598736606.4265355,,,,,
85,2021-11-25T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.4741147349035051,474114734.9035051,228762098.77834806,474114734.9035051,11127639.316603903,0.023470351156389756,,,,,597567899.014028,,,,,
86,2021-11-24T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.49123811493211733,491238114.93211734,236942641.8134008,491238114.93211734,11790570.23872398,0.0240017414779659,,,,,599551083.011476,,,,,
87,2021-11-23T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.48136133378356966,481361333.78356963,232353782.98643515,481361333.78356963,16336980.242544647,0.03393912035712055,,,,,603057115.8613498,,,,,
88,2021-11-22T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.5135500795254321,513550079.52543205,247833089.26005086,513550079.52543205,29872847.424348626,0.05816929763101957,,,,,609606615.541102,,,,,
89,2021-11-21T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.49126594974099846,491265949.74099845,236386379.9482936,491265949.74099845,18126938.00054284,0.036898421333901914,,,,,616520506.410197,,,,,
90,2021-11-20T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.4824237351330354,482423735.13303536,230935972.08710322,482423735.13303536,11652977.960981973,0.02415506765596534,,,,,616520506.410197,,,,,
91,2021-11-19T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.45005250205964825,450052502.0596483,214827807.3398305,450052502.0596483,17415624.574084137,0.03869687313009524,,,,,621917705.2240735,,,,,
92,2021-11-18T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.49312752117845776,493127521.17845774,232476686.08770344,493127521.17845774,12262645.119123382,0.024867087299890647,,,,,621917705.2240735,,,,,
93,2021-11-17T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.5008525978538965,500852597.85389644,238058294.7519736,500852597.85389644,20737130.57301001,0.041403659803036966,,,,,616826298.11973,,,,,
94,2021-11-16T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.5446137139968366,544613713.9968365,256472998.79696256,544613713.9968365,17811607.22771169,0.03270502884878722,,,,,636336513.5321997,,,,,
95,2021-11-15T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.5446137139968366,544613713.9968365,256472998.79696256,544613713.9968365,17811607.22771169,0.03270502884878722,,,,,630717278.332252,,,,,
96,2021-11-14T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.552370957123629,552370957.1236291,261177343.9260038,552370957.1236291,18315121.627626754,0.033157285681708185,,,,,630011120.719883,,,,,
97,2021-11-13T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.5376319391145621,537631939.114562,248919397.2993504,537631939.114562,22596664.76396341,0.042029989515091605,,,,,630011120.719883,,,,,
98,2021-11-12T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.5691767758495523,569176775.8495523,263951374.10923025,569176775.8495523,15770292.643638657,0.027707196275006032,,,,,634614991.541958,,,,,
99,2021-11-11T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.5579841583131862,557984158.3131862,255418783.0684357,557984158.3131862,32489030.533779502,0.058225722092174546,,,,,633190540.517422,,,,,
100,2021-11-10T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.5931349943294214,593134994.3294214,273889354.83756864,593134994.3294214,26282865.621625043,0.04431177703709688,,,,,633846927.738765,,,,,
101,2021-11-09T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.5912918869443273,591291886.9443274,273120985.2097227,591291886.9443274,20124992.538061894,0.03403563110270909,,,,,636784600.0707414,,,,,
102,2021-11-08T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.601631870808701,601631870.8087009,275193120.08510727,601631870.8087009,31428117.064389247,0.05223811867237724,,,,,627214831.777742,,,,,
103,2021-11-07T00:00:00+00:00,Ellipsis Finance,total,total,total,total,,0.6055972491934875,605597249.1934874,276020630.27672607,605597249.1934874,19336817.901578218,0.03193016138585553,,,,,624711856.228123,,,,,
