,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Enzyme Finance,total,total,total,total,,56.54145217151294,103156317.37543854,82214508.74266359,103156317.37543854,5567017.186081725,0.05396680811918193,,,,,,,,,,
1,2022-02-17T00:00:00+00:00,Enzyme Finance,total,total,total,total,,61.66035111753646,112495426.01182486,89664655.0263978,112495426.01182486,11370091.352654979,0.10107158802580846,,,,,,,,,,
2,2022-02-16T00:00:00+00:00,Enzyme Finance,total,total,total,total,,60.760582847373165,110853855.48831296,88369764.52925144,110853855.48831296,5770838.309611679,0.052058074878776624,,,,,,,,,,
3,2022-02-15T00:00:00+00:00,Enzyme Finance,total,total,total,total,,56.12834674857449,102402632.55692899,81649332.02324982,102402632.55692899,6534042.266963186,0.06380736611757219,,,,,,,,,,
4,2022-02-14T00:00:00+00:00,Enzyme Finance,total,total,total,total,,56.731575318142674,103503185.07870626,82598247.35244325,103503185.07870626,16125828.96767973,0.1558003162455075,,,,,,,,,,
5,2022-02-13T00:00:00+00:00,Enzyme Finance,total,total,total,total,,57.82456227822371,105497270.92919563,84062942.74675372,105497270.92919563,3829481.450308843,0.03629934136285853,,,,,,,,,,
6,2022-02-12T00:00:00+00:00,Enzyme Finance,total,total,total,total,,57.75608017745702,105372329.65071915,83993737.1376069,105372329.65071915,5146519.57707044,0.04884128114211543,,,,,,,,,,
7,2022-02-11T00:00:00+00:00,Enzyme Finance,total,total,total,total,,61.24517157826327,111737957.0987319,89027215.02608551,111737957.0987319,6293005.471702055,0.05631931740206725,,,,,,,,,,
8,2022-02-10T00:00:00+00:00,Enzyme Finance,total,total,total,total,,65.71398764562198,119891030.47821563,95551452.158786,119891030.47821563,7209941.673340439,0.060137456860465434,,,,,,,,,,
9,2022-02-09T00:00:00+00:00,Enzyme Finance,total,total,total,total,,62.28310274091564,113631597.11532791,90530840.2406719,113631597.11532791,6297694.41896867,0.055422035585550755,,,,,105984346.91646287,,,,,
10,2022-02-08T00:00:00+00:00,Enzyme Finance,total,total,total,total,,63.58609042115083,116008816.04969315,92454620.31772245,116008816.04969315,6900267.443946516,0.05948054362515639,,,,,104784254.81792806,,,,,
11,2022-02-07T00:00:00+00:00,Enzyme Finance,total,total,total,total,,62.67628399416471,114348931.54146188,91019292.78057936,114348931.54146188,8003212.096976722,0.06998939114769805,,,,,104784254.81792806,,,,,
12,2022-02-06T00:00:00+00:00,Enzyme Finance,total,total,total,total,,60.88310121692988,111077382.5349119,88698379.88712026,111077382.5349119,6160477.265590839,0.055461131015169404,,,,,103835804.37910332,,,,,
13,2022-02-05T00:00:00+00:00,Enzyme Finance,total,total,total,total,,59.74360936247763,108998451.4344506,86461179.98947467,108998451.4344506,7434545.078014912,0.06820780460799383,,,,,93747387.33109379,,,,,
14,2022-02-04T00:00:00+00:00,Enzyme Finance,total,total,total,total,,56.96479541993074,103928680.46155217,82808647.66828929,103928680.46155217,5536713.967575378,0.05327416785228649,,,,,93747387.33109379,,,,,
15,2022-02-03T00:00:00+00:00,Enzyme Finance,total,total,total,total,,55.03707482928581,100411675.6903177,80063447.31320664,100411675.6903177,5242586.004284261,0.05221092037596363,,,,,96860962.43061405,,,,,
16,2022-02-02T00:00:00+00:00,Enzyme Finance,total,total,total,total,,56.47325929072251,103031903.7605879,82182792.68238446,103031903.7605879,8565985.094199006,0.08313915186992492,,,,,96860962.43061405,,,,,
17,2022-02-01T00:00:00+00:00,Enzyme Finance,total,total,total,total,,56.635075230312,103327126.74796472,82293956.92727265,103327126.74796472,5106016.854882343,0.049416034448890915,,,,,90724136.78143504,,,,,
18,2022-01-31T00:00:00+00:00,Enzyme Finance,total,total,total,total,,55.669946016322115,101566309.30018067,80820233.41008307,101566309.30018067,4943430.124599484,0.04867194799792425,,,,,92066146.74524522,,,,,
19,2022-01-30T00:00:00+00:00,Enzyme Finance,total,total,total,total,,58.22859198069424,106234397.66748185,84595029.49118704,106234397.66748185,8809394.597041624,0.0829241261819491,,,,,91082071.06426394,,,,,
20,2022-01-29T00:00:00+00:00,Enzyme Finance,total,total,total,total,,56.444035623789624,102978587.02135988,81981701.66091858,102978587.02135988,6995729.573100033,0.06793382756017982,,,,,91082071.06426394,,,,,
21,2022-01-28T00:00:00+00:00,Enzyme Finance,total,total,total,total,,53.327401208971246,97292483.87949187,77242756.79470296,97292483.87949187,6454316.414164127,0.06633931170015717,,,,,89693121.94241358,,,,,
22,2022-01-27T00:00:00+00:00,Enzyme Finance,total,total,total,total,,53.98096110766182,98484862.74037921,78502390.28536631,98484862.74037921,8843019.478101706,0.08979064631905133,,,,,87810027.26794438,,,,,
23,2022-01-26T00:00:00+00:00,Enzyme Finance,total,total,total,total,,53.426746845758565,97473733.73503523,77396574.25159001,97473733.73503523,7550492.858679524,0.07746182042440457,,,,,87810027.26794438,,,,,
24,2022-01-25T00:00:00+00:00,Enzyme Finance,total,total,total,total,,53.715001304282175,97999635.83458066,78099654.22915831,97999635.83458066,16108260.714391831,0.16437061808660097,,,,,89331592.31884144,,,,,
25,2022-01-24T00:00:00+00:00,Enzyme Finance,total,total,total,total,,56.19879703626868,102531164.66845892,81351474.7981144,102531164.66845892,9354211.223566605,0.09123285835886137,,,,,87732152.02019489,,,,,
26,2022-01-23T00:00:00+00:00,Enzyme Finance,total,total,total,total,,53.3610918634472,97353950.35607202,77353347.2159904,97353950.35607202,12176867.0381992,0.12507830441047657,,,,,91706239.2743242,,,,,
27,2022-01-22T00:00:00+00:00,Enzyme Finance,total,total,total,total,,60.382266366880174,110163640.90359177,88221030.73554291,110163640.90359177,10162691.687892346,0.09225086974736146,,,,,105432462.41338654,,,,,
28,2022-01-21T00:00:00+00:00,Enzyme Finance,total,total,total,total,,69.86279816270111,127460273.89156392,101814004.91920808,127460273.89156392,6101640.87228211,0.04787092233516652,,,,,105432462.41338654,,,,,
29,2022-01-20T00:00:00+00:00,Enzyme Finance,total,total,total,total,,71.76731886102348,130934951.9208491,104347066.0318657,130934951.9208491,7166022.715918156,0.054729639494961256,,,,,108469048.58477908,,,,,
30,2022-01-19T00:00:00+00:00,Enzyme Finance,total,total,total,total,,73.45758533059814,134018736.60780047,107334925.95892951,134018736.60780047,6331329.203407485,0.04724211974879171,,,,,112462142.8096069,,,,,
31,2022-01-18T00:00:00+00:00,Enzyme Finance,total,total,total,total,,76.40829516998707,139402120.8150457,111171552.07709804,139402120.8150457,11919480.250845382,0.08550429635614919,,,,,116032015.37680939,,,,,
32,2022-01-17T00:00:00+00:00,Enzyme Finance,total,total,total,total,,76.74081124084168,140008775.43780747,111568980.5784721,140008775.43780747,5814168.402983162,0.041527171313385576,,,,,115658928.36447386,,,,,
33,2022-01-16T00:00:00+00:00,Enzyme Finance,total,total,total,total,,77.12656418238758,140712557.37722266,112130910.4689367,140712557.37722266,7787443.732844733,0.055342919480655374,,,,,114663173.45623802,,,,,
34,2022-01-15T00:00:00+00:00,Enzyme Finance,total,total,total,total,,78.43828521129433,143105709.7560382,113708338.73374139,143105709.7560382,17292608.937285192,0.12083800825812648,,,,,113560131.26899576,,,,,
35,2022-01-14T00:00:00+00:00,Enzyme Finance,total,total,total,total,,75.33459023156628,137443213.7983081,109568321.0366731,137443213.7983081,6105414.63784736,0.044421361150698856,,,,,113560131.26899576,,,,,
36,2022-01-13T00:00:00+00:00,Enzyme Finance,total,total,total,total,,77.26714628883632,140969040.57376567,112361135.32147466,140969040.57376567,6424641.559869464,0.04557484064387602,,,,,111210698.8538004,,,,,
