,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Ethereum,total,total,total,total,,,,,,,,,,,,,,26719885.26897392,26719885.26897392,0.0,
1,2022-02-17T00:00:00+00:00,Ethereum,total,total,total,total,,3128.640780542462,376071884044.5087,376071884044.5087,,13120593628.157278,0.03488852579738302,40.67151387181,40.67151387181,31.885297020672425,31.885297020672425,,,22377100.290739752,22377100.290739752,0.0,
2,2022-02-16T00:00:00+00:00,Ethereum,total,total,total,total,,3179.3002065350443,381791121976.2447,381791121976.2447,,14189484930.460047,0.03716557068433594,39.21126048070756,39.21126048070756,31.613813342674653,31.613813342674653,,,25871597.168001372,25871597.168001372,0.0,
3,2022-02-15T00:00:00+00:00,Ethereum,total,total,total,total,,2935.6454998606846,351368910987.00305,351368910987.00305,,12117644856.003006,0.034486957943900824,34.40204697578668,34.40204697578668,28.5921773987455,28.5921773987455,,,24542886.912448768,24542886.912448768,0.0,
4,2022-02-14T00:00:00+00:00,Ethereum,total,total,total,total,,2889.235678281073,345252969326.4971,345252969326.4971,,9020562479.291342,0.026127400140506313,32.31963594360505,32.31963594360505,27.561045759067575,27.561045759067575,,,18566594.445382755,18566594.445382755,0.0,
5,2022-02-13T00:00:00+00:00,Ethereum,total,total,total,total,,2918.0853674291184,347517755313.83966,347517755313.83966,,11367427285.455873,0.03271034964872534,30.640021100633994,30.640021100633994,26.659609095195542,26.659609095195542,,,16611209.30100823,16611209.30100823,0.0,
6,2022-02-12T00:00:00+00:00,Ethereum,total,total,total,total,,2930.5631692063735,350133590835.08734,350133590835.08734,,16560032290.708168,0.04729632552881203,29.29819526440794,29.29819526440794,25.993029735776776,25.993029735776776,,,19391142.548743825,2052544.0326365232,17338598.516107302,
7,2022-02-11T00:00:00+00:00,Ethereum,total,total,total,total,,3081.911501840844,368377710139.77985,368377710139.77985,,18990367974.117947,0.0515513492032732,29.72253888189063,29.72253888189063,26.28231040975419,26.28231040975419,,,22207407.21922608,1594078.2279816158,20613328.991244465,
8,2022-02-10T00:00:00+00:00,Ethereum,total,total,total,total,,3240.9210444877285,387321193246.79065,387321193246.79065,,14005361496.44425,0.036159553726047754,30.327829984323746,30.327829984323746,26.79165031847376,26.79165031847376,,,33802698.477485396,6966788.076225489,26835910.401259907,
9,2022-02-09T00:00:00+00:00,Ethereum,total,total,total,total,,3127.438106740214,374043919421.316,374043919421.316,,16856365272.811357,0.045065203302569044,28.385660392309195,28.385660392309195,25.246177963637244,25.246177963637244,,,30696184.403583955,4338185.140670296,26357999.26291366,
10,2022-02-08T00:00:00+00:00,Ethereum,total,total,total,total,,3149.953285509783,376351043607.997,376351043607.997,,14427983727.88122,0.03833650516699309,28.125850620092173,28.125850620092173,25.054223556713332,25.054223556713332,,,28007762.63837374,2552697.92788906,25455064.71048468,
