,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,66217408.97785277,38234886.32505276,5433.252777393836,4183.604638593254,1249.6481388005825,
1,2022-02-17T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,57682243.75416377,33896967.2719079,6678.673633188915,5142.578697555465,1536.0949356334502,
2,2022-02-16T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,56590199.64243445,30482957.85358145,6183.135618088323,4761.01442592801,1422.1211921603146,
3,2022-02-15T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,55876342.12603292,29170485.19537908,5895.613291398526,4539.622234376865,1355.991057021661,
4,2022-02-14T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,51858891.66713094,29592837.49345169,4775.357983161868,3677.0256470346394,1098.3323361272298,
5,2022-02-13T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,51761806.33984891,30571818.637644924,5942.261793505346,4575.541580999117,1366.7202125062297,
6,2022-02-12T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,51113733.36347101,30596190.987607922,7001.336261728014,5391.028921530571,1610.3073401974432,
7,2022-02-11T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,46565458.843659,30888709.294727515,7349.0319978863645,5658.754638372502,1690.277359513864,
8,2022-02-10T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,46953227.384916306,30797043.927411146,6202.515465273407,4775.9369082605235,1426.578557012884,
9,2022-02-09T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,43761064.952124335,30320773.115011297,5602.190729033358,4313.686861355687,1288.503867677673,
10,2022-02-08T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,42579354.80479132,28676791.11140941,6379.613097370845,4912.302084975551,1467.3110123952945,
11,2022-02-07T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,42579354.80479132,27959649.250414036,6359.481126599573,4896.800467481671,1462.680659117902,
12,2022-02-06T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,41775657.176492766,27688760.15745784,5235.002328499507,4030.9517929446206,1204.0505355548867,
13,2022-02-05T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,40243881.829780735,26246044.38600429,5998.546747290946,4618.880995414029,1379.6657518769175,
14,2022-02-04T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,36402531.14706626,21053601.27575778,4257.445376720416,3278.23294007472,979.2124366456954,
15,2022-02-03T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,35850714.839863755,16894900.03287661,2337.974011296107,1800.2399886980022,537.7340225981046,
16,2022-02-02T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,35881165.674890585,16283447.236402947,3215.251953065763,2475.7440038606383,739.5079492051257,
17,2022-02-01T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,34426375.10954431,15924041.302814007,2596.072369947851,1998.975724859845,597.0966450880056,
18,2022-01-31T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,33683771.347488426,14154719.806713069,2439.607362803685,1878.4976693588376,561.1096934448476,
19,2022-01-30T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,30775785.574898835,12973849.44379196,1811.9377991571348,1395.1921053509936,416.74569380614105,
20,2022-01-29T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,29340633.5409492,13198347.68084716,2060.4701102568542,1586.5619848977776,473.9081253590765,
21,2022-01-28T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,28661496.976038124,14288763.295670241,3056.7933261379435,2353.730861126216,703.062465011727,
22,2022-01-27T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,28301823.58153432,12974895.497518014,2893.578946790455,2228.0557890286505,665.5231577618048,
23,2022-01-26T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,27867196.10010324,13111550.252181474,1610.2425490067978,1239.8867627352342,370.3557862715635,
24,2022-01-25T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,27824752.99582899,12599720.773024501,2466.552341527393,1899.2453029760927,567.3070385513005,
25,2022-01-24T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,27224772.945161555,12246048.695431627,1807.0065427776692,1391.3950379388052,415.61150483886394,
26,2022-01-23T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,26045793.739729665,12832194.532263253,2822.0909100505755,2173.0100007389433,649.0809093116324,
27,2022-01-22T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,27201733.18890328,12965408.821450587,2324.916842534224,1790.1859687513527,534.7308737828716,
28,2022-01-21T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,30154877.86096708,13591375.773566257,2905.5631922805164,2237.2836580559974,668.2795342245188,
29,2022-01-20T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,29893039.39326087,14177636.534504753,2722.3668689374485,2096.222489081835,626.1443798556131,
30,2022-01-19T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,31476907.274842322,14177336.157682022,2058.936497340458,1585.3811029521528,473.5553943883054,
31,2022-01-18T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,32938743.420351747,14056457.415202526,3237.214960653759,2492.655519703395,744.5594409503645,
32,2022-01-17T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,33580345.09369356,14026848.415576408,1783.4575304793339,1373.262298469087,410.19523201024674,
33,2022-01-16T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,33228934.174087577,14076307.485122077,3052.1642635459716,2350.1664829303977,701.9977806155734,
34,2022-01-15T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,32743744.871101175,13340717.324442774,1697.8397410187413,1307.3366005844307,390.5031404343105,
35,2022-01-14T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,31546059.506805304,11655866.465680165,1735.7106649334382,1336.4972119987474,399.21345293469074,
36,2022-01-13T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,30309453.94149397,11147047.73055324,1726.403790291607,1329.3309185245373,397.0728717670696,
37,2022-01-12T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,29810134.18123992,11131034.0054917,1682.7288204261886,1295.7011917281657,387.0276286980234,
38,2022-01-11T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,28998835.803009413,11320387.769027682,2024.3342356006513,1558.7373614125017,465.5968741881498,
39,2022-01-10T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,29652381.00901914,11541621.015113141,2126.6811256001038,1637.54446671208,489.1366588880238,
40,2022-01-09T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,29439477.843101595,11605817.541192116,1531.8643635228314,1179.53555991258,352.3288036102512,
41,2022-01-08T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,29594884.400553912,11915979.908882549,1736.100604384165,1336.7974653758072,399.30313900835796,
42,2022-01-07T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,29405016.61993811,12098701.236573977,2338.293921879024,1800.4863198468481,537.8076020321755,
43,2022-01-06T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,29237894.755491413,12480534.032923175,1667.5584347742551,1284.0199947761766,383.53843999807873,
44,2022-01-05T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,30765495.97209944,12542340.10221073,2810.0575761303094,2163.7443336203382,646.3132425099712,
45,2022-01-04T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,29037126.741461728,12496083.972723648,2109.116231157502,1624.0194979912767,485.09673316622553,
46,2022-01-03T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,29389218.109979086,12552478.957824534,1992.7249222791954,1534.3981901549805,458.32673212421497,
47,2022-01-02T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,28815229.400968928,12524107.439607088,1569.6444810477824,1208.6262504067925,361.01823064099005,
48,2022-01-01T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,28611664.196095597,12339539.562711962,2294.8339309463904,1767.0221268287207,527.8118041176699,
49,2021-12-31T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,28615959.027356293,11975873.272185272,2343.6721012062144,1804.6275179287854,539.0445832774294,
50,2021-12-30T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,27200267.723279033,12158690.14438787,2129.7202082172535,1639.884560327285,489.8356478899682,
51,2021-12-29T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,27897218.646279644,12170884.507765144,2270.106516152775,1747.9820174376368,522.1244987151382,
52,2021-12-28T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,27594694.568425316,12043741.806963665,1781.2804125191676,1371.5859176397591,409.6944948794086,
53,2021-12-27T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,27529330.648965877,11699179.165557334,2751.360496369917,2118.547582204836,632.8129141650809,
54,2021-12-26T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,27381019.796023324,10839695.738755532,1480.2699489706608,1139.807860707409,340.462088263252,
55,2021-12-25T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,26189182.54303001,10773980.466976913,2290.32183221457,1763.547810805219,526.7740214093511,
56,2021-12-24T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,26351235.302951112,10731811.222071595,1523.6867531798077,1173.2387999484517,350.44795323135577,
57,2021-12-23T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,23361975.387107033,10391928.894595474,1929.6002367860285,1485.7921823252418,443.80805446078654,
58,2021-12-22T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,25142002.229568888,10388608.409641398,1919.298087485462,1477.8595273638057,441.4385601216563,
59,2021-12-21T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,22033420.298937332,10295662.46024665,2255.0763862350377,1736.4088174009787,518.6675688340586,
60,2021-12-20T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,20184678.055696584,10091922.419281874,2091.410584398935,1610.38614998718,481.02443441175507,
61,2021-12-19T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,20159507.58256223,10004142.170624385,1790.0350228588184,1378.3269676012899,411.7080552575282,
62,2021-12-18T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,20081001.114583675,9370749.170557626,1867.0029425143252,1437.5922657360306,429.4106767782948,
63,2021-12-17T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,16763794.554706259,5680705.416847422,1207.2828587112951,929.6078012076972,277.6750575035978,
64,2021-12-16T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,14757582.111853551,3725934.2918421533,348.50590347910105,268.3495456789078,80.15635780019325,
65,2021-12-15T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,11911666.040175008,2674533.037903655,313.3006906955087,241.24153183554174,72.059158859967,
66,2021-12-14T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,3830313.476975148,1065229.5298827987,103.5388193118985,79.72489087016184,23.813928441736653,
67,2021-12-13T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,884.7659171099999,31338.547353842154,0.38206561008656986,0.2941905197666588,0.08787509031991107,
68,2021-12-12T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,506.0319,2027.2077962279363,5.087287542807592,3.917211407961846,1.1700761348457462,
69,2021-12-11T00:00:00+00:00,Euler,total,total,total,total,,,,,,,,,,,,,2001.4764093934486,0.0,0.0,0.0,
