,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.677111660808866,677111660.808866,307975928.14573663,677111660.808866,9383106.614458604,0.013857546926971697,,,,,402214305.0129195,,,,,
1,2022-02-17T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6844672903397102,684467290.3397102,311693447.9755088,684467290.3397102,10247393.827147277,0.01497134190599723,,,,,431470530.6673027,,,,,
2,2022-02-16T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7004037061899134,700403706.1899134,318729045.46636397,700403706.1899134,10980885.843626555,0.01567793794718885,,,,,433850383.16880506,,,,,
3,2022-02-15T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6830499120536494,683049912.0536494,311062316.00443083,683049912.0536494,10452080.167387303,0.015302073805942245,,,,,406180002.6937664,,,,,
4,2022-02-14T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6836088958507299,683608895.85073,310798056.3250682,683608895.85073,12079195.340574907,0.017669745689225892,,,,,389999774.78273684,,,,,
5,2022-02-13T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7034761429750028,703476142.9750029,320303505.9215742,703476142.9750029,21357944.316806447,0.030360580852797126,,,,,392316516.175958,,,,,
6,2022-02-12T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7023191571015951,702319157.101595,319857234.7715486,702319157.101595,26116068.02708207,0.03718547011427201,,,,,392405896.87785465,,,,,
7,2022-02-11T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6987041775107782,698704177.5107782,317704783.9912607,698704177.5107782,13662804.409837145,0.019554490798255438,,,,,462940251.59342974,,,,,
8,2022-02-10T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7252118445852087,725211844.5852087,329982652.40991014,725211844.5852087,12573014.705768095,0.017337023381022332,,,,,481948749.6604863,,,,,
9,2022-02-09T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7121932876195298,712193287.6195298,324199924.8469224,712193287.6195298,15301624.433649823,0.021485212932566004,,,,,466697951.0913064,,,,,
10,2022-02-08T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7348812759269747,734881275.9269748,334405019.07555056,734881275.9269748,14669589.343877291,0.019961849382232742,,,,,455218664.84892815,,,,,
11,2022-02-07T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7304223738034112,730422373.8034112,333414311.6252487,730422373.8034112,12394129.008576032,0.016968441073399863,,,,,453872031.67818224,,,,,
12,2022-02-06T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7138972121219506,713897212.1219505,325828807.7893332,713897212.1219505,15000919.346061867,0.0210127159643528,,,,,453872031.67818224,,,,,
13,2022-02-05T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7080794600982498,708079460.0982498,323109739.6421337,708079460.0982498,18090708.645105924,0.02554898096125503,,,,,409698453.30311465,,,,,
14,2022-02-04T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6830994174595318,683099417.4595318,311028704.2758397,683099417.4595318,12778592.646470198,0.018706783112177414,,,,,409698453.30311465,,,,,
15,2022-02-03T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6784932054562439,678493205.4562439,309199926.22426224,678493205.4562439,12654544.897947196,0.018650953017927147,,,,,402313971.1510593,,,,,
16,2022-02-02T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6928611953846757,692861195.3846757,315421496.66471666,692861195.3846757,12072195.120882668,0.017423684861121714,,,,,402313971.1510593,,,,,
17,2022-02-01T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6813283630443459,681328363.0443459,309781631.58741057,681328363.0443459,11037581.47348092,0.016200090987203642,,,,,388214888.498897,,,,,
18,2022-01-31T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6803966445452461,680396644.5452461,309790569.6774476,680396644.5452461,9651139.09436758,0.014184577733798309,,,,,365299795.73380494,,,,,
19,2022-01-30T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6852435580056686,685243558.0056686,311704915.2246302,685243558.0056686,16222262.818241388,0.02367371809441686,,,,,400080275.72475564,,,,,
20,2022-01-29T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6856479448209579,685647944.8209579,311623957.56955135,685647944.8209579,15953557.335552838,0.023267855546068562,,,,,400080275.72475564,,,,,
21,2022-01-28T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.6807385230372514,680738523.0372514,309417332.08580184,680738523.0372514,15265623.033641113,0.022425090570062756,,,,,394101536.51969314,,,,,
22,2022-01-27T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.692123241963001,692123241.963001,317130734.00863236,692123241.963001,17687840.516160764,0.02555591178529778,,,,,384160554.3574993,,,,,
23,2022-01-26T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7087449523726808,708744952.3726808,322130353.4684051,708744952.3726808,24679526.990873225,0.03482145009746177,,,,,384160554.3574993,,,,,
24,2022-01-25T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7851099483449611,785109948.344961,360536348.7025646,785109948.344961,41699195.72518966,0.053112555525621614,,,,,393276023.31995666,,,,,
25,2022-01-24T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7463530312597864,746353031.2597864,339498345.2035823,746353031.2597864,16768478.61960471,0.022467221163824862,,,,,428020386.77002925,,,,,
26,2022-01-23T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7327805818884817,732780581.8884817,333195970.09499425,732780581.8884817,22465385.97810903,0.030657725563923204,,,,,564286325.7332673,,,,,
27,2022-01-22T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.7511622516598632,751162251.6598631,343650390.00110936,751162251.6598631,34832907.197925694,0.04637201499536817,,,,,656396736.2775574,,,,,
28,2022-01-21T00:00:00+00:00,Fei Protocol,total,total,total,total,,0.9802274672415069,980227467.2415069,446386576.7207209,980227467.2415069,19016096.17169572,0.01939967691908246,,,,,656396736.2775574,,,,,
29,2022-01-20T00:00:00+00:00,Fei Protocol,total,total,total,total,,1.0140850036711655,1014085003.6711655,461603763.158393,1014085003.6711655,22694289.396944676,0.022379079973362557,,,,,667595646.4480108,,,,,
30,2022-01-19T00:00:00+00:00,Fei Protocol,total,total,total,total,,1.0051694878547397,1005169487.8547397,457553936.85027355,1005169487.8547397,27732453.285891384,0.02758982800510464,,,,,693654394.4111805,,,,,
31,2022-01-18T00:00:00+00:00,Fei Protocol,total,total,total,total,,1.130291514332367,1130291514.3323672,514418997.3849393,1130291514.3323672,25275493.32774473,0.0223619243418582,,,,,693654394.4111805,,,,,
32,2022-01-17T00:00:00+00:00,Fei Protocol,total,total,total,total,,1.2086234329008663,1208623432.9008663,550132562.1542332,1208623432.9008663,26811971.114600427,0.02218389151222058,,,,,707677642.5388633,,,,,
33,2022-01-16T00:00:00+00:00,Fei Protocol,total,total,total,total,,1.1765739829818607,1176573982.9818606,535024937.5417343,1176573982.9818606,29558181.817824353,0.025122246663072827,,,,,704300336.1926924,,,,,
34,2022-01-15T00:00:00+00:00,Fei Protocol,total,total,total,total,,1.1182027936749606,1118202793.6749606,508181513.4756309,1118202793.6749606,50482487.579385504,0.04514609323544559,,,,,698367015.3607503,,,,,
35,2022-01-14T00:00:00+00:00,Fei Protocol,total,total,total,total,,1.232249789776419,1232249789.7764192,562813453.8677603,1232249789.7764192,82177738.7834369,0.06668918872231848,,,,,698367015.3607503,,,,,
