,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Harvest Finance,total,total,total,total,,98.30561359508766,67872161.73832043,64568401.75587432,67872161.73832043,6375844.000728713,0.09393901472168567,,,,,245836647.54862005,,,,,
1,2022-02-17T00:00:00+00:00,Harvest Finance,total,total,total,total,,107.18321098058139,74001432.525213,70451174.7994924,74001432.525213,5800663.202435657,0.07838582314550892,,,,,261227137.76333168,,,,,
2,2022-02-16T00:00:00+00:00,Harvest Finance,total,total,total,total,,107.7243468792641,74375043.57238153,70818314.23344803,74375043.57238153,8089646.659678844,0.10876829472786834,,,,,260546832.0178958,,,,,
3,2022-02-15T00:00:00+00:00,Harvest Finance,total,total,total,total,,105.36764029526505,72747926.2126569,68914526.07368113,72747926.2126569,9473720.566085305,0.13022667530606583,,,,,252147023.3566208,,,,,
4,2022-02-14T00:00:00+00:00,Harvest Finance,total,total,total,total,,108.74473215978664,75079537.97775988,71157025.09002969,75079537.97775988,11016128.878049647,0.1467261143950147,,,,,252012513.7664879,,,,,
5,2022-02-13T00:00:00+00:00,Harvest Finance,total,total,total,total,,106.90205341742866,73807315.7204611,69953999.66525365,73807315.7204611,8738385.752999952,0.11839457468004719,,,,,255678807.4030437,,,,,
6,2022-02-12T00:00:00+00:00,Harvest Finance,total,total,total,total,,108.17614421323222,74686973.48769979,70629010.93633202,74686973.48769979,6608662.813265265,0.08848481207172823,,,,,253001080.71476516,,,,,
7,2022-02-11T00:00:00+00:00,Harvest Finance,total,total,total,total,,115.48266832813592,79731543.8671116,75465825.81102839,79731543.8671116,11779875.086372934,0.147744224117953,,,,,272506386.937572,,,,,
8,2022-02-10T00:00:00+00:00,Harvest Finance,total,total,total,total,,118.73497368402553,81977000.5309249,77663656.04544967,81977000.5309249,8423965.90007588,0.10276011375773665,,,,,276610775.5837369,,,,,
9,2022-02-09T00:00:00+00:00,Harvest Finance,total,total,total,total,,116.60462646331194,80506166.20279983,76267893.99117455,80506166.20279983,10072537.701015236,0.12511510827185476,,,,,274404942.23449576,,,,,
10,2022-02-08T00:00:00+00:00,Harvest Finance,total,total,total,total,,121.49825436009168,83884824.7752945,79351744.05954911,83884824.7752945,21024606.935724504,0.25063659597601745,,,,,272292238.48287535,,,,,
11,2022-02-07T00:00:00+00:00,Harvest Finance,total,total,total,total,,122.03546867966475,84255728.28581414,80657270.10873069,84255728.28581414,33560292.65009433,0.3983146705022876,,,,,272292238.48287535,,,,,
