,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Idle Finance,total,total,total,total,,1.579700108821022,20536101.414673287,4209315.3725379985,20536101.414673287,69302.96352442369,0.0033746893884593837,,,,,76900673.36371523,,,,,
1,2022-02-17T00:00:00+00:00,Idle Finance,total,total,total,total,,1.451595376610471,18870739.895936124,3865758.9352747374,18870739.895936124,79039.96356273502,0.004188493084987968,,,,,78189369.66925585,,,,,
2,2022-02-16T00:00:00+00:00,Idle Finance,total,total,total,total,,1.306440225978457,16983722.93771994,3481436.4274748885,16983722.93771994,1411557.818161776,0.08311239080724649,,,,,78311511.65158191,,,,,
3,2022-02-15T00:00:00+00:00,Idle Finance,total,total,total,total,,1.2775414316519536,16608038.611475397,3402898.45063339,16608038.611475397,99335.52494725586,0.005981171363523899,,,,,78828505.82755865,,,,,
4,2022-02-14T00:00:00+00:00,Idle Finance,total,total,total,total,,1.279730856106826,16636501.129388737,3410451.1500717234,16636501.129388737,8011.80986669914,0.0004815802195658861,,,,,78094866.22330715,,,,,
5,2022-02-13T00:00:00+00:00,Idle Finance,total,total,total,total,,1.3090493347351144,17017641.351556487,3480953.357612976,17017641.351556487,34752.68852362401,0.002042156595364223,,,,,78004794.65449469,,,,,
6,2022-02-12T00:00:00+00:00,Idle Finance,total,total,total,total,,1.3503308833750725,17554301.48387594,3505563.0696275807,17554301.48387594,13953.60542256579,0.0007948824073337535,,,,,78004794.65449469,,,,,
7,2022-02-11T00:00:00+00:00,Idle Finance,total,total,total,total,,1.4522990441099908,18879887.57342988,3867046.1507674935,18879887.57342988,97804.16326206575,0.0051803361053753254,,,,,77871503.97024858,,,,,
8,2022-02-10T00:00:00+00:00,Idle Finance,total,total,total,total,,1.573895158650689,20460637.06245896,4190617.136994878,20460637.06245896,33383.244729719874,0.0016315838371900565,,,,,78098089.08986233,,,,,
9,2022-02-09T00:00:00+00:00,Idle Finance,total,total,total,total,,1.6173996705616638,21026195.71730163,4300280.9172841655,21026195.71730163,22943.192973118425,0.001091171854461498,,,,,78111656.63297153,,,,,
10,2022-02-08T00:00:00+00:00,Idle Finance,total,total,total,total,,1.7075960469024494,22198748.60973184,4551905.599182746,22198748.60973184,9246.056838072975,0.0004165125251258326,,,,,77964805.37333229,,,,,
11,2022-02-07T00:00:00+00:00,Idle Finance,total,total,total,total,,1.6004755463137565,20806182.102078836,4256088.783902805,20806182.102078836,23267.625169216837,0.0011183034472668615,,,,,77964805.37333229,,,,,
12,2022-02-06T00:00:00+00:00,Idle Finance,total,total,total,total,,1.665082797886324,21646076.372522213,4440964.088127553,21646076.372522213,8795.378399035073,0.0004063266823820335,,,,,78443392.64096704,,,,,
13,2022-02-05T00:00:00+00:00,Idle Finance,total,total,total,total,,1.6615067612215701,21599587.895880412,4467152.420125715,21599587.895880412,115147.3383993012,0.005330997005792999,,,,,78195630.86853726,,,,,
