,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Index Cooperative,total,total,total,total,,6.697236506061843,66972365.06061843,14613886.182393285,66972365.06061843,218653.2115264375,0.0032648273855720757,,,,,203063631.53901765,,,,,
1,2022-02-17T00:00:00+00:00,Index Cooperative,total,total,total,total,,7.596593706054074,75965937.06054074,16590691.039673157,75965937.06054074,193059.47889205694,0.002541395345892976,,,,,229659433.60072902,,,,,
2,2022-02-16T00:00:00+00:00,Index Cooperative,total,total,total,total,,7.554412214609287,75544122.14609286,16468424.546766156,75544122.14609286,200712.26475545732,0.0026568879093902893,,,,,229659433.60072902,,,,,
3,2022-02-15T00:00:00+00:00,Index Cooperative,total,total,total,total,,7.355419832865632,73554198.32865632,16044280.670851182,73554198.32865632,214149.29762866584,0.002911449006238906,,,,,205686093.09988594,,,,,
4,2022-02-14T00:00:00+00:00,Index Cooperative,total,total,total,total,,7.2295972853038775,72295972.85303877,15770374.854896614,72295972.85303877,213678.1697570645,0.0029556026611803603,,,,,205576492.94778025,,,,,
5,2022-02-13T00:00:00+00:00,Index Cooperative,total,total,total,total,,7.065883556136249,70658835.56136249,15404046.457496423,70658835.56136249,306461.0117978244,0.004337193068115076,,,,,208776964.29480866,,,,,
6,2022-02-12T00:00:00+00:00,Index Cooperative,total,total,total,total,,7.8955229498400605,78955229.4984006,17222299.711557686,78955229.4984006,244414.42701903294,0.0030956078346144767,,,,,209338764.39085957,,,,,
7,2022-02-11T00:00:00+00:00,Index Cooperative,total,total,total,total,,8.364636658058155,83646366.58058155,18235176.604145322,83646366.58058155,238379.2566847251,0.0028498459219394793,,,,,225637168.40419737,,,,,
8,2022-02-10T00:00:00+00:00,Index Cooperative,total,total,total,total,,8.7414721853244,87414721.85324399,19077691.42978351,87414721.85324399,326272.0243959233,0.0037324608198569154,,,,,242841199.20919484,,,,,
9,2022-02-09T00:00:00+00:00,Index Cooperative,total,total,total,total,,8.4489515686221,84489515.686221,18524163.11399526,84489515.686221,327959.95570798527,0.0038816645242229827,,,,,233538496.32540074,,,,,
10,2022-02-08T00:00:00+00:00,Index Cooperative,total,total,total,total,,9.379417025505107,93794170.25505108,20468197.342660423,93794170.25505108,245615.5907974952,0.0026186658523616306,,,,,228472185.20182383,,,,,
11,2022-02-07T00:00:00+00:00,Index Cooperative,total,total,total,total,,9.681959261248055,96819592.61248055,21137940.8767496,96819592.61248055,254513.7495092814,0.00262874220642479,,,,,228472185.20182383,,,,,
12,2022-02-06T00:00:00+00:00,Index Cooperative,total,total,total,total,,9.554240832043682,95542408.32043682,20839504.70057161,95542408.32043682,238577.81709786525,0.0024970881652648554,,,,,224692996.6253166,,,,,
13,2022-02-05T00:00:00+00:00,Index Cooperative,total,total,total,total,,9.470431648580385,94704316.48580386,20568823.201571457,94704316.48580386,490162.4613093691,0.005175714048713337,,,,,192136045.43099663,,,,,
14,2022-02-04T00:00:00+00:00,Index Cooperative,total,total,total,total,,8.55041511175661,85504151.11756611,18664044.751869943,85504151.11756611,232481.62911841497,0.0027189513734690897,,,,,192136045.43099663,,,,,
15,2022-02-03T00:00:00+00:00,Index Cooperative,total,total,total,total,,9.513950944428794,95139509.44428794,20764500.76824102,95139509.44428794,239204.42839199535,0.002514249125197238,,,,,206341798.3143775,,,,,
16,2022-02-02T00:00:00+00:00,Index Cooperative,total,total,total,total,,10.040426830945401,100404268.30945401,21910085.44085166,100404268.30945401,275849.3980159984,0.0027473871645158398,,,,,206341798.3143775,,,,,
17,2022-02-01T00:00:00+00:00,Index Cooperative,total,total,total,total,,9.82880277379065,98288027.7379065,21418282.683239277,98288027.7379065,343497.50420998904,0.003494805136653619,,,,,199984584.78369644,,,,,
18,2022-01-31T00:00:00+00:00,Index Cooperative,total,total,total,total,,9.362023643462964,93620236.43462963,20430999.702475563,93620236.43462963,287109.6091058052,0.0030667473191683258,,,,,188720138.72466236,,,,,
19,2022-01-30T00:00:00+00:00,Index Cooperative,total,total,total,total,,8.557596938822348,85575969.38822348,18649033.560640227,85575969.38822348,252756.16562734277,0.002953588109305435,,,,,183025287.8916972,,,,,
20,2022-01-29T00:00:00+00:00,Index Cooperative,total,total,total,total,,8.864473010669869,88644730.10669869,19321466.263179876,88644730.10669869,221047.66204105192,0.002493635682290242,,,,,183025287.8916972,,,,,
21,2022-01-28T00:00:00+00:00,Index Cooperative,total,total,total,total,,8.467323848196184,84673238.48196183,18000448.458940934,84673238.48196183,220178.9401374117,0.002600336825245169,,,,,188919970.28813285,,,,,
22,2022-01-27T00:00:00+00:00,Index Cooperative,total,total,total,total,,8.795963430716132,87959634.30716132,19233942.520990152,87959634.30716132,228863.7746667121,0.00260191821475182,,,,,176810174.75254306,,,,,
