,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.07472428868640006,22417286.605920017,1913076.5227905593,22417286.605920017,291427.2936520747,0.013000114544420991,,,,,6089963.17002769,,,,,
1,2022-02-17T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.07483868414159896,22451605.242479686,1917127.9996385463,22451605.242479686,295956.9007181207,0.013181992891900387,,,,,6423348.227019269,,,,,
2,2022-02-16T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.0694196932434683,20825907.97304049,1758992.7307927604,20825907.97304049,317099.37800909864,0.015226197024378933,,,,,6491043.033626677,,,,,
3,2022-02-15T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06385159740755574,19155479.22226672,1588608.693079352,19155479.22226672,277798.5495097512,0.014502302254429245,,,,,6221887.616077379,,,,,
4,2022-02-14T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06532207313838188,19596621.941514567,1614569.5454146788,19596621.941514567,256740.81813530994,0.013101279337915684,,,,,6173037.770783041,,,,,
5,2022-02-13T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06518605773037295,19555817.319111884,1604403.320422281,19555817.319111884,282729.42599484,0.014457561214714802,,,,,6190200.57508713,,,,,
6,2022-02-12T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06778854725221789,20336564.175665367,1670051.041088275,20336564.175665367,405835.87933602533,0.019955970724968703,,,,,6228419.352266185,,,,,
7,2022-02-11T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.08122200431768978,24366601.295306932,1999974.9367396706,24366601.295306932,292565.20150632557,0.012006812027686206,,,,,6439611.711212069,,,,,
8,2022-02-10T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.07762682211963326,23288046.635889977,1906765.3828571746,23288046.635889977,310447.5876941861,0.01333076975274281,,,,,6577722.799335423,,,,,
9,2022-02-09T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06746216207745784,20238648.623237353,1649038.7674280524,20238648.623237353,269098.83014147973,0.013296284507479876,,,,,6479233.585083436,,,,,
10,2022-02-08T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06430336382582724,19291009.147748172,1572236.9041683474,19291009.147748172,282450.63488738757,0.014641568656368497,,,,,6336257.8506544605,,,,,
11,2022-02-07T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06255311210595554,18765933.631786663,1529806.624754557,18765933.631786663,290847.38623132603,0.015498689910033274,,,,,6336257.8506544605,,,,,
12,2022-02-06T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06482658356064866,19447975.068194598,1573775.5494695802,19447975.068194598,288818.230749809,0.014850812474669668,,,,,6307340.697553318,,,,,
13,2022-02-05T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06352592778283482,19057778.334850445,1530980.5663351477,19057778.334850445,270166.1426783433,0.014176161456569034,,,,,5927033.661152696,,,,,
14,2022-02-04T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06061209944384992,18183629.833154976,1447506.0470635458,18183629.833154976,248037.78571732916,0.013640719041974305,,,,,5927033.661152696,,,,,
15,2022-02-03T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.05829321999068313,17487965.99720494,1387986.2777111107,17487965.99720494,242394.5644104216,0.01386064934304898,,,,,6077379.99637009,,,,,
16,2022-02-02T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.059378673346346666,17813602.003904,1411716.345765563,17813602.003904,250384.6052825075,0.014055810005614452,,,,,6077379.99637009,,,,,
17,2022-02-01T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.05935990786558225,17807972.359674674,1404621.6483628883,17807972.359674674,273585.0604432611,0.015363066323192514,,,,,5954431.378359526,,,,,
18,2022-01-31T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.0552432642083991,16572979.262519728,1308336.407852947,16572979.262519728,235762.71401504872,0.014225729139010806,,,,,5849026.659267524,,,,,
19,2022-01-30T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06453263730303348,19359791.19091004,1517674.8647020815,19359791.19091004,282334.4294700326,0.014583547244176707,,,,,5810551.078749381,,,,,
20,2022-01-29T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06565019998088945,19695059.994266834,1554769.1904195172,19695059.994266834,270391.0177674528,0.013728875050198514,,,,,5810551.078749381,,,,,
21,2022-01-28T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06049739806503776,18149219.41951133,1404584.1630626763,18149219.41951133,305932.6489437335,0.016856518281708602,,,,,5775157.326345322,,,,,
22,2022-01-27T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06750751660512995,20252254.981538985,1578921.7604971721,20252254.981538985,263773.8443615938,0.013024418495719996,,,,,5653411.314574547,,,,,
23,2022-01-26T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.07154232594491032,21462697.783473097,1643109.832435989,21462697.783473097,317685.76764943195,0.0148017630800383,,,,,5653411.314574547,,,,,
24,2022-01-25T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.06701266523225685,20103799.569677055,1551855.0793855363,20103799.569677055,300166.94131241913,0.014930856242974421,,,,,7404723.764357924,,,,,
25,2022-01-24T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.07434397762903523,22303193.288710568,1702909.7750537007,22303193.288710568,239939.15127589012,0.010758062676044804,,,,,7344026.544365737,,,,,
26,2022-01-23T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.07122197051765661,21366591.15529698,1631705.5947673516,21366591.15529698,247895.68130005288,0.011602022966522537,,,,,7581182.68297368,,,,,
27,2022-01-22T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.07578674233913348,22736022.70174004,1732193.1375278744,22736022.70174004,228161.33495356634,0.010035235183685166,,,,,8113872.359103352,,,,,
28,2022-01-21T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.09379331109335637,28137993.328006912,2143080.385976001,28137993.328006912,284340.153670621,0.010105203678032202,,,,,8113872.359103352,,,,,
29,2022-01-20T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.0943980798998811,28319423.96996433,2134092.1893033865,28319423.96996433,241014.3156125391,0.008510565605718522,,,,,8198542.494834308,,,,,
30,2022-01-19T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.09641141204699677,28923423.61409903,2178573.7802292416,28923423.61409903,279769.9382831302,0.009672780858029315,,,,,8360217.804391111,,,,,
31,2022-01-18T00:00:00+00:00,Integral Protocol,total,total,total,total,,0.10295475536143629,30886426.60843089,2303575.9631434483,30886426.60843089,201658.4590969988,0.006529031721719251,,,,,8532205.87101392,,,,,
