,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Keep Network,total,total,total,total,,0.5598580828207503,559858082.8207504,307743372.916559,559858082.8207504,2960217.5699619493,0.005287442765937026,,,,,167114634.35561854,,,,,
1,2022-02-17T00:00:00+00:00,Keep Network,total,total,total,total,,0.6096709985501052,609670998.5501052,334398542.1208711,609670998.5501052,11812127.382582579,0.01937459287168604,,,,,181298113.17182097,,,,,
2,2022-02-16T00:00:00+00:00,Keep Network,total,total,total,total,,0.6230694435411492,623069443.5411493,344219837.6924227,623069443.5411493,37504489.694606036,0.060193113437650284,,,,,184632690.40410224,,,,,
3,2022-02-15T00:00:00+00:00,Keep Network,total,total,total,total,,0.5961805001172101,596180500.1172101,327703770.21900797,596180500.1172101,39041261.4409835,0.06548563972372111,,,,,173249769.37422875,,,,,
4,2022-02-14T00:00:00+00:00,Keep Network,total,total,total,total,,0.6200019480260305,620001948.0260304,341302879.78857976,620001948.0260304,20881409.100715768,0.033679586277427426,,,,,173891346.52056274,,,,,
5,2022-02-13T00:00:00+00:00,Keep Network,total,total,total,total,,0.6433336486553612,643333648.6553613,353402496.27763826,643333648.6553613,29901158.02354064,0.04647846119356166,,,,,177101518.39264473,,,,,
6,2022-02-12T00:00:00+00:00,Keep Network,total,total,total,total,,0.6553358892607669,655335889.2607669,359999593.3507751,655335889.2607669,56317238.09190802,0.08593644727047543,,,,,177995000.95139274,,,,,
7,2022-02-11T00:00:00+00:00,Keep Network,total,total,total,total,,0.6740054869082286,674005486.9082286,371749029.3295974,674005486.9082286,67657869.47364943,0.10038177846890674,,,,,183528281.3142674,,,,,
8,2022-02-10T00:00:00+00:00,Keep Network,total,total,total,total,,0.7404013740479917,740401374.0479916,408128027.3988266,740401374.0479916,225491154.42409986,0.3045525877285634,,,,,194426993.60186756,,,,,
9,2022-02-09T00:00:00+00:00,Keep Network,total,total,total,total,,0.5820084200098626,582008420.0098627,320571462.4463775,582008420.0098627,74538106.32650353,0.1280704947966911,,,,,177746196.31890208,,,,,
10,2022-02-08T00:00:00+00:00,Keep Network,total,total,total,total,,0.5640506144626625,564050614.4626625,310311045.09011793,564050614.4626625,17323497.83355204,0.030712665476049714,,,,,169396331.03414148,,,,,
11,2022-02-07T00:00:00+00:00,Keep Network,total,total,total,total,,0.5148122401716093,514812240.17160934,282911052.97851413,514812240.17160934,12528888.513806535,0.024336811629867446,,,,,169396331.03414148,,,,,
12,2022-02-06T00:00:00+00:00,Keep Network,total,total,total,total,,0.49972319877171556,499723198.7717156,275650912.19554186,499723198.7717156,12096701.961852737,0.02420680487034738,,,,,167863593.6336065,,,,,
13,2022-02-05T00:00:00+00:00,Keep Network,total,total,total,total,,0.47559009464399493,475590094.6439949,261126271.67595893,475590094.6439949,14251452.365254963,0.029965830924050155,,,,,147341064.34033126,,,,,
