,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,KeeperDAO,total,total,total,total,,100.73509477519927,127149952.0622468,81197942.23601744,127149952.0622468,464020.82316694217,0.0036493983335501284,7097411.314042077,4532405.907795525,7097411.314042077,4532405.907795525,138345936.64010358,18890704.381610632,0.060678553626504934,0,0.060678553626504934,
1,2022-02-17T00:00:00+00:00,KeeperDAO,total,total,total,total,,110.90189233421773,139982697.44398865,89337782.66230199,139982697.44398865,720665.6304803607,0.0051482479166307035,8124093.405578835,5184844.300391146,8124093.405578835,5184844.300391146,148020034.38059232,16617301.500963451,0.000883360697238832,0,0.000883360697238832,
2,2022-02-16T00:00:00+00:00,KeeperDAO,total,total,total,total,,112.18050264360859,141596586.2273183,90538158.5764987,141596586.2273183,518950.33921231446,0.003664991883202571,8222524.3759304285,5257557.655041034,8222524.3759304285,5257557.655041034,148698016.85695115,3513070.5551895183,0.06124422178108982,0,0.06124422178108982,
3,2022-02-15T00:00:00+00:00,KeeperDAO,total,total,total,total,,102.0454389381807,128803895.98198937,82176420.43189427,128803895.98198937,801772.0408590909,0.006224749917278919,7806429.365064345,4980473.740212909,7806429.365064345,4980473.740212909,142832769.60838583,11705708.039117329,0.0013222352800747507,0,0.0013222352800747507,
4,2022-02-14T00:00:00+00:00,KeeperDAO,total,total,total,total,,104.35519041552604,131719312.80147569,83971114.52541672,131719312.80147569,237831.05248438864,0.0018055898366463703,7990583.935746296,5094000.450828272,7990583.935746296,5094000.450828272,141669524.42746258,23298992.434729062,4.00312020661663e-06,0,4.00312020661663e-06,
5,2022-02-13T00:00:00+00:00,KeeperDAO,total,total,total,total,,108.22436206199485,136603062.5062532,87298795.86297165,136603062.5062532,951610.6863417152,0.006966247087602108,8286856.310415631,5295873.782885624,8286856.310415631,5295873.782885624,142098292.31081867,4583518.450811004,0.03834275585446359,0,0.03834275585446359,
6,2022-02-12T00:00:00+00:00,KeeperDAO,total,total,total,total,,108.9282844370972,137491568.11047727,87788251.85547237,137491568.11047727,567376.6954610889,0.00412662902357176,8575521.938559998,5475463.623554861,8575521.938559998,5475463.623554861,173577405.82546386,9381371.267637245,7.000599290913776e-06,0,7.000599290913776e-06,
7,2022-02-11T00:00:00+00:00,KeeperDAO,total,total,total,total,,118.76004714920909,149901425.47272184,95873975.82752296,149901425.47272184,1431240.500225593,0.009547877851808965,9181000.388970528,5871985.583784967,9181000.388970528,5871985.583784967,179189656.10128155,26610993.418814726,0.049475307433855066,0,0.049475307433855066,
8,2022-02-10T00:00:00+00:00,KeeperDAO,total,total,total,total,,124.08215322153877,156619099.5214439,100083024.64023674,156619099.5214439,815447.8560159396,0.005206567133303499,9947207.225469671,6356482.6313658785,9947207.225469671,6356482.6313658785,183416581.68552697,8601711.868622018,3.0026739217921645e-06,0,3.0026739217921645e-06,
9,2022-02-09T00:00:00+00:00,KeeperDAO,total,total,total,total,,114.9137823320229,145046589.24890828,92224541.13862085,145046589.24890828,1399165.8340223606,0.009646320132501093,9007023.878595548,5726909.1850384725,9007023.878595548,5726909.1850384725,185401933.58465335,8948049.310996747,0.03854449609203245,0,0.03854449609203245,
