,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Liquity,total,total,total,total,,2.334386365987377,233438636.59873772,38204528.96088066,233438636.59873772,620641.5172855429,0.002658692349854561,21.105474757696406,3.4541185356542137,21.105474757696406,3.4541185356542137,1434038501.99769,492991318.96359247,,,,
1,2022-02-17T00:00:00+00:00,Liquity,total,total,total,total,,2.608581296747521,260858129.6747521,42553143.70899334,260858129.6747521,585775.184536216,0.0022455699780818904,23.241274179140742,3.791291769814504,23.241274179140742,3.791291769814504,1565165389.823676,511429694.26607686,786.3622499667108,0.0,786.3622499667108,
2,2022-02-16T00:00:00+00:00,Liquity,total,total,total,total,,2.606979633993761,260697963.3993761,42412968.96742748,260697963.3993761,965212.4419095031,0.003702416502697593,22.866137623906987,3.7200934476115433,22.866137623906987,3.7200934476115433,1575656496.054931,512190038.9444906,1300.4547405950725,0.0,1300.4547405950725,
3,2022-02-15T00:00:00+00:00,Liquity,total,total,total,total,,2.6039900154093014,260399001.54093015,42479030.75309248,260399001.54093015,1081200.1478570795,0.004152090221003147,22.35640407999318,3.6470123572778745,22.35640407999318,3.6470123572778745,1451502766.18282,494410610.69208753,103738.2663902577,0.0,103738.2663902577,
4,2022-02-14T00:00:00+00:00,Liquity,total,total,total,total,,2.7193216210957876,271932162.1095787,44427447.437839486,271932162.1095787,635131.9044600538,0.002335626280955023,23.20379233508934,3.790964835966388,23.20379233508934,3.790964835966388,1435613681.116704,494664910.39424205,1129.3574251995221,0.0,1129.3574251995221,
5,2022-02-13T00:00:00+00:00,Liquity,total,total,total,total,,2.6398118335377854,263981183.35377854,42873601.293301165,263981183.35377854,881832.1703583545,0.003340511468109275,22.523104542229742,3.6580130135138154,22.523104542229742,3.6580130135138154,1442535054.277946,494382490.33156854,3191.5486928242713,0.0,3191.5486928242713,
6,2022-02-12T00:00:00+00:00,Liquity,total,total,total,total,,2.6193648776491996,261936487.76491997,42507619.79796345,261936487.76491997,1629310.065552369,0.006220248578024094,22.371261130960423,3.630456644930168,22.371261130960423,3.630456644930168,1441303919.687458,495128955.52811915,408.14663648977876,0.0,408.14663648977876,
7,2022-02-11T00:00:00+00:00,Liquity,total,total,total,total,,2.827574506152037,282757450.6152037,45641443.70070253,282757450.6152037,2157663.54747389,0.007630792903173366,23.454095341234176,3.7858552258792018,23.454095341234176,3.7858552258792018,1524229794.1935947,495954362.06804824,1123.339265738209,0.0,1123.339265738209,
8,2022-02-10T00:00:00+00:00,Liquity,total,total,total,total,,2.9955860743168383,299558607.43168384,48452843.56793865,299558607.43168384,1785958.3058965853,0.0059619662449655495,23.964062585369213,3.8761262300432744,23.964062585369213,3.8761262300432744,1580300429.1057477,500654651.7519563,16038.369345839763,0.0,16038.369345839763,
9,2022-02-09T00:00:00+00:00,Liquity,total,total,total,total,,3.0321632159615413,303216321.59615415,48674280.8173445,303216321.59615415,1346175.440630985,0.004439653622683019,24.603263104670948,3.9494778218922693,24.603263104670948,3.9494778218922693,1531793807.363388,500460186.67087406,2170.417706277528,0.0,2170.417706277528,
10,2022-02-08T00:00:00+00:00,Liquity,total,total,total,total,,3.0653836489571633,306538364.8957163,49083030.685731836,306538364.8957163,1074609.930773467,0.00350562948666816,24.756888461877747,3.9640816785558797,24.756888461877747,3.9640816785558797,1517434066.3368647,500644246.4412612,4149.777433104813,0.0,4149.777433104813,
11,2022-02-07T00:00:00+00:00,Liquity,total,total,total,total,,3.0788750038431782,307887500.3843178,49420265.02044257,307887500.3843178,917436.5134297296,0.0029797783680225657,24.565418392258728,3.9430944282183558,24.565418392258728,3.9430944282183558,1517434066.3368647,499140401.1081108,40928.88473568484,0.0,40928.88473568484,
12,2022-02-06T00:00:00+00:00,Liquity,total,total,total,total,,3.026041741805826,302604174.1805826,48400293.09024802,302604174.1805826,1273499.9755482515,0.004208467973043477,24.085760690424706,3.852418360965671,24.085760690424706,3.852418360965671,1501817536.5014927,499368404.2553027,2344.424228552729,0.0,2344.424228552729,
13,2022-02-05T00:00:00+00:00,Liquity,total,total,total,total,,3.0596918959508397,305969189.59508395,49183344.06280957,305969189.59508395,1614526.3122725675,0.005276761083065955,23.722955048197896,3.813371738070025,23.722955048197896,3.813371738070025,1364536119.2405198,495560914.2593994,61803.57870789245,0.0,61803.57870789245,
14,2022-02-04T00:00:00+00:00,Liquity,total,total,total,total,,2.870701775974623,287070177.5974623,45899131.88621403,287070177.5974623,949823.7087951048,0.0033086812316916237,23.178723046319487,3.7060041379458553,23.178723046319487,3.7060041379458553,1364536119.2405198,489390984.69246525,37812.020687740296,0.0,37812.020687740296,
15,2022-02-03T00:00:00+00:00,Liquity,total,total,total,total,,2.9435988744568227,294359887.4456823,46735224.88644908,294359887.4456823,1718567.1982238507,0.005838319932572249,23.97933992418064,3.807175813627073,23.97933992418064,3.807175813627073,1405010289.1159754,482744755.9073347,36958.81072803587,0.0,36958.81072803587,
16,2022-02-02T00:00:00+00:00,Liquity,total,total,total,total,,3.1786731043987624,317867310.43987626,50617306.72413746,317867310.43987626,1164191.7743905557,0.003662508651108241,26.583960062683424,4.233239519260303,26.583960062683424,4.233239519260303,1405010289.1159754,488204893.9840229,3673.0087369829416,0.0,3673.0087369829416,
17,2022-02-01T00:00:00+00:00,Liquity,total,total,total,total,,3.3044088304775134,330440883.04775137,52293511.87156786,330440883.04775137,1739689.542864133,0.005264752735250177,27.58623994426713,4.365626168021674,27.58623994426713,4.365626168021674,1358430407.9635572,481411484.9781332,34549.95897191018,0.0,34549.95897191018,
18,2022-01-31T00:00:00+00:00,Liquity,total,total,total,total,,3.393656174683162,339365617.4683162,53622766.79851535,339365617.4683162,1687969.9687594827,0.004973898008147731,29.13096070464293,4.602949244343002,29.13096070464293,4.602949244343002,1313923198.327702,482807153.08890796,3862.6092015504837,0.0,3862.6092015504837,
19,2022-01-30T00:00:00+00:00,Liquity,total,total,total,total,,3.2401188149412854,324011881.4941285,51065383.97664121,324011881.4941285,1217311.7164656897,0.003756997153475524,26.96909007492882,4.250421107479726,26.96909007492882,4.250421107479726,1307527795.8076549,482920127.93769234,2163.9524651914835,0.0,2163.9524651914835,
20,2022-01-29T00:00:00+00:00,Liquity,total,total,total,total,,3.207288319458101,320728831.9458101,50748905.31233494,320728831.9458101,4641791.754926567,0.014472636360022781,26.095689663870576,4.129119529969797,26.095689663870576,4.129119529969797,1307527795.8076549,483319753.9840791,3681.455858260393,0.0,3681.455858260393,
21,2022-01-28T00:00:00+00:00,Liquity,total,total,total,total,,2.9140155543615163,291401555.4361516,45856095.98310886,291401555.4361516,1292123.237980199,0.004434167264640128,23.00611123142541,3.6203322362068686,23.00611123142541,3.6203322362068686,1397240822.9956133,483927916.6918701,11174.443320064041,0.0,11174.443320064041,
22,2022-01-27T00:00:00+00:00,Liquity,total,total,total,total,,3.0637393970649227,306373939.70649225,47324012.4045722,306373939.70649225,2910414.4907400515,0.009499549777400269,24.369337714609834,3.7642067122361276,24.369337714609834,3.7642067122361276,1325063172.1285343,512614481.04254025,54259.522756665945,0.0,54259.522756665945,
23,2022-01-26T00:00:00+00:00,Liquity,total,total,total,total,,2.9564950884776535,295649508.8477653,46422059.77911355,295649508.8477653,2867712.727803074,0.00969970401432226,24.651709297826272,3.870742512446661,24.651709297826272,3.870742512446661,1325063172.1285343,506623084.75455844,76092.67772464029,0.0,76092.67772464029,
24,2022-01-25T00:00:00+00:00,Liquity,total,total,total,total,,3.353985447313011,335398544.73130107,52584226.849958785,335398544.73130107,3383106.621641721,0.010086825583432511,29.722740208291,4.659970468766626,29.722740208291,4.659970468766626,1353823622.3585167,509857276.57846093,31879.51476866752,0.0,31879.51476866752,
25,2022-01-24T00:00:00+00:00,Liquity,total,total,total,total,,4.292267670952248,429226767.0952248,66967549.98139921,429226767.0952248,6994737.492645281,0.016296135350509222,38.172031375032525,5.9555638533416815,38.172031375032525,5.9555638533416815,1284622800.7820375,532659887.9671855,81911.58344924552,0.0,81911.58344924552,
26,2022-01-23T00:00:00+00:00,Liquity,total,total,total,total,,3.2204778192734684,322047781.9273468,50909975.153280966,322047781.9273468,5620585.948652909,0.01745264604840812,30.434948529804647,4.811219205332984,30.434948529804647,4.811219205332984,1487078788.2843676,533206907.6953306,41220.918417030436,0.0,41220.918417030436,
27,2022-01-22T00:00:00+00:00,Liquity,total,total,total,total,,3.5571396337724805,355713963.37724805,54851390.41918493,355713963.37724805,2191913.8481634585,0.0061620123858867224,32.76158440204497,5.051863693306417,32.76158440204497,5.051863693306417,1802298613.124731,610326255.7380065,24671.66319203028,0.0,24671.66319203028,
28,2022-01-21T00:00:00+00:00,Liquity,total,total,total,total,,4.475836399606933,447583639.96069324,68985655.83714975,447583639.96069324,2139478.9426566917,0.004780065113292748,36.97027606064286,5.698194734615194,36.97027606064286,5.698194734615194,1802298613.124731,742051697.0240407,183280.2104507361,0.0,183280.2104507361,
