,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Litecoin,total,total,total,total,,116.2120025752003,9761808216.316826,8096862166.69461,9761808216.316826,771632269.116077,0.07904603860443565,,,13961.327369269067,11580.123361174195,,156871131.26908588,2095.4135700956563,2095.4135700956563,0,
1,2022-02-17T00:00:00+00:00,Litecoin,total,total,total,total,,128.37749069501754,10783709218.381474,8942062959.015314,10783709218.381474,620462660.8270952,0.057537035565599234,,,15369.491099461255,12744.683139743975,,126767991.71560335,1867.5674889799202,1867.5674889799202,0,
2,2022-02-16T00:00:00+00:00,Litecoin,total,total,total,total,,131.68800808841544,11061792679.426897,9214944628.079865,11061792679.426897,680554080.0068742,0.0615229465719957,,,15594.929630206007,12991.240858131476,,116482522.20024763,2190.6404843878777,2190.6404843878777,0,
3,2022-02-15T00:00:00+00:00,Litecoin,total,total,total,total,,124.83315484227106,10485985006.750769,8693486478.793137,10485985006.750769,563405437.5315092,0.053729376607805045,,,14812.44851941572,12280.37431280495,,101131742.79551479,2161.670256116036,2161.670256116036,0,
4,2022-02-14T00:00:00+00:00,Litecoin,total,total,total,total,,126.28539405442234,10607973100.571476,8787938472.04504,10607973100.571476,567610491.0212473,0.053507911986566854,,,14929.07662641732,12367.660211198436,,92213890.45988517,1999.680909681138,1999.680909681138,0,
5,2022-02-13T00:00:00+00:00,Litecoin,total,total,total,total,,126.69119936950332,10642060747.038279,8821069003.28906,10642060747.038279,670165818.3939204,0.06297331262466528,,,14917.763317876459,12365.144564537908,,80889768.3973136,2208.5782544763038,2208.5782544763038,0,
6,2022-02-12T00:00:00+00:00,Litecoin,total,total,total,total,,126.10218386249991,10592583444.449993,8792354216.764763,10592583444.449993,858268331.394889,0.08102540196127325,,,14857.213762449384,12332.202692449982,,125746819.62652564,2138.1117586439627,2138.1117586439627,0,
7,2022-02-11T00:00:00+00:00,Litecoin,total,total,total,total,,135.42701897226829,11375869593.670536,9427380616.486757,11375869593.670536,1041529005.1313494,0.09155599020850677,,,15869.659470090119,13151.462298918652,,138759225.59220445,2109.672879369392,2109.672879369392,0,
8,2022-02-10T00:00:00+00:00,Litecoin,total,total,total,total,,140.55477658270416,11806601232.94715,9800440089.749737,11806601232.94715,918045787.5636371,0.07775699114845736,,,16477.01232556079,13677.261471667201,,142449353.44359502,2264.301991151229,2264.301991151229,0,
9,2022-02-09T00:00:00+00:00,Litecoin,total,total,total,total,,134.13275084128585,11267151070.668013,9335293494.43885,11267151070.668013,1203851814.5652132,0.10684615898150363,,,15739.942314615362,13041.183185605401,,175053696.80515566,2352.2883310266034,2352.2883310266034,0,
10,2022-02-08T00:00:00+00:00,Litecoin,total,total,total,total,,137.36335026194186,11538521422.003117,9545141168.095592,11538521422.003117,965417641.0019865,0.0836690946520241,,,16249.490087527403,13442.248891547551,,184514959.47508365,2355.347631573241,2355.347631573241,0,
11,2022-02-07T00:00:00+00:00,Litecoin,total,total,total,total,,127.6043902137988,10718768777.959099,8879012796.96533,10718768777.959099,657391963.7281666,0.06133092124162202,,,15219.438116203486,12607.192915129073,,162129568.34257576,2160.0933356954174,2160.0933356954174,0,
12,2022-02-06T00:00:00+00:00,Litecoin,total,total,total,total,,122.28911151386858,10272285367.16496,8515178060.793639,10272285367.16496,635415766.3949832,0.0618572930641189,,,14622.618427359366,12121.372720233514,,97858606.65221582,1906.6936629759432,1906.6936629759432,0,
13,2022-02-05T00:00:00+00:00,Litecoin,total,total,total,total,,121.49915898467229,10205929354.712473,8353101103.568475,10205929354.712473,841520818.0895532,0.08245410964960193,,,14494.45230121716,11863.067174476697,,141373074.50210282,1856.3775210089127,1856.3775210089127,0,
14,2022-02-04T00:00:00+00:00,Litecoin,total,total,total,total,,110.21753487484204,9258272929.486732,7666855250.374468,9258272929.486732,564827321.7183971,0.06100784952228779,,,13099.336726597992,10847.67313770568,,149743582.50190246,1982.3162278897807,1982.3162278897807,0,
15,2022-02-03T00:00:00+00:00,Litecoin,total,total,total,total,,108.46076632458303,9110704371.264975,7539796465.25319,9110704371.264975,618297409.1646458,0.06786494040073857,,,12814.774951882382,10605.19482883875,,119571752.4137447,1634.4634642136507,1634.4634642136507,0,
16,2022-02-02T00:00:00+00:00,Litecoin,total,total,total,total,,115.56699714829303,9707627760.456614,8037337457.602423,9707627760.456614,708831997.5914418,0.07301804468428656,,,13511.924545457754,11187.068556118289,,129641776.79159145,1796.5244534549206,1796.5244534549206,0,
17,2022-02-01T00:00:00+00:00,Litecoin,total,total,total,total,,109.68495693844312,9213536382.829222,7609502523.441636,9213536382.829222,580923790.7862319,0.06305112029175558,,,12771.670932578276,10548.182386422339,,113152092.57844463,1870.6791600681372,1870.6791600681372,0,
18,2022-01-31T00:00:00+00:00,Litecoin,total,total,total,total,,108.85087831372954,9143473778.353281,7571901245.2150755,9143473778.353281,424701755.98089564,0.046448621855990434,,,12649.283849460773,10475.135648943762,,115636314.0306932,1731.2902878137197,1731.2902878137197,0,
19,2022-01-30T00:00:00+00:00,Litecoin,total,total,total,total,,110.97870116957098,9322210898.243963,7699445711.198726,9322210898.243963,483469771.14002526,0.0518621361839279,,,12784.516922046385,10559.050321822224,,117501340.38282551,1523.281520045593,1523.281520045593,0,
20,2022-01-29T00:00:00+00:00,Litecoin,total,total,total,total,,109.56241337895375,9203242723.832115,7616510082.740902,9203242723.832115,592718337.6880763,0.06440320607357357,,,12420.146882819497,10278.787249319465,,99550967.21669632,1569.71107673791,1569.71107673791,0,
21,2022-01-28T00:00:00+00:00,Litecoin,total,total,total,total,,107.21042503329888,9005675702.797106,7432905213.60697,9005675702.797106,723657456.8102068,0.08035570907638206,,,12010.368675449312,9912.852171365856,,206489104.21054295,1706.4469826185082,1706.4469826185082,0,
22,2022-01-27T00:00:00+00:00,Litecoin,total,total,total,total,,107.02184870207107,8989835290.97397,7471572251.990698,8989835290.97397,932865614.1820446,0.1037689327988763,,,11887.481665838057,9879.844878770979,,255872930.9366364,1576.8068846132333,1576.8068846132333,0,
23,2022-01-26T00:00:00+00:00,Litecoin,total,total,total,total,,108.20005922670708,9088804975.043394,7528711286.299523,9088804975.043394,793636486.2471838,0.08732022399274715,,,11843.956802514238,9810.941207164282,,145356412.80083936,1572.8563036627054,1572.8563036627054,0,
24,2022-01-25T00:00:00+00:00,Litecoin,total,total,total,total,,109.98250709501697,9238530595.981426,7642430989.02289,9238530595.981426,1447703189.7713976,0.15670275426712546,,,11935.032274750254,9873.070134250069,,189030689.39542338,1727.677199962552,1727.677199962552,0,
25,2022-01-24T00:00:00+00:00,Litecoin,total,total,total,total,,111.9325857665343,9402337204.388882,7767749118.80306,9402337204.388882,1036985112.8138343,0.11029014278809145,,,12101.970051389657,9998.053160503832,,201018875.36978465,1686.7282684112668,1686.7282684112668,0,
26,2022-01-23T00:00:00+00:00,Litecoin,total,total,total,total,,108.61322367845514,9123510788.990232,7545683309.881283,9123510788.990232,1949208635.5019567,0.2136467726715639,,,11599.106214690282,9593.147221280984,,113996197.63977344,1588.8129710306137,1588.8129710306137,0,
27,2022-01-22T00:00:00+00:00,Litecoin,total,total,total,total,,113.48931581917998,9533102528.81112,7981436304.824966,9533102528.81112,1476066731.1247773,0.1548359232121737,,,11942.433223891789,9998.609562107054,,211640420.85531068,1668.8495161643684,1668.8495161643684,0,
28,2022-01-21T00:00:00+00:00,Litecoin,total,total,total,total,,130.42414169230446,10955627902.153574,9148639908.843845,10955627902.153574,678874464.2565386,0.06196581978866685,,,13508.98781088386,11280.856388928925,,214997445.38860506,1895.4320391712909,1895.4320391712909,0,
29,2022-01-20T00:00:00+00:00,Litecoin,total,total,total,total,,136.9619063311175,11504800131.81387,9512250341.775602,11504800131.81387,786516812.2414012,0.06836423086277445,,,14042.264269335437,11610.243686539376,,130236879.94872263,2117.5851302973424,2117.5851302973424,0,
30,2022-01-19T00:00:00+00:00,Litecoin,total,total,total,total,,141.61139916358968,11895357529.741533,9850112738.2542,11895357529.741533,1060685979.2828401,0.08916806213103265,,,14433.717213863154,11952.03603028833,,136266322.0880654,2068.5027563643657,2068.5027563643657,0,
31,2022-01-18T00:00:00+00:00,Litecoin,total,total,total,total,,151.76152473763486,12747968077.961329,10537942123.493681,12747968077.961329,1428371010.1378493,0.11204695535810255,,,15427.957068952492,12753.320190488459,,163390779.18620673,2301.5772259214564,2301.5772259214564,0,
32,2022-01-17T00:00:00+00:00,Litecoin,total,total,total,total,,146.6121775956386,12315422918.033642,10179268203.722364,12315422918.033642,648629121.4997033,0.052668034692491705,,,14935.642160074482,12345.000927219158,,155367992.07356918,2520.602672762653,2520.602672762653,0,
33,2022-01-16T00:00:00+00:00,Litecoin,total,total,total,total,,147.96032933609627,12428667664.232086,10252242788.856188,12428667664.232086,858852118.7908947,0.06910250897306935,,,15127.849091411736,12478.76167810568,,128406002.69041999,2071.5019542597465,2071.5019542597465,0,
34,2022-01-15T00:00:00+00:00,Litecoin,total,total,total,total,,144.72737636347838,12157099614.532185,10046271921.893803,12157099614.532185,1073601867.232325,0.0883106909767341,,,14726.37097668319,12169.442707995546,,204707368.5060605,2385.9594368177172,2385.9594368177172,0,
35,2022-01-14T00:00:00+00:00,Litecoin,total,total,total,total,,136.69816548147483,11482645900.443886,9487923473.059666,11482645900.443886,786153802.6464872,0.06846451675533222,,,13835.11107415826,11431.727169068194,,199032580.545692,2239.5197616853934,2239.5197616853934,0,
36,2022-01-13T00:00:00+00:00,Litecoin,total,total,total,total,,141.75518566402317,11907435595.777946,9837832315.498312,11907435595.777946,772388515.695745,0.06486606704550331,,,14281.277986313604,11799.082762218508,,182606104.63372964,2172.6650850365577,2172.6650850365577,0,
37,2022-01-12T00:00:00+00:00,Litecoin,total,total,total,total,,131.62848476205232,11056792720.012396,9128769311.538816,11056792720.012396,731840050.8278435,0.06618918065663286,,,13194.52429747558,10893.734877487448,,198550663.62340903,2467.0018993541107,2467.0018993541107,0,
38,2022-01-11T00:00:00+00:00,Litecoin,total,total,total,total,,126.82502049780173,10653301721.815346,8799832771.775192,10653301721.815346,951597525.2048632,0.08932418794224378,,,12744.226802093328,10526.977231326038,,227899415.2775386,2085.7664352220277,2085.7664352220277,0,
39,2022-01-10T00:00:00+00:00,Litecoin,total,total,total,total,,131.18714226308023,11019719950.09874,9090631980.216143,11019719950.09874,503010326.472875,0.04564638019393296,,,13015.893776462583,10737.360001090301,,189842662.5003914,2203.3133206680104,2203.3133206680104,0,
40,2022-01-09T00:00:00+00:00,Litecoin,total,total,total,total,,129.72984465944606,10897306951.393469,9026522520.002481,10897306951.393469,848505835.3185133,0.0778638097562272,,,12795.088293896168,10598.504120828238,,116058627.49943024,1864.2166324427385,1864.2166324427385,0,
41,2022-01-08T00:00:00+00:00,Litecoin,total,total,total,total,,131.42578123867258,11039765624.048496,9118650890.96946,11039765624.048496,1204093495.3291695,0.10906875529189043,,,12803.718851165182,10575.64501691698,,150397154.91467726,1862.4362583162042,1862.4362583162042,0,
42,2022-01-07T00:00:00+00:00,Litecoin,total,total,total,total,,136.51016201928635,11466853609.620054,9497488956.849884,11466853609.620054,1048619541.7231036,0.091447887748682,,,13131.945229474108,10876.610886028428,,157958731.24653527,2008.1829435431375,2008.1829435431375,0,
43,2022-01-06T00:00:00+00:00,Litecoin,total,total,total,total,,135.93494909373734,11418535723.873938,9451354999.259806,11418535723.873938,1136386298.3017266,0.09952119306556653,,,12925.207166096718,10698.457693690318,,161354265.074001,2045.4473919386717,2045.4473919386717,0,
44,2022-01-05T00:00:00+00:00,Litecoin,total,total,total,total,,146.72337359445743,12324763381.934423,10247784142.818712,12324763381.934423,739978327.2516489,0.06003996217374083,,,13815.932916357833,11487.660563612126,,135715221.71738836,2081.240563830148,2081.240563830148,0,
45,2022-01-04T00:00:00+00:00,Litecoin,total,total,total,total,,148.68077442947728,12489185052.076092,10309037335.052908,12489185052.076092,658797623.4612963,0.05274944847996976,,,13934.33164685894,11501.915023878924,,139714346.54767072,2337.241093214983,2337.241093214983,0,
46,2022-01-03T00:00:00+00:00,Litecoin,total,total,total,total,,151.50699732368665,12726587775.189678,10523239230.893839,12726587775.189678,613040982.77866,0.048170098191895216,,,14111.314840792646,11668.229108639485,,178961846.1770031,2271.0931730892034,2271.0931730892034,0,
47,2022-01-02T00:00:00+00:00,Litecoin,total,total,total,total,,151.08565821362433,12691195289.944443,10473638674.044128,12691195289.944443,600594220.8455845,0.04732369230197337,,,13881.65619206637,11456.088085588584,,210406409.4710314,2047.5153598438765,2047.5153598438765,0,
48,2022-01-01T00:00:00+00:00,Litecoin,total,total,total,total,,146.60466145502394,12314791562.222012,10165614442.928844,12314791562.222012,927144179.7398187,0.07528703795393595,,,13216.163139771581,10909.67867502618,,146950236.7959068,1993.0676561745845,1993.0676561745845,0,
49,2021-12-31T00:00:00+00:00,Litecoin,total,total,total,total,,148.03521639446834,12434958177.13534,10239705862.067177,12434958177.13534,735711577.3134116,0.05916478100153117,,,13025.84443004693,10726.277778238074,,290192363.53655803,2269.295718287264,2269.295718287264,0,
50,2021-12-30T00:00:00+00:00,Litecoin,total,total,total,total,,145.50566839953726,12222476145.561129,10043087113.587414,12222476145.561129,951578655.6371307,0.07785481798487438,,,12572.869268455215,10331.001658505978,,237860009.71510497,2526.603982758084,2526.603982758084,0,
51,2021-12-29T00:00:00+00:00,Litecoin,total,total,total,total,,146.3367441217928,12292286506.230597,10140083947.941948,12292286506.230597,1150683898.3664875,0.09361024068087251,,,12497.797416560788,10309.61285388714,,373776860.7456953,2319.8276532057794,2319.8276532057794,0,
52,2021-12-28T00:00:00+00:00,Litecoin,total,total,total,total,,156.05611079189384,13108713306.519083,10812469864.585735,13108713306.519083,884252402.6478505,0.06745531632064176,,,13208.69549190526,10894.938245822346,,302335979.4117674,2251.6052186351026,2251.6052186351026,0,
53,2021-12-27T00:00:00+00:00,Litecoin,total,total,total,total,,156.37119500662945,13135180380.556873,10833129891.865582,13135180380.556873,1067423563.9204221,0.0812644769995285,,,13113.398335003223,10815.165332418608,,323165357.2310475,2522.5381208861845,2522.5381208861845,0,
54,2021-12-26T00:00:00+00:00,Litecoin,total,total,total,total,,158.79313995505825,13338623756.224894,10999748995.760107,13338623756.224894,770423737.6767217,0.0577588626650616,,,13160.544551061555,10852.895272770354,,277051667.3200314,2140.9829049076607,2140.9829049076607,0,
55,2021-12-25T00:00:00+00:00,Litecoin,total,total,total,total,,161.58309840126907,13572980265.706602,11191816306.083565,13572980265.706602,934925762.2287643,0.06888139111134946,,,13117.659512874263,10816.374352563422,,171846663.1577596,1970.3969242153798,1970.3969242153798,0,
56,2021-12-24T00:00:00+00:00,Litecoin,total,total,total,total,,163.68493376631224,13749534436.370228,11306762839.24639,13749534436.370228,1170145779.6327178,0.0851043928103814,,,13055.029693967595,10735.645289818185,,225694205.8842465,2505.8068227878157,2505.8068227878157,0,
57,2021-12-23T00:00:00+00:00,Litecoin,total,total,total,total,,155.62472366805736,13072476788.116817,10776814973.821995,13072476788.116817,940630205.2312512,0.07195501055211709,,,12264.730683848424,10110.917420311784,,254970282.6700395,2581.192314588233,2581.192314588233,0,
58,2021-12-22T00:00:00+00:00,Litecoin,total,total,total,total,,155.3406496272523,13048614568.689194,10755892714.122229,13048614568.689194,888548877.8998221,0.06809526584009461,,,12118.281231874189,9989.024667980013,,231110386.76385933,2750.3200557769405,2750.3200557769405,0,
59,2021-12-21T00:00:00+00:00,Litecoin,total,total,total,total,,153.17553482768892,12866744925.52587,10644668240.0037,12866744925.52587,1409784732.8236694,0.109568095192969,,,11874.913021380582,9824.124922281386,,188733243.2873528,2601.2138877819643,2601.2138877819643,0,
