,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Loopring,total,total,total,total,,0.8841821687977574,1215320677.6079352,1100996536.337303,1215320677.6079352,145001346.13194278,0.11931118165235438,393.1985575071909,356.2107169609919,172.24926460317627,156.04592862520587,311877508.58431494,,,,,
1,2022-02-17T00:00:00+00:00,Loopring,total,total,total,total,,0.9623320906935747,1322738831.2250507,1206157208.9248273,1322738831.2250507,130342299.01205891,0.09853970862210401,415.60718077835025,378.977002370502,182.32920940707712,166.25934397059652,337438332.4289685,3425487.925479609,8563.719813699023,4922.720426191274,3640.9993875077485,
2,2022-02-16T00:00:00+00:00,Loopring,total,total,total,total,,0.9880106166508815,1358034321.9821656,1235675611.8071115,1358034321.9821656,157362333.65396538,0.11587507849159644,417.12726322611724,379.54415278403206,183.42876552094964,166.9018583619415,338979753.4205614,4294984.352910903,10737.460882277259,6160.212102731965,4577.248779545294,
3,2022-02-15T00:00:00+00:00,Loopring,total,total,total,total,,0.9243498447265056,1270531706.3420243,1152447326.274679,1270531706.3420243,140878330.36796427,0.11088139687089409,390.8493533897171,354.52345662982685,172.03046603077877,156.04179700934426,321471269.385307,4103925.0115574845,10259.812528893712,5826.054678004564,4433.757850889147,
4,2022-02-14T00:00:00+00:00,Loopring,total,total,total,total,,0.9144481361570099,1256921670.3191102,1142341279.0858917,1256921670.3191102,125986292.32536672,0.1002340044733106,383.9190634875192,348.92118133220356,169.12912712275673,153.71139504583402,320461023.9792524,3810069.315384039,9525.173288460097,5403.177184059644,4121.996104400453,
5,2022-02-13T00:00:00+00:00,Loopring,total,total,total,total,,0.9427158498123712,1295776035.5465531,1173089393.6993058,1295776035.5465531,180400736.30825678,0.13922215827379805,386.1019409185141,349.54504432332703,170.27112274923346,154.14951555740683,326222986.66109943,5323379.129947562,13308.447824868903,7798.423357467025,5510.024467401879,
6,2022-02-12T00:00:00+00:00,Loopring,total,total,total,total,,0.9386163819724374,1290141260.034359,1167992502.284344,1290141260.034359,294017857.6974535,0.22789586443396379,377.41720585970415,341.68387627995196,166.71791330520688,150.9332960421613,324357034.523074,8753640.884009346,21884.102210023368,12575.744466172344,9308.357743851026,
7,2022-02-11T00:00:00+00:00,Loopring,total,total,total,total,,1.0144235333654228,1394339243.0401933,1268233273.014722,1394339243.0401933,248476535.01324856,0.17820378810501997,404.9818262565361,368.3547096508141,178.766430442245,162.59854717320871,343436733.6191763,7263878.924764204,18159.69731191051,10275.11491124836,7884.58240066215,
8,2022-02-10T00:00:00+00:00,Loopring,total,total,total,total,,1.1016636109390514,1514251941.9532638,1371490584.8343635,1514251941.9532638,222193790.66965178,0.14673502111084605,431.73306518627874,391.02993211346137,190.30932580990793,172.36725364062295,363904847.263529,5403590.136622462,13508.975341556157,7555.495048841893,5953.480292714265,
9,2022-02-09T00:00:00+00:00,Loopring,total,total,total,total,,1.0808370930706326,1485625603.7378297,1345799289.7811189,1485625603.7378297,399207013.32790667,0.2687130676285485,419.2861794931328,379.8231809933691,184.59246536198674,167.21871793140375,363904847.263529,7203564.427020578,18008.911067551446,10004.976078536878,8003.934989014566,
