,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,831657361.7318006,12277063.528636096,36903.11817467895,30752.598478899126,6150.519695779826,
1,2022-02-17T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,926679601.1049831,15342932.495389853,46135.45051647398,38446.20876372832,7689.241752745665,
2,2022-02-16T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,892282215.2892327,10494620.000012305,31563.26027594176,26302.71689661813,5260.543379323626,
3,2022-02-15T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,892282215.2892327,10510140.845725808,31588.847957737074,26324.039964780903,5264.80799295618,
4,2022-02-14T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,902388872.4944626,14426178.151583795,43369.672456447355,36141.39371370612,7228.278742741224,
5,2022-02-13T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,933198145.347781,13645083.226988882,41036.562281620405,34197.13523468367,6839.427046936734,
6,2022-02-12T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,910197040.6334245,15013535.176621547,45122.81829755284,37602.348581294034,7520.4697162588045,
7,2022-02-11T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,829365044.177879,24104145.794362787,72525.86019375466,60438.21682812889,12087.64336562578,
8,2022-02-10T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,839134769.241456,18143053.162280317,54531.86594224448,45443.22161853707,9088.644323707415,
9,2022-02-09T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,810542534.21231,18325007.094850786,54736.43612920257,45613.696774335476,9122.739354867095,
10,2022-02-08T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,780738091.310666,14611376.327850884,43926.29107955392,36605.242566294924,7321.048513258986,
11,2022-02-07T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,780738091.310666,17535739.45581465,52694.98798842826,43912.48999035689,8782.497998071378,
12,2022-02-06T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,760597559.262531,8520889.829241557,25619.61253008671,21349.677108405587,4269.935421681118,
13,2022-02-05T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,665242677.653555,11591849.924848974,34831.89960601292,29026.58300501077,5805.316601002154,
14,2022-02-04T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,665242677.653555,15111547.645319905,45570.50664677241,37975.42220564368,7595.084441128735,
15,2022-02-03T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,716245551.212947,16954412.20912387,51282.487296260144,42735.40608021677,8547.081216043356,
16,2022-02-02T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,716245551.212947,22793888.031210408,68873.67309401449,57394.72757834541,11478.945515669084,
17,2022-02-01T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,687436293.211119,12986430.498023368,39046.52425512928,32538.77021260773,6507.754042521546,
18,2022-01-31T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,698332491.061691,8877078.066104926,26702.405447367677,22252.004539473066,4450.400907894613,
19,2022-01-30T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,675295988.446158,7473587.086148532,22470.200848081186,18725.16737340099,3745.0334746801977,
20,2022-01-29T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,675295988.446158,10374959.119744815,31198.51692740029,25998.764106166906,5199.752821233382,
21,2022-01-28T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,648173174.537924,10355030.910585616,31131.986256697266,25943.321880581054,5188.66437611621,
22,2022-01-27T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,630973678.685951,13287637.566970121,39961.52918257359,33301.27431881133,6660.254863762266,
23,2022-01-26T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,630973678.685951,17524631.885388862,52737.75084435765,43948.12570363138,8789.625140726275,
24,2022-01-25T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,597016820.304332,17713806.138694827,53250.68619189322,44375.57182657768,8875.114365315536,
25,2022-01-24T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,597016820.304332,19198209.01691348,57780.942986920505,48150.785822433754,9630.15716448675,
26,2022-01-23T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,622765592.7755165,16376977.200043643,49253.7030897716,41044.75257480967,8208.950514961934,
27,2022-01-22T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,751044668.531949,23269741.85875276,69992.73405606953,58327.278380057935,11665.455676011588,
28,2022-01-21T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,751044668.531949,26570140.247188285,79933.0587440722,66610.88228672683,13322.176457345366,
29,2022-01-20T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,770915937.623853,14637950.657623664,44028.99953016642,36690.83294180534,7338.1665883610685,
30,2022-01-19T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,866217061.204619,13023299.570730697,39128.85544532689,32607.379537772405,6521.475907554481,
31,2022-01-18T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,882879899.829603,22664622.29549782,68325.43929500913,56937.866079174266,11387.573215834855,
32,2022-01-17T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,908835139.462647,16241520.3411372,48884.55757398113,40737.13131165094,8147.426262330189,
33,2022-01-16T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,907566850.14748,17530545.50094262,52770.10343270404,43975.08619392003,8795.017238784007,
34,2022-01-15T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,887741864.709184,9829144.321249573,29548.5410419559,24623.78420162992,4924.756840325983,
35,2022-01-14T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,887741864.709184,13963470.12874696,41978.06793970278,34981.72328308565,6996.34465661713,
36,2022-01-13T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,919970424.9255018,24468057.5062673,73582.66746497527,61318.889554146044,12263.777910829209,
37,2022-01-12T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,919970424.9255018,18950881.147774033,56996.75228087618,47497.29356739681,9499.458713479362,
38,2022-01-11T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,866010937.8907664,20401728.15624934,61354.65331754207,51128.87776461839,10225.775552923678,
39,2022-01-10T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,842180736.146394,28501445.123479024,86190.18057570163,71825.15047975135,14365.030095950273,
40,2022-01-09T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,870096087.446032,13725379.567421434,41288.38201926829,34406.985016056904,6881.397003211381,
41,2022-01-08T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,924064181.4877272,17196004.428770885,51715.40166575732,43096.16805479776,8619.233610959553,
42,2022-01-07T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,956314329.4011239,30593454.676340044,92083.37322041584,76736.14435034654,15347.228870069308,
43,2022-01-06T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1039497206.157309,27487907.790065065,82778.17066158509,68981.80888465424,13796.361776930848,
44,2022-01-05T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1018146564.6721367,31041276.171109457,93344.7370612976,77787.28088441465,15557.456176882932,
45,2022-01-04T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1046185866.077636,17031344.652753383,51193.048998803555,42660.87416566963,8532.174833133926,
46,2022-01-03T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1064165195.124426,13363269.071494717,40197.26953502963,33497.72461252469,6699.544922504939,
47,2022-01-02T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1067734376.1124226,11656819.274374217,35039.11339981675,29199.261166513956,5839.85223330279,
48,2022-01-01T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1042245870.347366,17482057.137886398,52718.81223037462,43932.34352531219,8786.468705062438,
49,2021-12-31T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1041975462.1761978,17278124.44228148,51944.48120453645,43287.067670447046,8657.413534089408,
50,2021-12-30T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1043043758.510489,19400463.275789775,58334.13476386583,48611.7789698882,9722.35579397764,
51,2021-12-29T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1127750765.50794,21199133.542278014,63725.449025412476,53104.5408545104,10620.90817090208,
52,2021-12-28T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1127750765.50794,35081889.34219859,105501.9177380191,87918.26478168259,17583.652956336515,
53,2021-12-27T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1070559637.27319,27842213.771408938,83692.08169947323,69743.4014162277,13948.68028324554,
54,2021-12-26T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1049493425.630218,20752401.839725688,62394.26567562044,51995.22139635036,10399.044279270072,
55,2021-12-25T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1049493425.630218,21307361.645158064,64127.54109585598,53439.617579879974,10687.923515975996,
56,2021-12-24T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,988785421.854693,31785488.139466837,95579.10410609581,79649.25342174653,15929.850684349303,
57,2021-12-23T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,962931405.979955,41787597.76634684,125785.08636344472,104820.90530287061,20964.181060574123,
58,2021-12-22T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,928924672.202786,46574902.982180566,140366.58450601864,116972.15375501555,23394.430751003107,
59,2021-12-21T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,945831748.396241,54193202.03963997,163152.72197654226,135960.60164711857,27192.120329423713,
60,2021-12-20T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1009788430.955596,38849823.85635943,117002.83765565642,97502.36471304702,19500.472942609405,
61,2021-12-19T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1009788430.955596,48858096.86629864,146915.0250999009,122429.18758325074,24485.837516650146,
62,2021-12-18T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1014628117.50069,38814986.73790305,116753.04389363702,97294.2032446975,19458.840648939502,
63,2021-12-17T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1028395925.2066386,63905713.472735755,192326.62806140515,160272.19005117097,32054.43801023419,
64,2021-12-16T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1220898060.5553672,119013059.98247498,332693.2997103996,277244.416425333,55448.8832850666,
65,2021-12-15T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1091512639.357219,51702233.5617941,155451.76217562673,129543.1351463556,25908.62702927112,
66,2021-12-14T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1003853884.317406,27446000.110588737,82504.60629891763,68753.83858243136,13750.76771648627,
67,2021-12-13T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1109934013.912056,35870075.828487806,107814.18077839201,89845.15064866001,17969.030129732004,
68,2021-12-12T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1109934013.912056,20623070.363061145,61989.62579521697,51658.021496014146,10331.604299202829,
69,2021-12-11T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1113087705.6495802,23268884.1429339,69942.67989070744,58285.56657558953,11657.113315117906,
70,2021-12-10T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1131881843.1404314,49781905.01445387,149641.78641210403,124701.48867675335,24940.297735350672,
71,2021-12-09T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1348552276.1281526,53349588.39442769,160314.4240916114,133595.35340967617,26719.070681935234,
72,2021-12-08T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1348759985.165868,,,,,
73,2021-12-07T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1348312196.850793,,,,,
74,2021-12-06T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1348759985.165868,,,,,
75,2021-12-05T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1348759985.165868,,,,,
76,2021-12-04T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1534354337.630329,36695080.65668583,110191.66282346957,91826.38568622465,18365.277137244928,
77,2021-12-03T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1534354337.630329,70655215.08169135,212487.57584201382,177072.97986834485,35414.59597366897,
78,2021-12-02T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1855218957.493659,137859188.50617898,414342.54274887603,345285.45229072997,69057.090458146,
79,2021-12-01T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1944489217.045699,48020544.72548306,144305.59876265435,120254.6656355453,24050.933127109063,
80,2021-11-30T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1944489217.045699,47580881.90916295,143045.2657151627,119204.38809596893,23840.877619193783,
81,2021-11-29T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1975695591.6027572,39074070.94734794,117429.1513665828,97857.626138819,19571.5252277638,
82,2021-11-28T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,2125757827.1522312,65375124.57908832,196504.7081602025,163753.92346683543,32750.784693367088,
83,2021-11-27T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1978052893.0093453,46739940.42901973,140469.65110482986,117058.04258735823,23411.608517471646,
84,2021-11-26T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,2110420988.4363823,72750423.4011773,218597.03807409317,182164.19839507763,36432.83967901553,
85,2021-11-25T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,2104537423.63899,58220384.020874456,174941.79031754064,145784.8252646172,29156.965052923435,
86,2021-11-24T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1977267075.904157,90209787.25902072,271004.12346277613,225836.76955231346,45167.35391046268,
87,2021-11-23T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1846515568.5612614,86169368.9974668,258900.44526971527,215750.37105809606,43150.07421161921,
88,2021-11-22T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,1313811346.346631,78497676.64430292,235899.95992260633,196583.29993550526,39316.659987101055,
89,2021-11-21T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,931600910.793177,79679878.01801151,239900.5981739311,199917.16514494258,39983.43302898852,
90,2021-11-20T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,678316349.2605401,101489314.1628114,305557.85461434047,254631.5455119504,50926.30910239008,
91,2021-11-19T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,102477455.91049,2038139.2367693703,6166.027801514336,5138.3565012619465,1027.6713002523893,
92,2021-11-18T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,92220192.11798194,0.0,0.0,0.0,0.0,
93,2021-11-17T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,,0.0,0.0,0.0,0.0,
94,2021-11-16T00:00:00+00:00,Maiar,total,total,total,total,,,,,,,,,,,,,0.0,0.0,0.0,0.0,
