,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,MakerDAO,total,total,total,total,,1976.9777640242435,1988003369.0142066,1782588939.82451,1988003369.0142066,42714768.283986785,0.021486265541475317,19.24097699480976,17.252864515704257,19.238833987834965,17.25094293921662,16653791760.574799,9967002755.320961,247521.7161935757,30.808966477659034,247490.90722709807,
1,2022-02-17T00:00:00+00:00,MakerDAO,total,total,total,total,,2132.1998524475707,2144091131.0246708,1927833868.0591555,2144091131.0246708,51077293.869408734,0.023822352105434375,20.47017285921533,18.40551082554082,20.467925611574547,18.403490239732157,17680587578.045734,10051537687.431767,248289.35518292454,30.819294197326,248258.53588872723,
2,2022-02-16T00:00:00+00:00,MakerDAO,total,total,total,total,,2092.718885172244,2104389978.3948495,1886903223.8651931,2104389978.3948495,43014799.11748569,0.02044050749105723,19.823840391182998,17.775064853732047,19.821694907637184,17.77314110392288,17903444318.027348,10125694282.699432,258165.74126386092,30.831685838679267,258134.9095780223,
3,2022-02-15T00:00:00+00:00,MakerDAO,total,total,total,total,,1939.9242853000721,1950743243.0391905,1748189427.6309638,1950743243.0391905,40403526.01264667,0.020711862597406396,18.155529830679196,16.270365367808843,18.153590251664546,16.268627183381156,16964764832.310059,9981025380.85754,257523.30511177445,30.64030959631076,257492.6648021782,
4,2022-02-14T00:00:00+00:00,MakerDAO,total,total,total,total,,1936.2721778811504,1947070767.8171935,1744454654.7672052,1947070767.8171935,37618741.04955479,0.019320685036901923,17.905846331062445,16.04252783004179,17.903957797902578,16.04083582145337,16840028976.37903,9998783396.96187,257553.3222666753,30.643721120915934,257522.67854555437,
5,2022-02-13T00:00:00+00:00,MakerDAO,total,total,total,total,,1990.9990281529365,2002102829.7329454,1790265999.376173,2002102829.7329454,41024535.70737756,0.02049072360226857,18.195603426985656,16.270378159252726,18.19370915620931,16.268684315902554,16912173568.291374,9998152028.215002,257557.30464537206,30.643721120915938,257526.66092425116,
6,2022-02-12T00:00:00+00:00,MakerDAO,total,total,total,total,,2021.0506105691313,2032322009.8242753,1819675114.3542671,2032322009.8242753,58912726.94048478,0.028987890036962533,18.25267592921966,16.3428531493619,18.250800347753945,16.341173814639543,16974302422.38426,10010387894.430202,257395.40062779447,30.630707462256414,257364.76992033224,
7,2022-02-11T00:00:00+00:00,MakerDAO,total,total,total,total,,2109.407826429804,2121171993.877803,1898001589.1598334,2121171993.877803,61945370.69063035,0.02920337005646837,18.83008422499619,16.848954203717987,18.82817438440415,16.84724529916466,17560268882.872715,9980299410.384998,258417.1643216341,31.065330657556746,258386.09899097655,
8,2022-02-10T00:00:00+00:00,MakerDAO,total,total,total,total,,2249.93646750881,2262484363.1881065,2027741830.602181,2262484363.1881065,42374186.5870393,0.018729051690474046,19.853550446932974,17.793658768314554,19.85156348142632,17.791877959068152,18231680922.74668,9937305400.16183,257499.4352511507,31.104775756732913,257468.33047539403,
9,2022-02-09T00:00:00+00:00,MakerDAO,total,total,total,total,,2214.421789929619,2226771620.2520566,1998806796.2074852,2226771620.2520566,75260979.09326622,0.033798247835019175,19.313481745234228,17.336272036031094,19.311574794969612,17.334560309011458,17802119153.51463,9848173418.424881,256841.39467268658,31.151576270497472,256810.2430964161,
10,2022-02-08T00:00:00+00:00,MakerDAO,total,total,total,total,,2253.202058659681,2265768166.540826,2032537884.1485748,2265768166.540826,70086675.55910313,0.030932853852433304,19.41767854417687,17.418890355191724,19.415787885370328,17.417194314216733,17119964160.709105,9649295799.850311,254877.5517510593,31.268992371142513,254846.28275868812,
11,2022-02-07T00:00:00+00:00,MakerDAO,total,total,total,total,,2247.1120590470027,2259644203.000308,2024210043.7520485,2259644203.000308,56144836.3734278,0.024846759635379707,19.12812819285403,17.13515302751695,19.126293890157577,17.133509842303756,17119964160.709105,9508235990.998627,278834.43977833365,31.442520165671528,278802.99725816795,
