,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Maple Finance,total,total,total,total,,24.24417690834481,242441769.08344808,93654908.2514313,242441769.08344808,7271184.373743329,0.029991467234511883,59.2510925918037,22.88861222825191,5.93085908998148,2.29108237423064,610841538.6536018,507873790.000002,,,,
1,2022-02-17T00:00:00+00:00,Maple Finance,total,total,total,total,,25.22962434302677,252296243.43026772,97210216.68952167,252296243.43026772,9732005.84272087,0.0385737247229791,59.51861725504106,22.932635071209017,6.063959171615964,2.336454863752763,611656079.9656647,536123790.000002,423683.83561299974,416116.43835299974,7567.39726,
2,2022-02-16T00:00:00+00:00,Maple Finance,total,total,total,total,,21.921984752592852,219219847.52592853,84322457.45635475,219219847.52592853,5858722.833366826,0.026725330299638483,52.826011617648675,20.31941526960158,5.98677930248754,2.302802181152336,553148328.6636647,536123790.000002,24410.958904,0.0,24410.958904,
3,2022-02-15T00:00:00+00:00,Maple Finance,total,total,total,total,,20.146311299850414,201463112.99850413,77421849.72898321,201463112.99850413,5414277.055456258,0.026874781069706092,52.159716526326484,20.044869131142608,5.545379367766281,2.1310776037923764,553148328.6636647,508623790.000002,115808.21917699993,34438.35616399994,81369.863013,
4,2022-02-14T00:00:00+00:00,Maple Finance,total,total,total,total,,19.616660591169993,196166605.91169992,75445672.1839014,196166605.91169992,5012078.59886625,0.025550111220878885,67.5420464327366,25.97666952594283,5.610152656695664,2.1576645845074496,553317234.5485955,517623790.000002,164120.54794100003,138082.19177800004,26038.356163,
5,2022-02-13T00:00:00+00:00,Maple Finance,total,total,total,total,,20.95500382843801,209550038.2843801,79851207.98018783,209550038.2843801,17595515.354205333,0.08396808465540093,77.16743901553494,29.405450233159186,6.3209415350785925,2.408660104672438,552687075.8716648,522623790.000002,,,,
6,2022-02-12T00:00:00+00:00,Maple Finance,total,total,total,total,,25.069125550092217,250691255.50092217,97210493.42886016,250691255.50092217,30207397.60297772,0.12049641517259305,92.31781740045281,35.79805990377043,7.561939775101894,2.9322917360963747,548445271.3351641,522623790.000002,,,,
7,2022-02-11T00:00:00+00:00,Maple Finance,total,total,total,total,,19.357731095346114,193577310.95346114,72925063.45079659,193577310.95346114,9743076.646830551,0.050331707775261594,68.32302734239208,25.738869289760466,5.482383267233621,2.0653409516609926,547218814.930734,519623790.000002,16273.972602,0.0,16273.972602,
8,2022-02-10T00:00:00+00:00,Maple Finance,total,total,total,total,,15.178978085484077,151789780.8548408,56773278.18994509,151789780.8548408,2437269.335811576,0.016056873671504795,57.46014893578712,21.491572107128995,4.322357652842574,1.6166728226318774,546188814.930734,520423790.000002,384316.4383540002,364787.6712310002,19528.767123,
9,2022-02-09T00:00:00+00:00,Maple Finance,total,total,total,total,,15.041259435468486,150412594.35468486,56144470.95464492,150412594.35468486,2714529.211239593,0.01804722020044756,62.36741525269769,23.279869276866183,4.9166747438493035,1.8352459349151942,546043916.930734,514423790.000002,103610.95890200023,27123.28767100023,76487.671231,
10,2022-02-08T00:00:00+00:00,Maple Finance,total,total,total,total,,15.315299172262295,153152991.72262296,56117895.237469815,153152991.72262296,3014624.4799592816,0.01968374529319741,101.34950977120678,37.136206793859024,5.214179253766237,1.9105651272042348,542061240.930734,499423790.000002,542983.5616409997,533219.1780799998,9764.383561,
11,2022-02-07T00:00:00+00:00,Maple Finance,total,total,total,total,,15.301522894419705,153015228.94419706,56063316.89295807,153015228.94419706,3609511.355205907,0.023589229517293704,109.59647670317827,40.15510120239569,6.658854260746684,2.4397405352405155,542061240.930734,502423790.000002,,,,
12,2022-02-06T00:00:00+00:00,Maple Finance,total,total,total,total,,15.300189594151323,153001895.94151324,56143281.01867901,153001895.94151324,2445305.5023127114,0.015982190856298,109.58692699934747,40.2123751515453,6.658274040579434,2.443220381416205,541519293.930734,507423790.000002,223002.0034500001,175117.8082180001,47884.195232,
13,2022-02-05T00:00:00+00:00,Maple Finance,total,total,total,total,,15.336386254382893,153363862.54382893,55792929.3590311,153363862.54382893,2742210.3033452244,0.01788042018413265,184.24930630766366,67.0288838632775,7.5349954927996805,2.7411899014361802,539246880.9334842,502423790.000002,,,,
14,2022-02-04T00:00:00+00:00,Maple Finance,total,total,total,total,,15.042419752041756,150424197.52041757,55032864.97498938,150424197.52041757,2736445.2441270254,0.0181915229679427,180.7176318156649,66.11575261328157,7.390565362165645,2.703846803701176,539246880.9334842,502423790.000002,226952.05479200056,210678.08219000057,16273.972602,
15,2022-02-03T00:00:00+00:00,Maple Finance,total,total,total,total,,15.561678543277173,155616785.43277174,55606789.04498997,155616785.43277174,4123561.799214964,0.026498181335305827,242.86337783628494,86.7827502061482,8.801174074461763,3.1449372813208427,528659694.430734,497423790.000002,,,,
