,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,10189643.944752533,89159.38451658469,0,89159.38451658469,
1,2022-02-17T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,35674852.31561459,312154.9577616275,0,312154.9577616275,
2,2022-02-16T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,31219360.51149116,273169.4044755477,0,273169.4044755477,
3,2022-02-15T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,31108816.1138703,272202.14099636517,0,272202.14099636517,
4,2022-02-14T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,27503878.686624162,240658.9385079614,0,240658.9385079614,
5,2022-02-13T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,28375154.58589328,248282.60262656622,0,248282.60262656622,
6,2022-02-12T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,31440363.247801002,275103.17841825867,0,275103.17841825867,
7,2022-02-11T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,49400185.03357598,432251.61904379004,0,432251.61904379004,
8,2022-02-10T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,59264919.91667585,518568.04927091394,0,518568.04927091394,
9,2022-02-09T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,33267005.67015166,291086.2996138271,0,291086.2996138271,
10,2022-02-08T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,36674263.40639289,320899.80480593786,0,320899.80480593786,
11,2022-02-07T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,39222513.399547026,343196.9922460365,0,343196.9922460365,
12,2022-02-06T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,32675681.658056498,285912.2145079945,0,285912.2145079945,
13,2022-02-05T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,40533238.822111145,354665.8396934725,0,354665.8396934725,
14,2022-02-04T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,46798917.04568948,409490.52414978296,0,409490.52414978296,
15,2022-02-03T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,28145541.33575649,246273.48668786924,0,246273.48668786924,
16,2022-02-02T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,39714731.73772528,347503.90270509635,0,347503.90270509635,
17,2022-02-01T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,44919788.53794104,393048.14970698423,0,393048.14970698423,
18,2022-01-31T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,37945265.49584409,332021.0730886358,0,332021.0730886358,
19,2022-01-30T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,22789437.728364103,199407.58012318588,0,199407.58012318588,
20,2022-01-29T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,33286388.390020013,291255.898412675,0,291255.898412675,
21,2022-01-28T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,35305423.2341989,308922.4532992406,0,308922.4532992406,
22,2022-01-27T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,34803145.20049794,304527.52050435694,0,304527.52050435694,
23,2022-01-26T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,57578624.33956311,503812.9629711773,0,503812.9629711773,
24,2022-01-25T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,43797721.685956866,383230.0647521227,0,383230.0647521227,
25,2022-01-24T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,53857484.92457045,471252.9930899915,0,471252.9930899915,
26,2022-01-23T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,33694741.12047094,294828.98480412056,0,294828.98480412056,
27,2022-01-22T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,68168654.59798779,596475.7277323931,0,596475.7277323931,
28,2022-01-21T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,102016136.07256472,892641.1906349416,0,892641.1906349416,
29,2022-01-20T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,54397904.856902376,475981.66749789583,0,475981.66749789583,
30,2022-01-19T00:00:00+00:00,MetaMask,total,total,total,total,,,,,,,,,,,,,46577168.615703925,407550.22538740933,0,407550.22538740933,
