,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,NEAR Protocol,total,total,total,total,,10.447065371420585,10447065371.420586,6683994619.419835,10447065371.420586,462662810.6837428,0.04428638993199199,1454.8611174441376,930.8148781764005,1454.8611174441376,930.8148781764005,,,13909.737780957668,0,13909.737780957668,
1,2022-02-17T00:00:00+00:00,NEAR Protocol,total,total,total,total,,11.210169046509352,11210169046.509352,7169657109.95303,11210169046.509352,225156493.83000925,0.020085022170126775,1468.4907734303574,939.1986214430725,1468.4907734303574,939.1986214430725,,,12762.86323331008,0,12762.86323331008,
2,2022-02-16T00:00:00+00:00,NEAR Protocol,total,total,total,total,,11.509137235332924,11509137235.332924,7334705802.835162,11509137235.332924,346831104.7575381,0.03013528274671801,1400.2921447021265,892.3979886068395,1400.2921447021265,892.3979886068395,,,11270.654663610083,0,11270.654663610083,
3,2022-02-15T00:00:00+00:00,NEAR Protocol,total,total,total,total,,10.533930223916874,10533930223.916874,6689754498.849147,10533930223.916874,286497098.9247348,0.027197550471167387,1171.7162092186466,744.1186352457431,1171.7162092186466,744.1186352457431,,,9105.668025157605,0,9105.668025157605,
4,2022-02-14T00:00:00+00:00,NEAR Protocol,total,total,total,total,,10.424773618235305,10424773618.235304,6631334339.906002,10424773618.235304,251733938.74674365,0.02414766478059568,1093.0926564595813,695.3304824576654,1093.0926564595813,695.3304824576654,,,9354.989109175998,0,9354.989109175998,
5,2022-02-13T00:00:00+00:00,NEAR Protocol,total,total,total,total,,10.776792353727158,10776792353.727158,6770713577.25612,10776792353.727158,288115099.06660795,0.026734773169027726,1078.9813714026739,677.8894481005669,1078.9813714026739,677.8894481005669,,,8973.24238122446,0,8973.24238122446,
6,2022-02-12T00:00:00+00:00,NEAR Protocol,total,total,total,total,,10.87328032382129,10873280323.82129,6864451324.200302,10873280323.82129,446321828.8871353,0.041047578614277894,1055.1000014578553,666.099133515741,1055.1000014578553,666.099133515741,,,10754.91517871175,0,10754.91517871175,
7,2022-02-11T00:00:00+00:00,NEAR Protocol,total,total,total,total,,11.82346614520172,11823466145.201721,7499227285.610166,11823466145.201721,392798253.99112684,0.03322192064215745,1115.2460936631846,707.363122882813,1115.2460936631846,707.363122882813,,,13981.983256634756,0,13981.983256634756,
8,2022-02-10T00:00:00+00:00,NEAR Protocol,total,total,total,total,,12.991470340438811,12991470340.43881,8236046606.064094,12991470340.43881,377322564.69124657,0.02904386915442104,1197.9584503426324,759.4553480554674,1197.9584503426324,759.4553480554674,,,18380.62192919975,0,18380.62192919975,
9,2022-02-09T00:00:00+00:00,NEAR Protocol,total,total,total,total,,12.813516834433372,12813516834.433372,8105084182.654686,12813516834.433372,669838601.8775202,0.05227593724132655,1169.9535252054316,740.0444338670089,1169.9535252054316,740.0444338670089,,,17942.156641373986,0,17942.156641373986,
