,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,430939723.8359776,,,,,
1,2022-02-17T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,436322634.43559337,,,,,
2,2022-02-16T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,436287466.85788965,,,,,
3,2022-02-15T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,430679185.59657735,,,,,
4,2022-02-14T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,429801168.3265457,,,,,
5,2022-02-13T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,429684237.891754,,,,,
6,2022-02-12T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,429305081.3087434,,,,,
7,2022-02-11T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,433288897.7184994,,,,,
8,2022-02-10T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,484774511.876245,,,,,
9,2022-02-09T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,484774511.876245,,,,,
10,2022-02-08T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,462298310.4653182,,,,,
11,2022-02-07T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,462298310.4653182,,,,,
12,2022-02-06T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,460561269.3366193,,,,,
13,2022-02-05T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,401504005.128762,,,,,
14,2022-02-04T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,401504005.128762,,,,,
15,2022-02-03T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,352332282.0686029,,,,,
16,2022-02-02T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,352332282.0686029,,,,,
17,2022-02-01T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,349845592.2478019,,,,,
18,2022-01-31T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,347491274.05972177,,,,,
19,2022-01-30T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,346259472.0585421,,,,,
20,2022-01-29T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,346259472.0585421,,,,,
21,2022-01-28T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,381353369.0263603,,,,,
22,2022-01-27T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,381251790.4629656,,,,,
23,2022-01-26T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,381251790.4629656,,,,,
24,2022-01-25T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,379647656.29231864,,,,,
25,2022-01-24T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,380140518.613008,,,,,
26,2022-01-23T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,456972476.04518634,,,,,
27,2022-01-22T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,462423415.10093063,,,,,
28,2022-01-21T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,462977542.79167026,,,,,
29,2022-01-20T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,462977542.79167026,,,,,
30,2022-01-19T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,466975139.6646363,,,,,
31,2022-01-18T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,467980791.17459774,,,,,
32,2022-01-17T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,497463670.84729445,,,,,
33,2022-01-16T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,495937779.7702932,,,,,
34,2022-01-15T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,496893734.3176917,,,,,
35,2022-01-14T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,496893734.3176917,,,,,
36,2022-01-13T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,496803187.3901963,,,,,
37,2022-01-12T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,494833891.5331746,,,,,
38,2022-01-11T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,490906909.1943445,,,,,
39,2022-01-10T00:00:00+00:00,Notional Finance,total,total,total,total,,,,,,,,,,,,494484434.1647563,,,,,
