,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,7575870.010853802,572886.1332580473,383489.38298670226,189396.75027134508,
1,2022-02-17T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,102355211.7520295,11605302.077413693,9046421.783612953,2558880.2938007377,
2,2022-02-16T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,214746793.94449985,14435797.700155629,11567100.65628923,2868697.043866399,
3,2022-02-15T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,102149457.61827368,11250127.974792847,8696391.534336008,2553736.440456843,
4,2022-02-14T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,82432763.31919198,10606870.471812569,8546051.38883277,2060819.082979795,
5,2022-02-13T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,105098286.00278758,10844811.905085018,8217354.755015327,2627457.150069693,
6,2022-02-12T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,86072991.6856294,8272296.682176035,6120471.890035296,2151824.7921407353,
7,2022-02-11T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,117617831.71037494,14468245.1324209,11527799.33966153,2940445.792759371,
8,2022-02-10T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,119167546.01639701,11548532.197970483,8569343.547560556,2979188.650409926,
9,2022-02-09T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,100137963.66921638,12039408.231617233,9535959.139886826,2503449.0917304102,
10,2022-02-08T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,165272940.25551802,12623594.281821394,9790021.169706883,2833573.11211451,
11,2022-02-07T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,142748995.4139936,15346579.286360463,11777854.401010603,3568724.885349837,
12,2022-02-06T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,101956998.50102174,11992850.699280193,9443925.736754654,2548924.9625255438,
13,2022-02-05T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,104357413.5431186,11153015.80401772,8544080.465439746,2608935.338577967,
14,2022-02-04T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,142688473.14054397,14951613.629412284,11384401.800898675,3567211.8285135985,
15,2022-02-03T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,150898549.68543074,16115916.519320203,12343452.77718443,3772463.742135774,
16,2022-02-02T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,181528291.02862847,21554172.968204796,17016035.628360454,4538137.339844324,
17,2022-02-01T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,235055494.61125886,26340447.285166506,20464059.919885036,5876387.365281484,
18,2022-01-31T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,220185766.25447083,21293302.720159154,15788658.56379739,5504644.156361768,
19,2022-01-30T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,193341573.428823,18062502.079209693,13228962.743489118,4833539.335720575,
20,2022-01-29T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,174235451.57103127,17404263.38577296,13048377.096497148,4355886.289275785,
21,2022-01-28T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,144680322.0795832,14545605.934675768,10928597.882686185,3617008.05198958,
22,2022-01-27T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,162633086.8640615,17342440.52366004,13276613.352058494,4065827.171601537,
23,2022-01-26T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,475419296.5638496,17900602.82801605,13620715.185638655,4279887.642377401,
24,2022-01-25T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,159768972.25669345,16105836.37477682,12111612.068359496,3994224.306417343,
25,2022-01-24T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,100210460.20362385,10298945.139837334,7793683.634746762,2505261.505090599,
26,2022-01-23T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,100688089.1806253,9825661.265974505,7308459.036458873,2517202.229515633,
27,2022-01-22T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,98003716.12411538,9126861.609746229,6676768.706643351,2450092.9031028864,
28,2022-01-21T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,469134456.99175906,15075781.601222135,11044090.745439967,4031690.85578217,
29,2022-01-20T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,165940352.3391803,14877304.465875398,10728795.65739589,4148508.8084795084,
30,2022-01-19T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,155599957.33239722,16121072.67661888,12231079.680410022,3889992.996208848,
31,2022-01-18T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,124732202.20676425,12655847.986133995,9537542.930964878,3118305.0551691065,
32,2022-01-17T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,133863981.27811706,14112930.601473097,10766341.373347174,3346589.228125915,
33,2022-01-16T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,167840785.64072055,15676991.336525682,11480971.695507692,4196019.6410180135,
34,2022-01-15T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,171904081.55976528,15944650.167438198,11647058.23000156,4297591.937436642,
35,2022-01-14T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,157177836.3290534,17287925.01796761,13358479.842512019,3929445.1754555935,
36,2022-01-13T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,154209191.34207076,15264529.364554005,11409299.58100221,3855229.783551765,
37,2022-01-12T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,141382196.7864715,12993679.506582202,9459124.586920416,3534554.9196617906,
38,2022-01-11T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,119175471.05078284,12164817.46902358,9185430.692754,2979386.7762695705,
39,2022-01-10T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,121323408.64264314,12221209.035776505,9188123.819710432,3033085.216066081,
40,2022-01-09T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,195469453.23339742,18021191.14522853,13134454.814393597,4886736.330834927,
41,2022-01-08T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,155527228.88419104,15079759.355097871,11191741.124067746,3888018.231030127,
42,2022-01-07T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,141321426.19265777,14065969.196779009,10532954.897125134,3533014.2996538947,
43,2022-01-06T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,130645552.64332584,12938055.289004117,9671993.017542982,3266062.271461132,
44,2022-01-05T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,159892132.22577965,15782763.558682285,11785471.163398668,3997292.3952836157,
45,2022-01-04T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,180317852.38498583,16394782.564809678,11886836.255185029,4507946.309624648,
46,2022-01-03T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,191842179.66510046,16732526.225393094,11936471.733765583,4796054.491627511,
47,2022-01-02T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,198432262.2166625,15476603.965707062,10515797.410290496,4960806.555416563,
48,2022-01-01T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,136087157.39146206,10707567.499450888,7305388.564664337,3402178.9347865516,
49,2021-12-31T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,105845629.12413551,8905015.717924163,6258874.989820776,2646140.728103388,
50,2021-12-30T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,96479795.2201392,8010002.341638206,5598007.461134731,2411994.880503482,
51,2021-12-29T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,102468171.56905648,9077386.135287799,6515681.846061386,2561704.2892264123,
52,2021-12-28T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,97152191.6713557,8684359.415083205,6255554.623299301,2428804.791783896,
53,2021-12-27T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,121236959.42249295,9893730.082064299,6862806.0965019725,3030923.985562325,
54,2021-12-26T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,95941723.30554251,7597788.537982629,5199245.455344066,2398543.0826385627,
55,2021-12-25T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,57200353.114733785,5065928.669007171,3635928.965152897,1429999.7038542684,
56,2021-12-24T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,70686364.74554995,5554315.066150455,3787156.013966976,1767159.052183478,
57,2021-12-23T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,75898234.7544767,6496279.479767201,4598823.610905284,1897455.8688619165,
58,2021-12-22T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,65166169.49897412,5762270.071400049,4133120.879612845,1629149.191787206,
59,2021-12-21T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,58888886.48165778,5272330.15837708,3800107.9963356443,1472222.1620414439,
60,2021-12-20T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,56626298.033864126,5033435.621947687,3617778.1711010826,1415657.450846604,
61,2021-12-19T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,63774746.76506535,5889262.672262177,4294894.003135534,1594368.6691266338,
62,2021-12-18T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,97528516.26172735,10090935.968780672,7652723.062237487,2438212.9065431845,
63,2021-12-17T00:00:00+00:00,OpenSea,total,total,total,total,,,,,,,,,,,,,82573407.57752295,8202264.562974629,6137929.373536552,2064335.1894380732,
