,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2021-11-10T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,302900.8130247654,0,302900.8130247654,
1,2021-11-09T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,183542.53523421934,0,183542.53523421934,
2,2021-11-08T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,119787.49499148574,0,119787.49499148574,
3,2021-11-07T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,81169.00189824632,0,81169.00189824632,
4,2021-11-06T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,102339.41758656042,0,102339.41758656042,
5,2021-11-05T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,134488.8081992794,0,134488.8081992794,
6,2021-11-04T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,152412.7957102907,0,152412.7957102907,
7,2021-11-03T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,219261.8244456931,0,219261.8244456931,
8,2021-11-02T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,151154.61835391342,0,151154.61835391342,
9,2021-11-01T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,193106.41458626758,0,193106.41458626758,
10,2021-10-31T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,157917.5027769548,0,157917.5027769548,
11,2021-10-30T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,146363.3516406116,0,146363.3516406116,
12,2021-10-29T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,209630.5849903363,0,209630.5849903363,
13,2021-10-28T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,246203.82321574906,0,246203.82321574906,
14,2021-10-27T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,289561.8236901382,0,289561.8236901382,
15,2021-10-26T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,155264.1864778267,0,155264.1864778267,
16,2021-10-25T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,89535.44963155939,0,89535.44963155939,
17,2021-10-24T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,77907.78862445964,0,77907.78862445964,
18,2021-10-23T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,77963.14976978638,0,77963.14976978638,
19,2021-10-22T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,108317.39191020226,0,108317.39191020226,
20,2021-10-21T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,160204.38435154647,0,160204.38435154647,
21,2021-10-20T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,83901.80966274113,0,83901.80966274113,
22,2021-10-19T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,71651.22131092942,0,71651.22131092942,
23,2021-10-18T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,107760.38083868036,0,107760.38083868036,
24,2021-10-17T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,87877.98475859132,0,87877.98475859132,
25,2021-10-16T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,102539.24198292445,0,102539.24198292445,
26,2021-10-15T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,156949.87155370336,0,156949.87155370336,
27,2021-10-14T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,133024.60100604204,0,133024.60100604204,
28,2021-10-13T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,109873.21257105307,0,109873.21257105307,
29,2021-10-12T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,121351.2715046038,0,121351.2715046038,
30,2021-10-11T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,134796.18273177865,0,134796.18273177865,
31,2021-10-10T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,124354.10234279966,0,124354.10234279966,
32,2021-10-09T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,100181.80902374486,0,100181.80902374486,
33,2021-10-08T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,118019.88589879296,0,118019.88589879296,
34,2021-10-07T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,167381.00901885075,0,167381.00901885075,
35,2021-10-06T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,174411.53317010571,0,174411.53317010571,
36,2021-10-05T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,124091.78270778539,0,124091.78270778539,
37,2021-10-04T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,154089.63455356754,0,154089.63455356754,
38,2021-10-03T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,94232.64155954435,0,94232.64155954435,
39,2021-10-02T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,113388.82055092583,0,113388.82055092583,
40,2021-10-01T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,120051.87958229931,0,120051.87958229931,
41,2021-09-30T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,106825.65827905227,0,106825.65827905227,
42,2021-09-29T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,82358.30135725228,0,82358.30135725228,
43,2021-09-28T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,98403.97436256,0,98403.97436256,
44,2021-09-27T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,94735.87530227762,0,94735.87530227762,
45,2021-09-26T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,93285.71855479912,0,93285.71855479912,
46,2021-09-25T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,61602.039370866965,0,61602.039370866965,
47,2021-09-24T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,123485.53448123505,0,123485.53448123505,
48,2021-09-23T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,106185.12088118056,0,106185.12088118056,
49,2021-09-22T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,101288.11126965526,0,101288.11126965526,
50,2021-09-21T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,207202.12710720245,0,207202.12710720245,
51,2021-09-20T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,190058.54937023303,0,190058.54937023303,
52,2021-09-19T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,86136.60390539073,0,86136.60390539073,
53,2021-09-18T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,95891.59003916837,0,95891.59003916837,
54,2021-09-17T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,156558.37975926863,0,156558.37975926863,
55,2021-09-16T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,183929.76262898615,0,183929.76262898615,
56,2021-09-15T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,167584.78872858523,0,167584.78872858523,
57,2021-09-14T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,150413.13489696613,0,150413.13489696613,
58,2021-09-13T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,244634.72554402586,0,244634.72554402586,
59,2021-09-12T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,331647.54784002376,0,331647.54784002376,
60,2021-09-11T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,285285.11576930806,0,285285.11576930806,
61,2021-09-10T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,148982.08284968341,0,148982.08284968341,
62,2021-09-09T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,206000.31720181354,0,206000.31720181354,
63,2021-09-08T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,243809.83028413286,0,243809.83028413286,
64,2021-09-07T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,452528.4552547339,0,452528.4552547339,
65,2021-09-06T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,118877.08620225883,0,118877.08620225883,
66,2021-09-05T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,97871.01827943239,0,97871.01827943239,
67,2021-09-04T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,112362.98136068789,0,112362.98136068789,
68,2021-09-03T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,143672.9744391981,0,143672.9744391981,
69,2021-09-02T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,112908.85658281547,0,112908.85658281547,
70,2021-09-01T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,140490.07820775718,0,140490.07820775718,
71,2021-08-31T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,126276.74767612616,0,126276.74767612616,
72,2021-08-30T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,97155.83294933934,0,97155.83294933934,
73,2021-08-29T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,59095.285076960776,0,59095.285076960776,
74,2021-08-28T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,52936.679691972655,0,52936.679691972655,
75,2021-08-27T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,93008.12608926257,0,93008.12608926257,
76,2021-08-26T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,104960.35622083388,0,104960.35622083388,
77,2021-08-25T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,93081.02757535053,0,93081.02757535053,
78,2021-08-24T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,89631.44422618528,0,89631.44422618528,
79,2021-08-23T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,55354.78503345861,0,55354.78503345861,
80,2021-08-22T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,37772.37203533263,0,37772.37203533263,
81,2021-08-21T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,40952.316105340775,0,40952.316105340775,
82,2021-08-20T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,38569.925874848974,0,38569.925874848974,
83,2021-08-19T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,58992.71745734721,0,58992.71745734721,
84,2021-08-18T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,79307.71794523638,0,79307.71794523638,
85,2021-08-17T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,82318.60262262728,0,82318.60262262728,
86,2021-08-16T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,69886.50972363121,0,69886.50972363121,
87,2021-08-15T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,59704.44388324233,0,59704.44388324233,
88,2021-08-14T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,57999.37039156412,0,57999.37039156412,
89,2021-08-13T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,54194.116448659435,0,54194.116448659435,
90,2021-08-12T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,60864.47582850506,0,60864.47582850506,
91,2021-08-11T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,67119.96128190265,0,67119.96128190265,
92,2021-08-10T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,51644.21021059573,0,51644.21021059573,
93,2021-08-09T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,43000.304378289424,0,43000.304378289424,
94,2021-08-08T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,45253.11460863409,0,45253.11460863409,
95,2021-08-07T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,42322.155620638085,0,42322.155620638085,
96,2021-08-06T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,34994.273089629096,0,34994.273089629096,
97,2021-08-05T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,48913.6851024379,0,48913.6851024379,
98,2021-08-04T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,26530.941838887364,0,26530.941838887364,
99,2021-08-03T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,30408.638410133946,0,30408.638410133946,
100,2021-08-02T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,24840.92231626643,0,24840.92231626643,
101,2021-08-01T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,23473.405875181936,0,23473.405875181936,
102,2021-07-31T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,21643.621736062527,0,21643.621736062527,
103,2021-07-30T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,21110.035994975024,0,21110.035994975024,
104,2021-07-29T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,12928.822236611688,0,12928.822236611688,
105,2021-07-28T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,12310.851536208938,0,12310.851536208938,
106,2021-07-27T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,13678.66089382883,0,13678.66089382883,
107,2021-07-26T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,8730.122948489752,0,8730.122948489752,
108,2021-07-25T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,3059.6251436696043,0,3059.6251436696043,
109,2021-07-24T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,4380.776025250263,0,4380.776025250263,
110,2021-07-23T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,6868.454691857164,0,6868.454691857164,
111,2021-07-22T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,3926.794010775303,0,3926.794010775303,
112,2021-07-21T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,4267.677582901649,0,4267.677582901649,
113,2021-07-20T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,3052.0097084930085,0,3052.0097084930085,
114,2021-07-19T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,4925.639827891122,0,4925.639827891122,
115,2021-07-18T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,3702.0154596283573,0,3702.0154596283573,
116,2021-07-17T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,2454.8230179920674,0,2454.8230179920674,
117,2021-07-16T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,4444.417935326082,0,4444.417935326082,
118,2021-07-15T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,3361.1947586942874,0,3361.1947586942874,
119,2021-07-14T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,7023.351805010602,0,7023.351805010602,
120,2021-07-13T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,2118.388587900945,0,2118.388587900945,
121,2021-07-12T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,611.676654471919,0,611.676654471919,
122,2021-07-11T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,218.8068352955514,0,218.8068352955514,
123,2021-07-10T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,174.06064450502691,0,174.06064450502691,
124,2021-07-09T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,726.8488266874604,0,726.8488266874604,
125,2021-07-08T00:00:00+00:00,Optimism,total,total,total,total,,,,,,,,,,,,,,1269.609698100779,0,1269.609698100779,
