,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,PancakeSwap,total,total,total,total,,7.849983352263452,2113441896.7422526,2113441896.7422526,,62334082.20189288,0.029494107360120585,12.156698419388013,12.156698419388013,3.890143494204164,3.890143494204164,4545582413.826016,200311798.59277362,500779.49648193404,340530.05760771513,160249.4388742189,
1,2022-02-17T00:00:00+00:00,PancakeSwap,total,total,total,total,,8.249940308127545,2219409462.5382595,2219409462.5382595,,63012309.66582487,0.028391475628728704,12.423457716780963,12.423457716780963,3.975506469369909,3.975506469369909,4737661731.572087,587068873.6619315,1467672.1841548288,998017.0852252835,469655.09892954526,
2,2022-02-16T00:00:00+00:00,PancakeSwap,total,total,total,total,,8.331968074325763,2238142076.0293074,2238142076.0293074,,89684764.60560136,0.040071077509391755,12.430904657646925,12.430904657646925,3.9778894904470166,3.9778894904470166,4824071374.860865,605604785.9046209,1514011.9647615522,1029528.1360378554,484483.82872369676,
3,2022-02-15T00:00:00+00:00,PancakeSwap,total,total,total,total,,8.041804439288434,2152962500.3918743,2152962500.3918743,,86598677.39732201,0.04022303100103213,11.88938515204287,11.88938515204287,3.8046032486537182,3.8046032486537182,4716588033.202544,624632222.5244693,1561580.5563111731,1061874.7782915977,499705.7780195754,
4,2022-02-14T00:00:00+00:00,PancakeSwap,total,total,total,total,,8.043164893973467,2163525769.7376337,2163525769.7376337,,83923959.28037666,0.03879036730427017,11.920145352712813,11.920145352712813,3.8144465128680993,3.8144465128680993,4683956365.008672,508297968.6358874,1270744.9215897184,864106.5466810085,406638.3749087099,
5,2022-02-13T00:00:00+00:00,PancakeSwap,total,total,total,total,,7.814458663659583,2086311486.651311,2086311486.651311,,78179373.44562243,0.03747253176039705,11.332975045156905,11.332975045156905,3.6265520144502097,3.6265520144502097,4699078394.744771,533672316.598783,1334180.7914969577,907242.9382179311,426937.85327902646,
6,2022-02-12T00:00:00+00:00,PancakeSwap,total,total,total,total,,7.777225025843425,2078547181.9064693,2078547181.9064693,,102748260.69637279,0.04943272954820819,11.174039365227333,11.174039365227333,3.575692596872746,3.575692596872746,4811897708.716706,569421567.760114,1423553.919400285,968016.6651921937,455537.2542080912,
7,2022-02-11T00:00:00+00:00,PancakeSwap,total,total,total,total,,8.083408412374615,2153580170.9190297,2153580170.9190297,,107710261.0727113,0.05001451189381377,11.48891444668319,11.48891444668319,3.6764526229386187,3.6764526229386187,4848875962.795755,801112017.2186365,2002780.0430465913,1361890.429271682,640889.6137749093,
8,2022-02-10T00:00:00+00:00,PancakeSwap,total,total,total,total,,8.198970910836536,2182917219.7473564,2182917219.7473564,,85762180.11259744,0.03928787557162761,11.660538420612383,11.660538420612383,3.7313722945959618,3.7313722945959618,4848875962.795755,738768966.5185715,1846922.4162964288,1255907.2430815715,591015.1732148572,
9,2022-02-09T00:00:00+00:00,PancakeSwap,total,total,total,total,,8.010967847607498,2132138907.5857532,2132138907.5857532,,120124426.79214595,0.05633986902296356,11.309868051996396,11.309868051996396,3.6191577766388465,3.6191577766388465,4768873530.144749,577270140.7385073,1443175.3518462682,981359.2392554623,461816.11259080586,
