,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,2803320.5554409986
1,2022-02-17T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3299106.7841279996
2,2022-02-16T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3437661.8942380003
3,2022-02-15T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3880484.3463680022
4,2022-02-14T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3388191.7267960007
5,2022-02-13T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3513053.3255640003
6,2022-02-12T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3408746.5285770004
7,2022-02-11T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3425775.829072
8,2022-02-10T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,4422641.594020001
9,2022-02-09T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,5504280.0276230015
10,2022-02-08T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,5228547.427100003
11,2022-02-07T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,5575088.832751003
12,2022-02-06T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,5321298.575158998
13,2022-02-05T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,5142304.756659003
14,2022-02-04T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,5131745.470295999
15,2022-02-03T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3601383.55731
16,2022-02-02T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3201427.6330000004
17,2022-02-01T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3285487.043639999
18,2022-01-31T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3653818.8682429986
19,2022-01-30T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3914003.883791999
20,2022-01-29T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3804902.4100079993
21,2022-01-28T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,4195399.880500001
22,2022-01-27T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3339552.480619999
23,2022-01-26T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3502871.4062320003
24,2022-01-25T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3147687.3900049995
25,2022-01-24T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,2712642.073736
26,2022-01-23T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,2855952.9445919995
27,2022-01-22T00:00:00+00:00,Pocket Network,total,total,total,total,,,,,,,,,,,,,,,,,3387107.0688439994
