,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Polkadot,total,total,total,total,,18.123878114571923,19666147141.288696,19666147141.288696,,729682828.0764459,0.03710349682803354,22821.78042308402,22821.78042308402,18257.424338467208,18257.424338467208,,115615959.25402135,2457.236310917576,491.4472621835152,1965.7890487340608,
1,2022-02-17T00:00:00+00:00,Polkadot,total,total,total,total,,19.831693104156717,21632674348.359264,21632674348.359264,,651228108.5882292,0.030103911245611743,24020.627724311773,24020.627724311773,19216.50217944942,19216.50217944942,,135042578.22489354,2625.6726775608668,525.1345355121733,2100.5381420486933,
2,2022-02-16T00:00:00+00:00,Polkadot,total,total,total,total,,20.167527228360353,21989212429.833023,21989212429.833023,,648661043.8032804,0.029499057588949128,23846.095597507236,23846.095597507236,19076.87647800579,19076.87647800579,,71891925.10316455,2771.1242912897574,554.2248582579515,2216.899433031806,
3,2022-02-15T00:00:00+00:00,Polkadot,total,total,total,total,,18.732314169743915,20330586905.798527,20330586905.798527,,605860012.7828761,0.0298004192200707,21748.509897533477,21748.509897533477,17398.80791802679,17398.80791802679,,171454881.58898747,2689.048516685561,537.8097033371122,2151.2388133484487,
4,2022-02-14T00:00:00+00:00,Polkadot,total,total,total,total,,18.840796816073365,20286774145.390427,20286774145.390427,,520320760.0056092,0.0256482748945986,21445.009061537705,21445.009061537705,17156.007249230173,17156.007249230173,,90276825.40276936,2413.4706988858784,482.6941397771757,1930.7765591087027,
5,2022-02-13T00:00:00+00:00,Polkadot,total,total,total,total,,18.815152462515293,20347060821.402138,20347060821.402138,,702583071.2979032,0.0345299538574578,21202.408694915674,21202.408694915674,16961.92695593254,16961.92695593254,,58985198.77720524,2413.3610893743335,482.6722178748667,1930.6888714994668,
6,2022-02-12T00:00:00+00:00,Polkadot,total,total,total,total,,18.98356987116232,20572029325.256985,20572029325.256985,,992204806.4227159,0.048230769591823985,20952.51052146962,20952.51052146962,16762.0084171757,16762.0084171757,,68881762.52037868,2477.5717102769695,495.5143420553939,1982.0573682215756,
7,2022-02-11T00:00:00+00:00,Polkadot,total,total,total,total,,20.665904642186753,22480041052.512695,22480041052.512695,,1058676685.0210963,0.04709407258412294,22318.189041738446,22318.189041738446,17854.55123339076,17854.55123339076,,241898237.10667953,3292.4759732936845,658.495194658737,2633.980778634948,
8,2022-02-10T00:00:00+00:00,Polkadot,total,total,total,total,,21.958282792374536,23774347905.930065,23774347905.930065,,727651466.613877,0.030606579389392128,23316.844315726823,23316.844315726823,18653.47545258146,18653.47545258146,,291671715.6876178,3642.4158255357306,728.4831651071462,2913.9326604285848,
9,2022-02-09T00:00:00+00:00,Polkadot,total,total,total,total,,21.716960262761894,23527048022.776833,23527048022.776833,,1178072579.252564,0.05007311491488677,23009.189978116232,23009.189978116232,18407.351982492986,18407.351982492986,,179798322.56120688,3592.256474652961,718.4512949305922,2873.805179722369,
