,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,200703.428218,1974.5961219999992,1974.5961219999992,0,
1,2022-02-17T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,92169.18613700008,1994.523429999999,1994.523429999999,0,
2,2022-02-16T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,51206.46480600001,1294.078496000002,1294.078496000002,0,
3,2022-02-15T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,65960.98643999992,2359.776307000005,2359.776307000005,0,
4,2022-02-14T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,929765.121924001,8684.740954999987,8684.740954999987,0,
5,2022-02-13T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,222680.09668600012,3492.506339000001,3492.506339000001,0,
6,2022-02-12T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,111996.02487799972,4019.558736999999,4019.558736999999,0,
7,2022-02-11T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,127310.59202599987,1678.5967429999982,1678.5967429999982,0,
8,2022-02-10T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,168263.6523870001,2243.2446930000015,2243.2446930000015,0,
9,2022-02-09T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,143813.86142200005,1543.0817579999991,1543.0817579999991,0,
10,2022-02-08T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,190148.5185280001,2181.4578379999957,2181.4578379999957,0,
11,2022-02-07T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,149240.2795549997,1790.4639879999977,1790.4639879999977,0,
12,2022-02-06T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,118328.34312000018,1298.3314350000016,1298.3314350000016,0,
13,2022-02-05T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,137044.57132099997,1634.4261049999989,1634.4261049999989,0,
14,2022-02-04T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,157347.29656899985,1690.2722589999946,1690.2722589999946,0,
15,2022-02-03T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,157824.8676799999,1963.040925999996,1963.040925999996,0,
16,2022-02-02T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,138242.62219799997,1580.7901200000017,1580.7901200000017,0,
17,2022-02-01T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,175778.4763209999,2102.189629000005,2102.189629000005,0,
18,2022-01-31T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,412025.87888300087,4365.222010999998,4365.222010999998,0,
19,2022-01-30T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,441935.75108300155,4767.604210000033,4767.604210000033,0,
20,2022-01-29T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,321914.7578019999,3785.3255599999975,3785.3255599999975,0,
21,2022-01-28T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,175429.15269600006,2324.727874,2324.727874,0,
22,2022-01-27T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,185975.1127889999,2197.7114450000036,2197.7114450000036,0,
23,2022-01-26T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,215966.98363399948,2873.0360380000093,2873.0360380000093,0,
24,2022-01-25T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,232368.44096200046,2856.7991830000196,2856.7991830000196,0,
25,2022-01-24T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,503821.5980950002,7734.569334999981,7734.569334999981,0,
26,2022-01-23T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,445419.9002259996,11439.838148000003,11439.838148000003,0,
27,2022-01-22T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,148911.52371299997,2670.80439699999,2670.80439699999,0,
28,2022-01-21T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,80590.185087,1985.3258900000026,1985.3258900000026,0,
29,2022-01-20T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,137956.704501,7037.877970000059,7037.877970000059,0,
30,2022-01-19T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,79750.11309099998,2371.6930660000007,2371.6930660000007,0,
31,2022-01-18T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,78359.908173,3902.1222119999884,3902.1222119999884,0,
32,2022-01-17T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,111911.27369100007,5410.5660489999755,5410.5660489999755,0,
33,2022-01-16T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,98006.858908,5707.022344999985,5707.022344999985,0,
34,2022-01-15T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,78546.52004800005,3905.0661439999985,3905.0661439999985,0,
35,2022-01-14T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,169520.14062499997,3798.3719590000005,3798.3719590000005,0,
36,2022-01-13T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,145121.11034500002,2730.827917999998,2730.827917999998,0,
37,2022-01-12T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,225504.45427900003,4152.459678999998,4152.459678999998,0,
38,2022-01-11T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,24028.649037000003,407.1303420000001,407.1303420000001,0,
39,2022-01-10T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,36737.819107999996,607.6696810000001,607.6696810000001,0,
40,2022-01-09T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,27633.783978999996,505.39964300000014,505.39964300000014,0,
41,2022-01-08T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,25295.062035999996,459.506532,459.506532,0,
42,2022-01-07T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,52603.78406200001,906.2865260000003,906.2865260000003,0,
43,2022-01-06T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,114289.73808500003,2184.906447999997,2184.906447999997,0,
44,2022-01-05T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,60170.40163100001,1182.2508829999995,1182.2508829999995,0,
45,2022-01-04T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,95907.225125,1784.393717,1784.393717,0,
46,2022-01-03T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,141582.5228670001,2714.804705,2714.804705,0,
47,2022-01-02T00:00:00+00:00,Polymarket,total,total,total,total,,,,,,,,,,,,,141251.24384300012,2776.9432229999984,2776.9432229999984,0,
