,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,PowerPool,total,total,total,total,,1.0295143795545854,102951437.95545854,28253617.963980194,102951437.95545854,1625332.4284084486,0.01578736985792895,,,,,15009889.292380027,,,,,
1,2022-02-17T00:00:00+00:00,PowerPool,total,total,total,total,,1.113964574429147,111396457.44291471,30622748.90353172,111396457.44291471,2695202.716721028,0.024194689657004477,,,,,15257410.3196496,,,,,
2,2022-02-16T00:00:00+00:00,PowerPool,total,total,total,total,,1.1200744768704227,112007447.68704227,30785946.767407242,112007447.68704227,1540099.3464798834,0.013749972687379179,,,,,15267685.855111985,,,,,
3,2022-02-15T00:00:00+00:00,PowerPool,total,total,total,total,,1.056561460319559,105656146.0319559,29028007.801897377,105656146.0319559,1816828.6622983802,0.017195674180173835,,,,,15081969.763791498,,,,,
4,2022-02-14T00:00:00+00:00,PowerPool,total,total,total,total,,1.0867110229316652,108671102.29316652,29869293.374816418,108671102.29316652,1433120.6635461082,0.01318768866151665,,,,,15049447.509306535,,,,,
5,2022-02-13T00:00:00+00:00,PowerPool,total,total,total,total,,1.1222391693456328,112223916.93456328,30853237.183903307,112223916.93456328,2211487.9135330245,0.019706030353783877,,,,,15160232.890859958,,,,,
6,2022-02-12T00:00:00+00:00,PowerPool,total,total,total,total,,1.1924913477345243,119249134.77345243,31330679.998050723,119249134.77345243,2091443.804529177,0.017538440077594423,,,,,15331890.285086889,,,,,
7,2022-02-11T00:00:00+00:00,PowerPool,total,total,total,total,,1.1936690280572215,119366902.80572215,32801862.616737742,119366902.80572215,2606586.8330971883,0.021836763556976828,,,,,15331890.285086889,,,,,
8,2022-02-10T00:00:00+00:00,PowerPool,total,total,total,total,,1.2165160513364208,121651605.13364208,33380492.33220461,121651605.13364208,1599595.6088810381,0.013148988927221963,,,,,15452450.054190544,,,,,
9,2022-02-09T00:00:00+00:00,PowerPool,total,total,total,total,,1.1688550413128287,116885504.13128287,32161562.130848672,116885504.13128287,1548796.458386529,0.013250543511768232,,,,,15452450.054190544,,,,,
10,2022-02-08T00:00:00+00:00,PowerPool,total,total,total,total,,1.1851045563753357,118510455.63753358,32533009.53022836,118510455.63753358,1730338.7653895514,0.01460072662855862,,,,,15417030.180176072,,,,,
11,2022-02-07T00:00:00+00:00,PowerPool,total,total,total,total,,1.157459660431542,115745966.0431542,31733471.465460494,115745966.0431542,1192520.133805659,0.010302908814645385,,,,,15417030.180176072,,,,,
12,2022-02-06T00:00:00+00:00,PowerPool,total,total,total,total,,1.1715411489992833,117154114.89992833,32166653.097637616,117154114.89992833,2552140.5536109437,0.021784472152693503,,,,,15417725.652798336,,,,,
13,2022-02-05T00:00:00+00:00,PowerPool,total,total,total,total,,1.1376052618708206,113760526.18708205,31099828.64510764,113760526.18708205,1698764.258651008,0.014932809433892273,,,,,15256398.25449399,,,,,
14,2022-02-04T00:00:00+00:00,PowerPool,total,total,total,total,,1.0760378237901527,107603782.37901527,29449468.9669425,107603782.37901527,1594404.9764762146,0.014817369252506436,,,,,15256398.25449399,,,,,
15,2022-02-03T00:00:00+00:00,PowerPool,total,total,total,total,,1.0581981847714979,105819818.47714978,28456984.37713059,105819818.47714978,2167111.086020929,0.020479255372082162,,,,,15456295.684484811,,,,,
16,2022-02-02T00:00:00+00:00,PowerPool,total,total,total,total,,1.0876757027129293,108767570.27129294,29314575.158049572,108767570.27129294,2470542.8645107416,0.02271396573766062,,,,,15456295.684484811,,,,,
17,2022-02-01T00:00:00+00:00,PowerPool,total,total,total,total,,1.0792499891812077,107924998.91812077,28983382.206544276,107924998.91812077,1267875.0550024137,0.011747742114542986,,,,,15395047.821450876,,,,,
18,2022-01-31T00:00:00+00:00,PowerPool,total,total,total,total,,1.0941770748052921,109417707.48052922,29443481.7363299,109417707.48052922,1966192.418635575,0.017969599838174796,,,,,15558739.781049214,,,,,
19,2022-01-30T00:00:00+00:00,PowerPool,total,total,total,total,,1.0970201001262703,109702010.01262702,29505165.972694468,109702010.01262702,1171276.0325091304,0.010676887619236084,,,,,15475159.591390017,,,,,
20,2022-01-29T00:00:00+00:00,PowerPool,total,total,total,total,,1.1038729668476963,110387296.68476963,29718996.726740073,110387296.68476963,1197470.8275494222,0.01084790427442943,,,,,15475159.591390017,,,,,
21,2022-01-28T00:00:00+00:00,PowerPool,total,total,total,total,,1.0624607406804265,106246074.06804265,28596555.35810365,106246074.06804265,2373815.024530011,0.022342614024587492,,,,,15440344.739633977,,,,,
22,2022-01-27T00:00:00+00:00,PowerPool,total,total,total,total,,1.0973089382033312,109730893.82033312,29563094.527666807,109730893.82033312,2298409.7654858627,0.020945876639345915,,,,,15311783.159542192,,,,,
23,2022-01-26T00:00:00+00:00,PowerPool,total,total,total,total,,1.084451064905999,108445106.4905999,29120643.638196938,108445106.4905999,1732345.6055944315,0.01597440088958364,,,,,15311783.159542192,,,,,
24,2022-01-25T00:00:00+00:00,PowerPool,total,total,total,total,,1.0303656115158828,103036561.15158828,27738065.923079662,103036561.15158828,2747307.515100676,0.02666342397684268,,,,,15583554.17401395,,,,,
25,2022-01-24T00:00:00+00:00,PowerPool,total,total,total,total,,1.0516973387302746,105169733.87302746,28376530.886701725,105169733.87302746,5918523.769457807,0.05627592227820319,,,,,15517553.114317546,,,,,
26,2022-01-23T00:00:00+00:00,PowerPool,total,total,total,total,,1.0421189345686157,104211893.45686157,27853055.033248488,104211893.45686157,12032514.493820325,0.11546200817089246,,,,,15517553.114317546,,,,,
27,2022-01-22T00:00:00+00:00,PowerPool,total,total,total,total,,1.0624013900748337,106240139.00748336,28639669.752296943,106240139.00748336,3908492.0116414824,0.0367892215518108,,,,,16339257.572987285,,,,,
28,2022-01-21T00:00:00+00:00,PowerPool,total,total,total,total,,1.2207965701830812,122079657.01830812,32948796.264880437,122079657.01830812,3558701.332170926,0.029150649822330614,,,,,16339257.572987285,,,,,
29,2022-01-20T00:00:00+00:00,PowerPool,total,total,total,total,,1.2668164226595966,126681642.26595967,34057054.6021828,126681642.26595967,2107513.409761162,0.01663629687825311,,,,,16409974.496517578,,,,,
30,2022-01-19T00:00:00+00:00,PowerPool,total,total,total,total,,1.2886115422106237,128861154.22106236,34630260.42948093,128861154.22106236,2861742.853552164,0.022207956081495443,,,,,17046262.20540151,,,,,
31,2022-01-18T00:00:00+00:00,PowerPool,total,total,total,total,,1.2952117694629635,129521176.94629635,34767561.25154849,129521176.94629635,2625188.505957837,0.020268411450942304,,,,,17255751.266130127,,,,,
32,2022-01-17T00:00:00+00:00,PowerPool,total,total,total,total,,1.3856340641810252,138563406.41810253,37191526.07628893,138563406.41810253,1146005.8615804575,0.00827062419440302,,,,,17187667.68725441,,,,,
33,2022-01-16T00:00:00+00:00,PowerPool,total,total,total,total,,1.3824691337397057,138246913.37397057,37069406.83108509,138246913.37397057,2026242.2638817586,0.014656690803653515,,,,,17119961.391321454,,,,,
34,2022-01-15T00:00:00+00:00,PowerPool,total,total,total,total,,1.4233728106776713,142337281.06776714,38200826.18442175,142337281.06776714,6763303.72504534,0.04751603848485285,,,,,17181417.83127632,,,,,
35,2022-01-14T00:00:00+00:00,PowerPool,total,total,total,total,,1.3349562360762088,133495623.60762088,35843201.697941974,133495623.60762088,2522868.2716720207,0.01889850920572049,,,,,17181417.83127632,,,,,
36,2022-01-13T00:00:00+00:00,PowerPool,total,total,total,total,,1.3740019535240138,137400195.35240138,36926693.08743573,137400195.35240138,1833449.9766578106,0.013343867320970057,,,,,17400833.59623757,,,,,
37,2022-01-12T00:00:00+00:00,PowerPool,total,total,total,total,,1.3302084177097657,133020841.77097657,35776368.113474764,133020841.77097657,2316109.073743164,0.01741162544837022,,,,,17279719.34620891,,,,,
38,2022-01-11T00:00:00+00:00,PowerPool,total,total,total,total,,1.2461166129113026,124611661.29113026,33475528.427796863,124611661.29113026,5113915.932054622,0.04103882316524919,,,,,17366175.844840344,,,,,
39,2022-01-10T00:00:00+00:00,PowerPool,total,total,total,total,,1.26486761406475,126486761.406475,33628406.430866644,126486761.406475,1824096.9968351417,0.01442124833106656,,,,,17452641.967078757,,,,,
40,2022-01-09T00:00:00+00:00,PowerPool,total,total,total,total,,1.2189981418651903,121899814.18651903,32832254.465029046,121899814.18651903,2912302.5305254557,0.02389095135181534,,,,,17882804.996526495,,,,,
41,2022-01-08T00:00:00+00:00,PowerPool,total,total,total,total,,1.2794382811470495,127943828.11470495,34287132.10304374,127943828.11470495,2174757.7302192985,0.016997754110261356,,,,,17930467.828174002,,,,,
42,2022-01-07T00:00:00+00:00,PowerPool,total,total,total,total,,1.36330502924046,136330502.924046,36570276.37962613,136330502.924046,1651137.6972199522,0.012111285895716624,,,,,18100204.74852758,,,,,
