,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Rarible,total,total,total,total,,8.34309942660088,208577485.665022,50607333.496888734,208577485.665022,794949.4267303416,0.0038112906778780533,,,,,,,,,,
1,2022-02-17T00:00:00+00:00,Rarible,total,total,total,total,,9.215125283740441,230378132.09351104,55834541.12901764,230378132.09351104,691020.0837000187,0.002999503804551779,,,,,,,,,,
2,2022-02-16T00:00:00+00:00,Rarible,total,total,total,total,,9.339652618344164,233491315.4586041,55801283.86757545,233491315.4586041,862276.7068755712,0.0036929712147193115,,,,,,,,,,
3,2022-02-15T00:00:00+00:00,Rarible,total,total,total,total,,8.6324734280887,215811835.7022175,52313559.271774605,215811835.7022175,670697.8361434742,0.0031077898668584593,,,,,,,,,,
4,2022-02-14T00:00:00+00:00,Rarible,total,total,total,total,,8.704253366323245,217606334.1580811,52741119.83025916,217606334.1580811,657207.6493150869,0.0030201678267216957,,,,,,,,,,
5,2022-02-13T00:00:00+00:00,Rarible,total,total,total,total,,8.742041616316591,218551040.4079148,52856344.37063229,218551040.4079148,710964.4989291407,0.0032530821981087824,,,,,,,,,,
6,2022-02-12T00:00:00+00:00,Rarible,total,total,total,total,,8.912742657238159,222818566.43095398,53807868.07038852,222818566.43095398,999387.6301488351,0.004485208060336933,,,,,,,,,,
7,2022-02-11T00:00:00+00:00,Rarible,total,total,total,total,,9.436090040755145,235902251.01887864,57153593.247134715,235902251.01887864,1242782.1171116044,0.005268207962170517,,,,,,,,,,
8,2022-02-10T00:00:00+00:00,Rarible,total,total,total,total,,10.505586659481867,262639666.4870467,63596262.79435561,262639666.4870467,1160205.82947664,0.004417481353807084,,,,,,,,,,
9,2022-02-09T00:00:00+00:00,Rarible,total,total,total,total,,9.980114441905805,249502861.04764512,60213181.93058119,249502861.04764512,1608249.2901835064,0.0064458150236457405,,,,,,,,,,
10,2022-02-08T00:00:00+00:00,Rarible,total,total,total,total,,10.53287566222457,263321891.55561423,64120670.40126453,263321891.55561423,1741535.5292437146,0.006613713424870708,,,,,,,,,,
11,2022-02-07T00:00:00+00:00,Rarible,total,total,total,total,,9.533569434788728,238339235.8697182,57469231.85045864,238339235.8697182,832401.7402790585,0.0034925082193939263,,,,,,,,,,
12,2022-02-06T00:00:00+00:00,Rarible,total,total,total,total,,9.563098660595568,239077466.51488918,57743439.41389727,239077466.51488918,1209443.4353520824,0.005058793089045726,,,,,,,,,,
13,2022-02-05T00:00:00+00:00,Rarible,total,total,total,total,,9.495865536986537,237396638.42466342,56397176.59855982,237396638.42466342,1475929.1534732156,0.006217144283370272,,,,,,,,,,
14,2022-02-04T00:00:00+00:00,Rarible,total,total,total,total,,8.644552357581189,216113808.93952972,51921215.27914547,216113808.93952972,1027587.7248511086,0.004754845282184793,,,,,,,,,,
15,2022-02-03T00:00:00+00:00,Rarible,total,total,total,total,,8.951092253689259,223777306.34223148,53851578.0825359,223777306.34223148,1694895.7441002128,0.00757402871544151,,,,,,,,,,
16,2022-02-02T00:00:00+00:00,Rarible,total,total,total,total,,9.05552242006807,226388060.50170177,54316321.57981845,226388060.50170177,5891394.606419345,0.026023433362003908,,,,,,,,,,
17,2022-02-01T00:00:00+00:00,Rarible,total,total,total,total,,9.22624050075978,230656012.51899448,53882247.42854268,230656012.51899448,859242.2665343238,0.003725210789653989,,,,,,,,,,
18,2022-01-31T00:00:00+00:00,Rarible,total,total,total,total,,8.227888264457611,205697206.6114403,46484525.40842634,205697206.6114403,886292.3246674528,0.0043087231920540805,,,,,,,,,,
19,2022-01-30T00:00:00+00:00,Rarible,total,total,total,total,,8.659953554267323,216498838.85668308,48868913.05087727,216498838.85668308,776624.7916579588,0.0035872007247672367,,,,,,,,,,
20,2022-01-29T00:00:00+00:00,Rarible,total,total,total,total,,8.41025856731841,210256464.18296024,47378156.28552647,210256464.18296024,976906.6392877823,0.004646262092744512,,,,,,,,,,
21,2022-01-28T00:00:00+00:00,Rarible,total,total,total,total,,8.130759393232127,203268984.8308032,45146607.98473976,203268984.8308032,999652.0672581723,0.004917877993488587,,,,,,,,,,
22,2022-01-27T00:00:00+00:00,Rarible,total,total,total,total,,8.599820183610499,214995504.59026247,47842885.59165915,214995504.59026247,982702.7723044942,0.00457080613930661,,,,,,,,,,
23,2022-01-26T00:00:00+00:00,Rarible,total,total,total,total,,8.81905646572483,220476411.64312074,48996894.40561013,220476411.64312074,923783.8536748001,0.004189944161328715,,,,,,,,,,
24,2022-01-25T00:00:00+00:00,Rarible,total,total,total,total,,8.450638641288808,211265966.0322202,47411330.39411999,211265966.0322202,2857436.986491537,0.013525306703000846,,,,,,,,,,
25,2022-01-24T00:00:00+00:00,Rarible,total,total,total,total,,10.074951549309036,251873788.7327259,56017700.85606424,251873788.7327259,2833950.5194000327,0.011251470562533443,,,,,,,,,,
26,2022-01-23T00:00:00+00:00,Rarible,total,total,total,total,,9.017651581374555,225441289.53436387,50141219.475558,225441289.53436387,2076474.9659030158,0.009210712776669511,,,,,,,,,,
27,2022-01-22T00:00:00+00:00,Rarible,total,total,total,total,,10.13548805164934,253387201.29123348,56414042.92561866,253387201.29123348,1760244.526276669,0.006946856499881033,,,,,,,,,,
28,2022-01-21T00:00:00+00:00,Rarible,total,total,total,total,,12.021358218134957,300533955.4533739,67879657.87623718,300533955.4533739,1907464.6876355363,0.006346919051985353,,,,,,,,,,
29,2022-01-20T00:00:00+00:00,Rarible,total,total,total,total,,12.89517615514337,322379403.87858427,71986673.65744004,322379403.87858427,5692779.808925417,0.017658633710574925,,,,,,,,,,
30,2022-01-19T00:00:00+00:00,Rarible,total,total,total,total,,12.735214219439705,318380355.4859926,70769025.6077433,318380355.4859926,1565616.5543696498,0.004917440813770718,,,,,,,,,,
31,2022-01-18T00:00:00+00:00,Rarible,total,total,total,total,,12.402967840261725,310074196.00654316,68775016.72124508,310074196.00654316,1434208.9815132518,0.004625373539573693,,,,,,,,,,
32,2022-01-17T00:00:00+00:00,Rarible,total,total,total,total,,13.075441202602683,326886030.06506705,72374717.20588249,326886030.06506705,1353643.1398020661,0.004141024746553475,,,,,,,,,,
33,2022-01-16T00:00:00+00:00,Rarible,total,total,total,total,,13.556645811109593,338916145.2777398,75170291.89183113,338916145.2777398,2458222.254271886,0.007253187222040977,,,,,,,,,,
34,2022-01-15T00:00:00+00:00,Rarible,total,total,total,total,,12.909156010386015,322728900.25965035,71330139.20675237,322728900.25965035,1173394.282518709,0.0036358512719953467,,,,,,,,,,
35,2022-01-14T00:00:00+00:00,Rarible,total,total,total,total,,12.783701340919396,319592533.5229849,70739783.12315603,319592533.5229849,1535871.6828204556,0.004805718287251528,,,,,,,,,,
36,2022-01-13T00:00:00+00:00,Rarible,total,total,total,total,,13.452564290369864,336314107.2592466,74388290.6694973,336314107.2592466,1942529.7081957292,0.005775938821080547,,,,,,,,,,
37,2022-01-12T00:00:00+00:00,Rarible,total,total,total,total,,13.253009057178835,331325226.42947084,73182375.82228708,331325226.42947084,1955748.691800027,0.005902806474702121,,,,,,,,,,
38,2022-01-11T00:00:00+00:00,Rarible,total,total,total,total,,12.985886429598354,324647160.7399588,71670760.82298627,324647160.7399588,2182121.972523072,0.0067215187329820614,,,,,,,,,,
