,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Ren,total,total,total,total,,0.3342384045353353,334238404.5353353,334457472.8727006,334238404.5353353,23131674.583972752,0.06920711166070474,,,27.810647485650374,27.828875290184698,1279991768.2427347,,,,,
1,2022-02-17T00:00:00+00:00,Ren,total,total,total,total,,0.3733424588138143,373342458.8138143,374607484.9347642,373342458.8138143,21881135.98752005,0.05860875309237775,,,30.59120160699068,30.694856222720812,1390213020.903186,3371474.3400024623,5057.200000000012,5057.200000000012,0.0,
2,2022-02-16T00:00:00+00:00,Ren,total,total,total,total,,0.3791284843449361,379128484.34493613,380286187.6110604,379128484.34493613,23344242.38963975,0.06157343315940579,,,31.080870858411203,31.175779120893615,1381729560.5224319,4751498.280000299,7127.229999998875,7127.229999998875,0.0,
3,2022-02-15T00:00:00+00:00,Ren,total,total,total,total,,0.3530890071628171,353089007.1628171,353162219.8293453,353089007.1628171,16362565.663625587,0.04634119253698671,,,29.072209134702543,29.078237229345643,1347264669.6436517,4469499.440000914,6704.260000000297,6704.260000000297,0.0,
4,2022-02-14T00:00:00+00:00,Ren,total,total,total,total,,0.3484300748249332,348430074.82493323,348563381.7577049,348430074.82493323,17065822.649402767,0.048979189462842423,,,28.666594310684975,28.677561951071606,1336201448.584807,3736994.999998942,5605.479999999998,5605.479999999998,0.0,
5,2022-02-13T00:00:00+00:00,Ren,total,total,total,total,,0.35342987611127785,353429876.1112779,352565028.6777323,353429876.1112779,23293391.5670979,0.0659066851489486,,,29.0741513551769,29.003006534431403,1328704300.5038996,3633119.929998546,5449.619999999632,5449.619999999632,0.0,
6,2022-02-12T00:00:00+00:00,Ren,total,total,total,total,,0.35435000655110943,354350006.55110943,354010881.4358954,354350006.55110943,32859630.306078706,0.09273212840011397,,,28.71142755496397,28.68394973360789,1337046848.6136785,2995215.1700023017,4492.7900000014915,4492.7900000014915,0.0,
7,2022-02-11T00:00:00+00:00,Ren,total,total,total,total,,0.3846514498665834,384651449.8665834,385485505.8911417,384651449.8665834,44986115.00701787,0.11695293238234598,,,31.00915140711487,31.076389863011805,1380591755.5288892,4534203.439997616,6801.299999998344,6801.299999998344,0.0,
8,2022-02-10T00:00:00+00:00,Ren,total,total,total,total,,0.3918827070847208,391882707.0847208,391726565.572512,391882707.0847208,36071654.13989242,0.09204706787966054,,,31.465417195422607,31.452880133351858,1404480643.0527616,12554260.80000125,18831.340000001197,18831.340000001197,0.0,
9,2022-02-09T00:00:00+00:00,Ren,total,total,total,total,,0.37704766187633726,377047661.87633723,377452281.3232729,377047661.87633723,49383237.0335096,0.13097346045791458,,,30.55076038607463,30.583545184976078,1385085887.13767,7935551.069997531,11903.33999999955,11903.33999999955,0.0,
