,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,249226058.00270703,,,,,
1,2022-02-17T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,255267041.53297254,3316695.6128452127,1326.6782451380852,1326.6782451380852,0.0,
2,2022-02-16T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,254806127.75103763,1711724.9922930594,684.6899969172239,684.6899969172239,0.0,
3,2022-02-15T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,247867190.56053376,3071105.341330729,1228.4421365322917,1228.4421365322917,0.0,
4,2022-02-14T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,247131671.24929053,25520317.670200586,10208.127068080237,10208.127068080237,0.0,
5,2022-02-13T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,247363997.1883971,387290.89264775784,154.91635705910315,154.91635705910315,0.0,
6,2022-02-12T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,249258164.65591732,3760066.113990083,1504.0264455960332,1504.0264455960332,0.0,
7,2022-02-11T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,255403993.3825311,5828691.357954621,2331.476543181849,2331.476543181849,0.0,
8,2022-02-10T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,259291841.01224193,4002669.849051049,1601.0679396204198,1601.0679396204198,0.0,
9,2022-02-09T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,256088131.37442705,1707209.885264744,682.8839541058977,682.8839541058977,0.0,
10,2022-02-08T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,249097685.70886382,5058310.808680014,2023.3243234720055,2023.3243234720055,0.0,
11,2022-02-07T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,249097685.70886382,2413833.5083176275,965.533403327051,965.533403327051,0.0,
12,2022-02-06T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,242266022.10840082,1518475.766194097,607.3903064776389,607.3903064776389,0.0,
13,2022-02-05T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,227641172.63818017,5377041.253046438,2150.816501218575,2150.816501218575,0.0,
14,2022-02-04T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,227641172.63818017,2874839.537999201,1149.9358151996805,1149.9358151996805,0.0,
15,2022-02-03T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,229458616.39785647,1141178.2217065487,456.47128868261956,456.47128868261956,0.0,
16,2022-02-02T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,229458616.39785647,2868648.209848492,1147.4592839393968,1147.4592839393968,0.0,
17,2022-02-01T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,227955621.3620296,7005793.891964251,2802.3175567857006,2802.3175567857006,0.0,
18,2022-01-31T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,231121795.97022304,5944668.5449216515,2377.8674179686604,2377.8674179686604,0.0,
19,2022-01-30T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,227250520.7895459,1160546.7047095343,464.21868188381376,464.21868188381376,0.0,
20,2022-01-29T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,227250520.7895459,6383530.453484716,2553.4121813938864,2553.4121813938864,0.0,
21,2022-01-28T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,220582184.27971777,10632032.640434107,4252.8130561736425,4252.8130561736425,0.0,
22,2022-01-27T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,217440421.64636394,16640197.775882771,6656.079110353109,6656.079110353109,0.0,
23,2022-01-26T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,217440421.64636394,10222885.989518927,4089.154395807571,4089.154395807571,0.0,
24,2022-01-25T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,333145638.6611857,5880643.066383195,2352.257226553278,2352.257226553278,0.0,
25,2022-01-24T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,151051499.04575023,18846838.821870897,7538.735528748359,7538.735528748359,0.0,
26,2022-01-23T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,150942905.39606223,4439677.928108642,1775.871171243457,1775.871171243457,0.0,
27,2022-01-22T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,160210814.6580242,27028140.4591063,10811.256183642523,10811.256183642523,0.0,
28,2022-01-21T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,160210814.6580242,53365318.172773175,21346.12726910927,21346.12726910927,0.0,
29,2022-01-20T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,169183078.21684426,8599332.057973428,3439.7328231893716,3439.7328231893716,0.0,
30,2022-01-19T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,169810727.3273081,1837094.7482505413,734.8378993002166,734.8378993002166,0.0,
31,2022-01-18T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,168134123.09884363,2217040.118264061,886.8160473056246,886.8160473056246,0.0,
32,2022-01-17T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,168310960.21899882,3636359.8707662155,1454.543948306486,1454.543948306486,0.0,
33,2022-01-16T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,168985101.4500328,524110.9187617627,209.6443675047051,209.6443675047051,0.0,
34,2022-01-15T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,163274767.31672198,3301404.9297351926,1320.561971894077,1320.561971894077,0.0,
35,2022-01-14T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,163274767.31672198,2490350.8465908193,996.1403386363279,996.1403386363279,0.0,
36,2022-01-13T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,164145187.41955918,2004997.0389861888,801.9988155944756,801.9988155944756,0.0,
37,2022-01-12T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,162575569.4815494,5228426.1954557095,2091.3704781822835,2091.3704781822835,0.0,
38,2022-01-11T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,163988378.33812717,5539956.101775061,2215.982440710025,2215.982440710025,0.0,
39,2022-01-10T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,155899672.76409543,7352821.619689335,2941.128647875734,2941.128647875734,0.0,
40,2022-01-09T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,155899672.76409543,196149.01725740443,78.45960690296178,78.45960690296178,0.0,
41,2022-01-08T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,146937231.63778237,2574048.4380339594,1029.619375213584,1029.619375213584,0.0,
42,2022-01-07T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,148612282.59978044,2647993.953062551,1059.1975812250205,1059.1975812250205,0.0,
43,2022-01-06T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,164057604.52287215,5638788.701667926,2255.5154806671703,2255.5154806671703,0.0,
44,2022-01-05T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,162875728.45555335,7009773.642128967,2803.9094568515866,2803.9094568515866,0.0,
45,2022-01-04T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,166104224.9813048,3934786.6317867893,1573.9146527147157,1573.9146527147157,0.0,
46,2022-01-03T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,166657431.0182803,1324275.865172944,529.7103460691777,529.7103460691777,0.0,
47,2022-01-02T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,165231514.9179525,755489.1106210998,302.19564424844,302.19564424844,0.0,
48,2022-01-01T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,164491769.9029225,301932.9373650083,120.77317494600332,120.77317494600332,0.0,
49,2021-12-31T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,167457836.13343307,710461.3749763472,284.18454999053887,284.18454999053887,0.0,
50,2021-12-30T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,168515124.88034362,3015665.1053840527,1206.2660421536211,1206.2660421536211,0.0,
51,2021-12-29T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,173729764.20099097,2013844.0618649523,805.537624745981,805.537624745981,0.0,
52,2021-12-28T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,177553986.80014148,7029130.237532039,2811.6520950128156,2811.6520950128156,0.0,
53,2021-12-27T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,180297753.4195612,2273670.536076313,909.4682144305251,909.4682144305251,0.0,
54,2021-12-26T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,181277622.15953067,439519.07661284413,175.80763064513766,175.80763064513766,0.0,
55,2021-12-25T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,181277622.15953067,4068623.8762930413,1627.4495505172167,1627.4495505172167,0.0,
56,2021-12-24T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,178831213.0921754,4243565.708439807,1697.426283375923,1697.426283375923,0.0,
57,2021-12-23T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,177967581.93209982,3382922.8693326334,1353.1691477330535,1353.1691477330535,0.0,
58,2021-12-22T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,176415309.34342292,690627.0783257625,276.250831330305,276.250831330305,0.0,
59,2021-12-21T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,172773031.56762683,693940.7593267048,277.5763037306819,277.5763037306819,0.0,
60,2021-12-20T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,175325577.05935812,3214496.7019222556,1285.7986807689024,1285.7986807689024,0.0,
61,2021-12-19T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,175325577.05935812,2024478.2397966795,809.7912959186717,809.7912959186717,0.0,
62,2021-12-18T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,172899745.33836666,2779456.35258626,1111.7825410345042,1111.7825410345042,0.0,
63,2021-12-17T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,175664015.86999378,8455872.363700118,3382.348945480047,3382.348945480047,0.0,
64,2021-12-16T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,178890478.5944482,2680239.3854538794,1072.0957541815517,1072.0957541815517,0.0,
65,2021-12-15T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,192331842.06464872,7319596.159735577,2927.8384638942307,2927.8384638942307,0.0,
66,2021-12-14T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,197632519.24106303,3496673.28956556,1398.6693158262242,1398.6693158262242,0.0,
67,2021-12-13T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,194283375.7248173,3083519.6180490116,1233.4078472196047,1233.4078472196047,0.0,
68,2021-12-12T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,194283375.7248173,4907058.488735176,1962.8233954940704,1962.8233954940704,0.0,
69,2021-12-11T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,194116479.03251082,1779172.2825674976,711.6689130269991,711.6689130269991,0.0,
70,2021-12-10T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,199703302.88877,3015913.19585634,1206.365278342536,1206.365278342536,0.0,
71,2021-12-09T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,196681968.25248006,2850417.595674091,1140.1670382696366,1140.1670382696366,0.0,
72,2021-12-08T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,197338756.38986993,1790779.659529432,716.3118638117729,716.3118638117729,0.0,
73,2021-12-07T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,197338756.38986993,1979283.36903567,791.7133476142681,791.7133476142681,0.0,
74,2021-12-06T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,189264345.65059716,7700816.736465756,3080.3266945863024,3080.3266945863024,0.0,
75,2021-12-05T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,194387715.28129986,10321729.946631031,4128.691978652413,4128.691978652413,0.0,
76,2021-12-04T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,200292205.0891772,5713494.633736963,2285.3978534947855,2285.3978534947855,0.0,
77,2021-12-03T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,200292205.0891772,7575471.747297942,3030.1886989191767,3030.1886989191767,0.0,
78,2021-12-02T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,201766268.5057102,1397031.871362992,558.8127485451969,558.8127485451969,0.0,
79,2021-12-01T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,197405217.12243235,8891919.023669008,3556.7676094676035,3556.7676094676035,0.0,
80,2021-11-30T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,194375636.42668983,1508888.5468435881,603.5554187374353,603.5554187374353,0.0,
81,2021-11-29T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,194375636.42668983,5218055.959426647,2087.222383770659,2087.222383770659,0.0,
82,2021-11-28T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,186999121.33724695,4412877.342748599,1765.1509370994397,1765.1509370994397,0.0,
83,2021-11-27T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,204525110.1421949,3375091.8630726784,1350.0367452290716,1350.0367452290716,0.0,
84,2021-11-26T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,204525110.1421949,8461259.320772024,3384.50372830881,3384.50372830881,0.0,
85,2021-11-25T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,200576728.9790967,1789166.0290385108,715.6664116154044,715.6664116154044,0.0,
86,2021-11-24T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,185858424.7329228,1823757.258284666,729.5029033138665,729.5029033138665,0.0,
87,2021-11-23T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,188647871.4217993,8748626.225895034,3499.4504903580137,3499.4504903580137,0.0,
88,2021-11-22T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,183217163.1537309,10196696.658545725,4078.67866341829,4078.67866341829,0.0,
89,2021-11-21T00:00:00+00:00,Saddle Finance,total,total,total,total,,,,,,,,,,,,183217163.1537309,3782146.651410791,1512.8586605643166,1512.8586605643166,0.0,
