,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,245498525.85715452,,,,,
1,2022-02-17T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,274041546.36169386,,,,,
2,2022-02-16T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,276905309.2148154,,,,,
3,2022-02-15T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,250619002.86004794,,,,,
4,2022-02-14T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,246548783.51438463,,,,,
5,2022-02-13T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,251089842.9574798,,,,,
6,2022-02-12T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,252901849.6628924,,,,,
7,2022-02-11T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,287352405.10582614,,,,,
8,2022-02-10T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,287352405.10582614,,,,,
9,2022-02-09T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,278401669.1271078,,,,,
10,2022-02-08T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,271621244.3619563,,,,,
11,2022-02-07T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,271621244.3619563,,,,,
12,2022-02-06T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,264568877.38758168,,,,,
13,2022-02-05T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,229835316.1670273,,,,,
14,2022-02-04T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,229944105.11811897,,,,,
15,2022-02-03T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,243915027.3866928,,,,,
16,2022-02-02T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,243915027.3866928,,,,,
17,2022-02-01T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,237715107.65055147,,,,,
18,2022-01-31T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,226693560.09512958,,,,,
19,2022-01-30T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,219140780.2402574,,,,,
20,2022-01-29T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,219140780.2402574,,,,,
21,2022-01-28T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,214817449.27718565,,,,,
22,2022-01-27T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,212449056.7986379,,,,,
23,2022-01-26T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,206576166.16144913,,,,,
24,2022-01-25T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,220962526.86234036,,,,,
25,2022-01-24T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,216634073.8681438,,,,,
26,2022-01-23T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,243508174.68422768,,,,,
27,2022-01-22T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,301182993.5640072,,,,,
28,2022-01-21T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,301182993.5640072,,,,,
29,2022-01-20T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,323366233.5719166,,,,,
30,2022-01-19T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,335798515.35982347,,,,,
31,2022-01-18T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,355729221.56102014,,,,,
32,2022-01-17T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,353481790.0000355,,,,,
33,2022-01-16T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,348668101.396891,,,,,
34,2022-01-15T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,341248993.8383039,,,,,
35,2022-01-14T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,341248993.8383039,,,,,
36,2022-01-13T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,341272314.9406063,,,,,
37,2022-01-12T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,318774672.28783983,,,,,
38,2022-01-11T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,333652512.4703119,,,,,
39,2022-01-10T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,325024131.90957046,,,,,
40,2022-01-09T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,340723065.7310221,,,,,
41,2022-01-08T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,360552566.7958942,,,,,
42,2022-01-07T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,376458200.16230243,,,,,
43,2022-01-06T00:00:00+00:00,Set Protocol,total,total,total,total,,,,,,,,,,,,416793517.8749175,,,,,
