,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Stake DAO,total,total,total,total,,1.410350136371829,141035013.6371829,36367503.24398896,141035013.6371829,56081.15058344534,0.00039763991321840056,,,,,401390583.1051806,,,,,
1,2022-02-17T00:00:00+00:00,Stake DAO,total,total,total,total,,1.6004564188431563,160045641.88431564,41356394.73395976,160045641.88431564,135632.10592795553,0.0008474589144138849,,,,,406093167.6031072,,,,,
2,2022-02-16T00:00:00+00:00,Stake DAO,total,total,total,total,,1.6570252345121297,165702523.45121297,42719831.88309203,165702523.45121297,132199.5519939556,0.0007978125452801478,,,,,406523224.0046067,,,,,
3,2022-02-15T00:00:00+00:00,Stake DAO,total,total,total,total,,1.4555107478200582,145551074.78200582,37518095.17937042,145551074.78200582,44284.48382292446,0.000304253911482619,,,,,398185062.3049909,,,,,
4,2022-02-14T00:00:00+00:00,Stake DAO,total,total,total,total,,1.4199656262782296,141996562.62782297,36210990.46161575,141996562.62782297,86715.511372151,0.0006106873981128319,,,,,396686888.2791892,,,,,
5,2022-02-13T00:00:00+00:00,Stake DAO,total,total,total,total,,1.5151081297629418,151510812.9762942,38710624.73931982,151510812.9762942,100645.38341452401,0.0006642785517246962,,,,,400168125.43306655,,,,,
6,2022-02-12T00:00:00+00:00,Stake DAO,total,total,total,total,,1.4960969468163032,149609694.6816303,37570349.237797864,149609694.6816303,441392.48158382677,0.00295029331169421,,,,,393654580.6263507,,,,,
7,2022-02-11T00:00:00+00:00,Stake DAO,total,total,total,total,,1.7125307967063148,171253079.67063147,43753345.06802559,171253079.67063147,201149.99564817455,0.0011745773917470179,,,,,402217201.19866085,,,,,
8,2022-02-10T00:00:00+00:00,Stake DAO,total,total,total,total,,1.839407812420597,183940781.2420597,46841672.28241019,183940781.2420597,242962.703892181,0.001320874589373688,,,,,402217201.19866085,,,,,
9,2022-02-09T00:00:00+00:00,Stake DAO,total,total,total,total,,1.9708796937292754,197087969.37292755,50129780.17946741,197087969.37292755,767503.8294405128,0.0038942195806394,,,,,400548236.1803104,,,,,
10,2022-02-08T00:00:00+00:00,Stake DAO,total,total,total,total,,2.041852446247325,204185244.6247325,52044378.032456696,204185244.6247325,91818.47125906957,0.00044968220611543545,,,,,390044745.3750696,,,,,
11,2022-02-07T00:00:00+00:00,Stake DAO,total,total,total,total,,2.0692738789083798,206927387.89083797,52033504.13494629,206927387.89083797,283073.9634754386,0.0013679869366773761,,,,,390044745.3750696,,,,,
12,2022-02-06T00:00:00+00:00,Stake DAO,total,total,total,total,,1.9973853133577262,199738531.3357726,50271349.25196326,199738531.3357726,185873.98679022104,0.0009305865300358876,,,,,386487718.2367394,,,,,
13,2022-02-05T00:00:00+00:00,Stake DAO,total,total,total,total,,1.9540592470606757,195405924.70606756,48535544.56536817,195405924.70606756,61870.0441860118,0.0003166231744461056,,,,,375111667.4698193,,,,,
14,2022-02-04T00:00:00+00:00,Stake DAO,total,total,total,total,,1.7937283211123787,179372832.11123785,44950087.64149611,179372832.11123785,33312.46024889799,0.00018571630863384764,,,,,375111667.4698193,,,,,
15,2022-02-03T00:00:00+00:00,Stake DAO,total,total,total,total,,1.7783736054905506,177837360.54905507,44546027.80722968,177837360.54905507,262285.4449625888,0.0014748613235869487,,,,,374813300.2843893,,,,,
16,2022-02-02T00:00:00+00:00,Stake DAO,total,total,total,total,,2.0902151686902286,209021516.86902285,52232995.105748616,209021516.86902285,56454.53802177302,0.0002700896006660816,,,,,374813300.2843893,,,,,
17,2022-02-01T00:00:00+00:00,Stake DAO,total,total,total,total,,2.038126541275439,203812654.12754387,50796141.14478367,203812654.12754387,33670.71293175046,0.00016520423167974482,,,,,368604555.11945295,,,,,
18,2022-01-31T00:00:00+00:00,Stake DAO,total,total,total,total,,1.9763491615498456,197634916.15498456,48917515.71189714,197634916.15498456,237274.76226812237,0.0012005710675235767,,,,,361156501.0840496,,,,,
19,2022-01-30T00:00:00+00:00,Stake DAO,total,total,total,total,,2.049964246733962,204996424.67339617,50498501.7886043,204996424.67339617,402307.15996143484,0.0019625081783860255,,,,,368905660.542114,,,,,
20,2022-01-29T00:00:00+00:00,Stake DAO,total,total,total,total,,1.9347650521161812,193476505.21161813,47748863.44432314,193476505.21161813,78706.94175063231,0.0004068036150670868,,,,,368905660.542114,,,,,
21,2022-01-28T00:00:00+00:00,Stake DAO,total,total,total,total,,1.6900536511841284,169005365.11841285,45046688.907364324,169005365.11841285,479868.6112224102,0.0028393690986448414,,,,,365546288.3268567,,,,,
22,2022-01-27T00:00:00+00:00,Stake DAO,total,total,total,total,,1.6281963916011424,162819639.16011423,38821459.22148404,162819639.16011423,136373.16450138047,0.0008375719612501615,,,,,363585026.98491454,,,,,
23,2022-01-26T00:00:00+00:00,Stake DAO,total,total,total,total,,1.5491814030945827,154918140.3094583,38065410.1319235,154918140.3094583,92780.51710369186,0.0005989002767420084,,,,,363585026.98491454,,,,,
24,2022-01-25T00:00:00+00:00,Stake DAO,total,total,total,total,,1.324928931105797,132492893.1105797,34119061.45883798,132492893.1105797,258871.38566019037,0.001953851105388227,,,,,368228983.8359067,,,,,
