,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Stellar,total,total,total,total,,0.2026895725462909,10134843911.624535,5063811426.942759,10134843911.624535,295589367.0132849,0.029165655592805702,,,397703.4357052707,198710.03636758853,,53245413.23911132,137.4963873486137,137.4963873486137,0.0,
1,2022-02-17T00:00:00+00:00,Stellar,total,total,total,total,,0.21991408149083078,10996100400.620405,5492043126.578813,10996100400.620405,245790565.73587793,0.022352521055738116,,,442126.60255815345,220821.77137270864,,50634767.28733886,143.26844779170412,143.26844779170412,0.0,
2,2022-02-16T00:00:00+00:00,Stellar,total,total,total,total,,0.2213667624023668,11068737064.198406,5522037454.339786,11068737064.198406,252347713.08170414,0.02279823900577758,,,457092.5065450058,228037.03137945745,,52614432.94198854,104.84171227080515,104.84171227080515,0.0,
3,2022-02-15T00:00:00+00:00,Stellar,total,total,total,total,,0.21182181012979426,10591472248.790424,5275715503.17685,10591472248.790424,228198884.88103196,0.02154553017000001,,,442355.1793891415,220341.42402444477,,66053449.20340964,180.25891460293397,180.25891460293397,0.0,
4,2022-02-14T00:00:00+00:00,Stellar,total,total,total,total,,0.21231767077469743,10616266174.668694,5293775613.012533,10616266174.668694,196375581.84107706,0.01849761287161825,,,466862.02582993236,232799.62713041634,,42026862.82015984,110.5866107498655,110.5866107498655,0.0,
5,2022-02-13T00:00:00+00:00,Stellar,total,total,total,total,,0.21858897137772262,10929842506.870102,5422637937.004442,10929842506.870102,223347822.40045464,0.02043467893156432,,,486322.3910707381,241279.8030508928,,33206384.4794033,60.657895342528505,60.657895342528505,0.0,
6,2022-02-12T00:00:00+00:00,Stellar,total,total,total,total,,0.21625340991461767,10813060224.598684,5380699868.497462,10813060224.598684,273156292.4249469,0.02526170082762901,,,471401.80836105644,234574.81929931088,,26076719.411579,63.33216068208728,63.33216068208728,0.0,
7,2022-02-11T00:00:00+00:00,Stellar,total,total,total,total,,0.23316578242854366,11658709329.535955,5804167109.449427,11658709329.535955,324907637.1518019,0.02786823377856132,,,494080.98567209835,245973.07689774001,,90167699.34267943,104.9153414386812,104.9153414386812,0.0,
8,2022-02-10T00:00:00+00:00,Stellar,total,total,total,total,,0.23976896042334192,11988880129.430805,5980475480.237824,11988880129.430805,335983221.7303455,0.02802457094433364,,,507021.7024432506,252920.27501106221,,38283843.11833505,120.93894890547837,120.93894890547837,0.0,
9,2022-02-09T00:00:00+00:00,Stellar,total,total,total,total,,0.24354059947473541,12177468879.195576,6062132615.351924,12177468879.195576,622381384.2188607,0.051109256808051416,,,514870.98652871634,256310.75152789344,,39976138.29760459,77.58685166450043,77.58685166450043,0.0,
