,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,SushiSwap,total,total,total,total,,3.937552361473571,984388090.3683927,762973863.244532,984388090.3683927,118367810.91763113,0.12024506602201346,19.369945019957214,15.01314565597823,3.2283241699928698,2.502190942663039,4444464440.77473,161312856.8977594,483938.57069327857,403282.1422443986,80656.42844887974,
1,2022-02-17T00:00:00+00:00,SushiSwap,total,total,total,total,,4.311127487158536,1077781871.789634,833865132.3529279,1077781871.789634,110307239.02217354,0.10234653403383999,20.7088110244891,16.02212460405707,3.4514685040815167,2.670354100676178,4822303827.496694,191505164.88286313,574515.4946485888,478762.91220715793,95752.58244143153,
2,2022-02-16T00:00:00+00:00,SushiSwap,total,total,total,total,,4.421552679132058,1105388169.7830145,847803280.3445382,1105388169.7830145,96758548.93918093,0.08753354847118948,20.262510469100107,15.540805766982965,3.377085078183351,2.590134294497161,4821946964.6255245,167168843.33890027,501506.53001670033,417922.1083472507,83584.4216694502,
3,2022-02-15T00:00:00+00:00,SushiSwap,total,total,total,total,,4.070751743879037,1017687935.9697592,785727279.3272959,1017687935.9697592,93131606.87199242,0.09151293199053884,18.39157474705506,14.199600366469882,3.065262457842511,2.366600061078315,4557515764.3058605,184428782.96644002,553286.3488993194,461071.95741609985,92214.39148321995,
4,2022-02-14T00:00:00+00:00,SushiSwap,total,total,total,total,,4.052559489515863,1013139872.3789657,780669532.6175557,1013139872.3789657,74241945.55166893,0.07327906795074655,18.191744770258165,14.017552042392753,3.0319574617096947,2.336258673732126,4510806996.594448,172426511.40372616,517279.53421117854,431066.27850931574,86213.25570186308,
5,2022-02-13T00:00:00+00:00,SushiSwap,total,total,total,total,,4.150458422042354,1037614605.5105886,797840329.7021005,1037614605.5105886,103676672.9741668,0.09991828606069944,18.38384602562597,14.135666264123724,3.063974337604329,2.3559443773539543,4534351288.277685,111299491.72283065,333898.47516849183,278248.72930707654,55649.745861415344,
6,2022-02-12T00:00:00+00:00,SushiSwap,total,total,total,total,,4.08949489987115,1022373724.9677875,788318763.0255425,1022373724.9677875,149053416.37267876,0.14579151706718116,17.734058949113287,13.674149748544757,2.955676491518882,2.2790249580907935,4540815900.62203,153616509.96425232,460849.5298927573,384041.2749106312,76808.25498212615,
7,2022-02-11T00:00:00+00:00,SushiSwap,total,total,total,total,,4.422600642675342,1105650160.6688356,854939339.1390511,1105650160.6688356,176353339.9828889,0.15950193493049222,18.799475870412483,14.53661569323915,3.133245978402081,2.422769282206526,4809754760.853256,240622134.97358498,721866.404920756,601555.337433963,120311.06748679257,
8,2022-02-10T00:00:00+00:00,SushiSwap,total,total,total,total,,4.761174019173595,1190293504.7933986,919098196.9216962,1190293504.7933986,136472651.8130781,0.11465462195961987,19.941805278598522,15.398283869577842,3.323634213099755,2.5663806449296414,4948550525.103434,239701131.45691147,719103.3943707348,599252.828642278,119850.56572845583,
9,2022-02-09T00:00:00+00:00,SushiSwap,total,total,total,total,,4.663134615626094,1165783653.9065237,898934736.0961065,1165783653.9065237,233716882.08267516,0.20048049335697354,18.850642410872133,14.535713555491455,3.141773735145356,2.4226189259152426,4727723853.743504,191133219.66413227,573399.6589923962,477833.04916033027,95566.60983206613,
10,2022-02-08T00:00:00+00:00,SushiSwap,total,total,total,total,,4.9499213066203245,1237480326.655081,949248921.9165304,1237480326.655081,222039150.25866938,0.17942842845739854,19.94332523115664,15.298166417139983,3.3238875385261064,2.5496944028566637,4727723853.743504,208870773.348037,626612.3200441102,522176.9333700921,104435.38667401852,
11,2022-02-07T00:00:00+00:00,SushiSwap,total,total,total,total,,4.798662490539628,1199665622.634907,922147797.0031542,1199665622.634907,141884864.5938218,0.11827034293288362,18.976478653885405,14.586662862876162,3.162746442314235,2.4311104771460275,4686376695.257393,196654673.30893973,589964.0199268188,491636.6832723494,98327.33665446994,
12,2022-02-06T00:00:00+00:00,SushiSwap,total,total,total,total,,4.701079620724332,1175269905.1810832,908472790.0050235,1175269905.1810832,236704336.8273558,0.20140423555803114,17.84023401705415,13.790336245629053,2.973372336175693,2.2983893742715096,4655648176.526706,150168915.2717005,450506.74581510155,375422.288179251,75084.45763585017,
13,2022-02-05T00:00:00+00:00,SushiSwap,total,total,total,total,,4.440684711155248,1110171177.788812,844614098.0796564,1110171177.788812,152009607.75906748,0.13692447687376758,16.291705270485764,12.39466870381004,2.7152842117476284,2.0657781173016736,4376113468.825192,180357333.2460768,541071.9997382305,450893.3331151917,90178.6666230385,
14,2022-02-04T00:00:00+00:00,SushiSwap,total,total,total,total,,4.0542874197532015,1013571854.9383004,780250815.2609951,1013571854.9383004,97677841.43301801,0.09636992282008856,14.22119155844887,10.94751817880536,2.3701985930748126,1.8245863631342276,4376113468.825192,245974407.3771319,737923.2221313971,614936.0184428303,122987.20368856596,
15,2022-02-03T00:00:00+00:00,SushiSwap,total,total,total,total,,4.084882740983389,1021220685.2458472,789532007.6656438,1021220685.2458472,146137565.39265695,0.14310086693697943,14.151985190960701,10.941264157397852,2.3586641984934507,1.8235440262329758,4500368755.847659,182261478.19602865,546784.4345880862,455653.69549007097,91130.73909801438,
