,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Thorchain,total,total,total,total,,4.149245572257243,2074622786.1286216,1250959209.3103716,2074622786.1286216,54372272.222764574,0.026208269082123935,,,,,165188305.8157541,,,,,
1,2022-02-17T00:00:00+00:00,Thorchain,total,total,total,total,,4.555655698813464,2277827849.406732,1375702984.9223015,2277827849.406732,41232604.78725339,0.01810172125079275,,,,,173939464.88984886,,,,,
2,2022-02-16T00:00:00+00:00,Thorchain,total,total,total,total,,4.464761353486629,2232380676.7433143,1349173946.3578856,2232380676.7433143,44799182.45869944,0.02006789564405936,,,,,175733425.8774753,,,,,
3,2022-02-15T00:00:00+00:00,Thorchain,total,total,total,total,,4.1121376746951555,2056068837.3475778,1234650069.774055,2056068837.3475778,27713422.302953895,0.01347883971565148,,,,,166488965.70988905,,,,,
4,2022-02-14T00:00:00+00:00,Thorchain,total,total,total,total,,3.9473248639107497,1973662431.9553747,1185252327.4135876,1973662431.9553747,28501348.711937524,0.014440842694512995,,,,,164328268.36480513,,,,,
5,2022-02-13T00:00:00+00:00,Thorchain,total,total,total,total,,4.058167550448867,2029083775.2244334,1215677828.0247905,2029083775.2244334,37547221.752254166,0.01850452022273015,,,,,167694073.661265,,,,,
6,2022-02-12T00:00:00+00:00,Thorchain,total,total,total,total,,4.097605925698188,2048802962.849094,1230135356.0238888,2048802962.849094,59737205.08935394,0.029157125488671956,,,,,167364813.87161538,,,,,
7,2022-02-11T00:00:00+00:00,Thorchain,total,total,total,total,,4.534362465177251,2267181232.5886254,1369452425.614355,2267181232.5886254,49996142.597982675,0.022052115587115197,,,,,177808571.33555216,,,,,
8,2022-02-10T00:00:00+00:00,Thorchain,total,total,total,total,,4.9267854415705985,2463392720.7852993,1481900285.8423443,2463392720.7852993,34976055.054478966,0.014198326868210048,,,,,185519324.42492148,,,,,
9,2022-02-09T00:00:00+00:00,Thorchain,total,total,total,total,,4.818858035351567,2409429017.675783,1448837296.8368943,2409429017.675783,63335389.056446105,0.026286472268662875,,,,,184092694.8097295,,,,,
10,2022-02-08T00:00:00+00:00,Thorchain,total,total,total,total,,5.011042386295221,2505521193.1476107,1510332180.888789,2505521193.1476107,88184502.31127587,0.03519607120165379,,,,,177794122.9038416,,,,,
11,2022-02-07T00:00:00+00:00,Thorchain,total,total,total,total,,4.870309755049401,2435154877.5247,1469235337.2140265,2435154877.5247,62985307.62532871,0.025865010971849303,,,,,177794122.9038416,,,,,
12,2022-02-06T00:00:00+00:00,Thorchain,total,total,total,total,,4.672855791867529,2336427895.9337645,1410333570.9646237,2336427895.9337645,88127837.44177678,0.03771904863623282,,,,,175410039.37795222,,,,,
13,2022-02-05T00:00:00+00:00,Thorchain,total,total,total,total,,4.2798164489706725,2139908224.4853363,1281304859.9304464,2139908224.4853363,48652545.504981756,0.022735809390462554,,,,,170092424.68681,,,,,
14,2022-02-04T00:00:00+00:00,Thorchain,total,total,total,total,,3.8336521919596294,1916826095.9798148,1149829366.0135357,1916826095.9798148,39937169.69771879,0.02083505111991096,,,,,153639634.59337613,,,,,
15,2022-02-03T00:00:00+00:00,Thorchain,total,total,total,total,,3.8418568110796487,1920928405.5398242,1151982567.9452527,1920928405.5398242,38199123.1237615,0.019885760975577163,,,,,164841541.4281899,,,,,
16,2022-02-02T00:00:00+00:00,Thorchain,total,total,total,total,,4.162428466806811,2081214233.4034057,1257184470.319202,2081214233.4034057,35855542.53844824,0.01722818437572077,,,,,164841541.4281899,,,,,
17,2022-02-01T00:00:00+00:00,Thorchain,total,total,total,total,,4.1350457728407095,2067522886.4203548,1242434826.459346,2067522886.4203548,40180334.17771808,0.0194340456599661,,,,,160147370.98851627,,,,,
18,2022-01-31T00:00:00+00:00,Thorchain,total,total,total,total,,4.02860410012427,2014302050.0621352,1212232022.262756,2014302050.0621352,31050254.220129725,0.015414894811417144,,,,,160414706.55332375,,,,,
19,2022-01-30T00:00:00+00:00,Thorchain,total,total,total,total,,4.227751053250819,2113875526.6254096,1264085375.0448086,2113875526.6254096,44068118.12906961,0.020847073337104168,,,,,155732704.7206934,,,,,
20,2022-01-29T00:00:00+00:00,Thorchain,total,total,total,total,,4.05631082778098,2028155413.8904898,1218809339.2493653,2028155413.8904898,43632456.53176653,0.021513369356675176,,,,,155732704.7206934,,,,,
21,2022-01-28T00:00:00+00:00,Thorchain,total,total,total,total,,3.9873137888464125,1993656894.4232063,1194579165.150253,1993656894.4232063,48956381.80131626,0.024556071778579557,,,,,152600652.19757098,,,,,
22,2022-01-27T00:00:00+00:00,Thorchain,total,total,total,total,,4.072921826976148,2036460913.488074,1234038574.7886329,2036460913.488074,85997254.87799121,0.042228777536758175,,,,,151828297.76770243,,,,,
23,2022-01-26T00:00:00+00:00,Thorchain,total,total,total,total,,4.170660456950068,2085330228.475034,1253976686.0978465,2085330228.475034,95039710.3923277,0.04557537654927133,,,,,151828297.76770243,,,,,
24,2022-01-25T00:00:00+00:00,Thorchain,total,total,total,total,,3.8067005037238215,1903350251.8619108,1141733677.857738,1903350251.8619108,99503012.27125001,0.05227782546796805,,,,,143607664.20036182,,,,,
25,2022-01-24T00:00:00+00:00,Thorchain,total,total,total,total,,3.9078570619615824,1953928530.9807913,1172028009.574557,1953928530.9807913,71994624.18208973,0.03684608881060322,,,,,137580618.00134644,,,,,
26,2022-01-23T00:00:00+00:00,Thorchain,total,total,total,total,,3.8827407043516864,1941370352.1758432,1167351244.4708455,1941370352.1758432,124542190.4162738,0.06415169072541455,,,,,137580618.00134644,,,,,
27,2022-01-22T00:00:00+00:00,Thorchain,total,total,total,total,,4.250325712153463,2125162856.0767317,1285284649.1217682,2125162856.0767317,124905849.61878698,0.05877471896406846,,,,,176411538.42715484,,,,,
28,2022-01-21T00:00:00+00:00,Thorchain,total,total,total,total,,5.075309012996244,2537654506.4981217,1538905254.2615728,2537654506.4981217,75373391.54113233,0.029701991089852924,,,,,176411538.42715484,,,,,
29,2022-01-20T00:00:00+00:00,Thorchain,total,total,total,total,,5.397757600835438,2698878800.417719,1639700407.9641442,2698878800.417719,45043432.991034634,0.016689683502668973,,,,,186461816.76901492,,,,,
30,2022-01-19T00:00:00+00:00,Thorchain,total,total,total,total,,5.812823461285797,2906411730.6428986,1748619061.6690004,2906411730.6428986,57018944.899236485,0.01961833015538507,,,,,186216554.3518795,,,,,
31,2022-01-18T00:00:00+00:00,Thorchain,total,total,total,total,,5.891966674789612,2945983337.394806,1768817745.4408154,2945983337.394806,61921965.55895766,0.02101911601907312,,,,,191674811.1731231,,,,,
32,2022-01-17T00:00:00+00:00,Thorchain,total,total,total,total,,6.312491413994918,3156245706.997459,1894711757.0152967,3156245706.997459,56949867.66947701,0.018043546972030103,,,,,192559278.7060761,,,,,
33,2022-01-16T00:00:00+00:00,Thorchain,total,total,total,total,,6.526653550272364,3263326775.1361823,1955809680.1928656,3263326775.1361823,32579026.25865888,0.009983378467300234,,,,,190902137.11148027,,,,,
34,2022-01-15T00:00:00+00:00,Thorchain,total,total,total,total,,6.3972726224980905,3198636311.2490454,1911685326.953445,3198636311.2490454,49173804.49096838,0.015373365305093515,,,,,190097215.12753117,,,,,
35,2022-01-14T00:00:00+00:00,Thorchain,total,total,total,total,,6.327070371700071,3163535185.850035,1907094873.0742507,3163535185.850035,83019243.14149304,0.026242554061931808,,,,,190097215.12753117,,,,,
36,2022-01-13T00:00:00+00:00,Thorchain,total,total,total,total,,6.9927598898413335,3496379944.9206667,2096444063.0148752,3496379944.9206667,116336452.66414227,0.03327340120262072,,,,,183441018.68556553,,,,,
37,2022-01-12T00:00:00+00:00,Thorchain,total,total,total,total,,6.199873715378229,3099936857.6891146,1859096173.9043598,3099936857.6891146,79282993.96562372,0.0255756802816707,,,,,173851511.25184992,,,,,
38,2022-01-11T00:00:00+00:00,Thorchain,total,total,total,total,,5.713918287770615,2856959143.8853073,1717148863.2042773,2856959143.8853073,73100795.31695345,0.025586923590912955,,,,,183956188.7034711,,,,,
39,2022-01-10T00:00:00+00:00,Thorchain,total,total,total,total,,6.2140785369143705,3107039268.4571853,1856546102.2045727,3107039268.4571853,49221570.14792397,0.01584195302828122,,,,,181550392.28861895,,,,,
40,2022-01-09T00:00:00+00:00,Thorchain,total,total,total,total,,6.086701454084257,3043350727.0421286,1836287670.602358,3043350727.0421286,83074579.86863694,0.02729707724136619,,,,,184970611.97695035,,,,,
41,2022-01-08T00:00:00+00:00,Thorchain,total,total,total,total,,6.53873968293471,3269369841.4673553,1965124953.1005294,3269369841.4673553,80656169.12998284,0.024670249326635627,,,,,192260237.07928833,,,,,
