,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0842984110892713,216859682.21785426,27463795.439128764,216859682.21785426,1051041.2917846097,0.004846642220607646,,,,,,,,,,
1,2022-02-17T00:00:00+00:00,Tokenlon,total,total,total,total,,1.1428047275155246,228560945.50310493,29012989.228164546,228560945.50310493,1918132.4986238664,0.008392214577174161,,,,,,,,,,
2,2022-02-16T00:00:00+00:00,Tokenlon,total,total,total,total,,1.1357887156189415,227157743.1237883,28650770.86167286,227157743.1237883,1046395.2515621819,0.004606469659244479,,,,,,,,,,
3,2022-02-15T00:00:00+00:00,Tokenlon,total,total,total,total,,1.1216459803852106,224329196.0770421,28408358.526597973,224329196.0770421,1418932.8715220538,0.0063252260353785835,,,,,,,,,,
4,2022-02-14T00:00:00+00:00,Tokenlon,total,total,total,total,,1.1604791272604693,232095825.45209387,29422664.822276965,232095825.45209387,2019184.19494302,0.008699786784229745,,,,,,,,,,
5,2022-02-13T00:00:00+00:00,Tokenlon,total,total,total,total,,1.1417564631967494,228351292.63934988,28933235.699033566,228351292.63934988,3442275.9032000937,0.015074475223736547,,,,,,,,,,
6,2022-02-12T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0113293532236771,202265870.64473543,25625557.62972346,202265870.64473543,797844.1846832983,0.003944531927903204,,,,,,,,,,
7,2022-02-11T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0677425382820225,213548507.6564045,27024075.24986189,213548507.6564045,1247147.2033914113,0.005840112005830767,,,,,,,,,,
8,2022-02-10T00:00:00+00:00,Tokenlon,total,total,total,total,,1.097815390536067,219563078.1072134,27831853.046805702,219563078.1072134,2159198.0348714744,0.009834067063940188,,,,,,,,,,
9,2022-02-09T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0795434628343132,215908692.56686264,27369415.976149745,215908692.56686264,1838584.3318725608,0.008515564195282169,,,,,,,,,,
10,2022-02-08T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0612481841545511,212249636.83091024,26887107.222419854,212249636.83091024,1634564.5431607221,0.007701141766677822,,,,,,,,,,
11,2022-02-07T00:00:00+00:00,Tokenlon,total,total,total,total,,1.061242491356357,212248498.27127138,26901099.138805408,212248498.27127138,2686433.109793978,0.012657018220032309,,,,,,,,,,
12,2022-02-06T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0143856887995522,202877137.75991043,25755125.23406965,202877137.75991043,1584329.6538380731,0.0078093060230029765,,,,,,,,,,
13,2022-02-05T00:00:00+00:00,Tokenlon,total,total,total,total,,1.023501497617866,204700299.5235732,25844720.994532976,204700299.5235732,1758133.211970606,0.008588816020604503,,,,,,,,,,
14,2022-02-04T00:00:00+00:00,Tokenlon,total,total,total,total,,0.9745748426158619,194914968.52317238,24830893.98738949,194914968.52317238,2272224.552753191,0.011657516967369587,,,,,,,,,,
15,2022-02-03T00:00:00+00:00,Tokenlon,total,total,total,total,,0.9849985930900669,196999718.61801338,24968831.59861307,196999718.61801338,3397558.753701118,0.017246515769340037,,,,,,,,,,
16,2022-02-02T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0877443550917174,217548871.01834348,27581815.49163527,217548871.01834348,1667086.5826026085,0.007663044054418658,,,,,,,,,,
17,2022-02-01T00:00:00+00:00,Tokenlon,total,total,total,total,,1.1047150308894007,220943006.17788014,27977201.28707144,220943006.17788014,2525907.734097649,0.011432395067821486,,,,,,,,,,
18,2022-01-31T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0813541322095452,216270826.44190904,27328182.328324698,216270826.44190904,3746093.0744378376,0.017321305587390673,,,,,,,,,,
19,2022-01-30T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0964078192327664,219281563.8465533,27756117.33810712,219281563.8465533,2840327.2978216675,0.012952877788710244,,,,,,,,,,
20,2022-01-29T00:00:00+00:00,Tokenlon,total,total,total,total,,1.082052964691313,216410592.9382626,27316533.649988715,216410592.9382626,4489802.652920773,0.02074668615783341,,,,,,,,,,
21,2022-01-28T00:00:00+00:00,Tokenlon,total,total,total,total,,1.1068696656685768,221373933.13371536,27977821.689960234,221373933.13371536,4497862.57580961,0.02031794128666806,,,,,,,,,,
22,2022-01-27T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0849247498891983,216984949.97783965,27608753.165436137,216984949.97783965,4240049.871876064,0.019540755579173088,,,,,,,,,,
23,2022-01-26T00:00:00+00:00,Tokenlon,total,total,total,total,,1.0920837162504522,218416743.25009045,27647766.37121198,218416743.25009045,3838557.81170835,0.01757446684072724,,,,,,,,,,
