,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Trader Joe,total,total,total,total,,1.1883632782658546,594181639.1329273,203038290.73367414,594181639.1329273,8766747.621831965,0.01475432265901894,12.83429407660446,4.385617057924807,2.1390490127674093,0.730936176320801,1540174917.4719203,183956110.92991897,551868.3327897568,459890.27732479724,91978.05546495951,
1,2022-02-17T00:00:00+00:00,Trader Joe,total,total,total,total,,1.2837489630085297,641874481.5042648,218847713.83917934,641874481.5042648,12553062.923211327,0.019556881111385826,13.820468544426179,4.712101870829497,2.3034114240710295,0.7853503118049161,1550213260.5245469,285755161.65525615,857265.4849657692,714387.9041381404,142877.58082762797,
2,2022-02-16T00:00:00+00:00,Trader Joe,total,total,total,total,,1.3349938565808528,667496928.2904264,226373443.53278527,667496928.2904264,8471159.119795674,0.012690933487127439,14.118652665147588,4.788168883471154,2.353108777524597,0.7980281472451919,1435544070.1845486,250533365.9613343,751600.097884003,626333.4149033362,125266.68298066719,
3,2022-02-15T00:00:00+00:00,Trader Joe,total,total,total,total,,1.187678571508723,593839285.7543615,201250072.20708966,593839285.7543615,7621228.980168057,0.012833824172623935,12.481623381727232,4.229978829446035,2.0802705636212044,0.7049964715743391,1379967242.222257,212887322.20468533,638661.9666140561,532218.3055117144,106443.66110234268,
4,2022-02-14T00:00:00+00:00,Trader Joe,total,total,total,total,,1.1556940440990269,577847022.0495135,194597492.5272996,577847022.0495135,8986651.027575236,0.015551955248815325,12.076840119349725,4.067032822187284,2.012806686558287,0.6778388036978805,1440227799.1806424,157759943.70869008,473279.8311260702,394399.8592717249,78879.971854345,
5,2022-02-13T00:00:00+00:00,Trader Joe,total,total,total,total,,1.2087732243295366,604386612.1647683,202418126.66359162,604386612.1647683,13097503.500562893,0.021670737301163517,12.587087088117135,4.215603948277986,2.0978478480195224,0.7026006580463308,1459490536.70403,143963663.1440508,431890.9894321521,359909.1578601274,71981.83157202542,
6,2022-02-12T00:00:00+00:00,Trader Joe,total,total,total,total,,1.2466359715336166,623317985.7668083,208586206.85993785,623317985.7668083,17182996.6585285,0.027566983547554637,12.921819683575732,4.324138585876612,2.153636613929288,0.7206897643127684,1468236333.0863655,204540252.0871491,613620.7562614467,511350.63021787244,102270.12604357442,
7,2022-02-11T00:00:00+00:00,Trader Joe,total,total,total,total,,1.4148084413137352,707404220.6568676,236560488.00976557,707404220.6568676,24817900.57919748,0.03508305414993504,14.690654345456535,4.91264860975387,2.4484423909094213,0.8187747682923114,1473874245.897979,279957480.85323817,839872.4425597144,699893.702133096,139978.74042661913,
8,2022-02-10T00:00:00+00:00,Trader Joe,total,total,total,total,,1.40074855947458,700374279.73729,233763156.27073228,700374279.73729,16999131.712119453,0.024271496261250223,14.726418227876657,4.915220482971717,2.454403037979442,0.8192034138286192,1444773905.3339741,291677737.68738234,875033.2130621475,729194.3442184561,145838.86884369128,
9,2022-02-09T00:00:00+00:00,Trader Joe,total,total,total,total,,1.3470096580758106,673504829.0379053,224239308.17911747,673504829.0379053,17086563.500356644,0.025369622850016715,14.195816117159934,4.72641003880724,2.365969352859988,0.7877350064678729,1444773905.3339741,222116155.71131536,666348.4671339468,555290.3892782886,111058.07785565776,
