,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,UMA,total,total,total,total,,6.024579363820002,640000934.0795968,394148470.9955306,640000934.0795968,19824691.511233967,0.030976035276799103,,,,,110113008.28624544,,,,,
1,2022-02-17T00:00:00+00:00,UMA,total,total,total,total,,6.520045811403632,692635146.3804469,426148294.95653605,692635146.3804469,11461241.759259334,0.016547300291001932,,,,,114536554.03670022,,,,,
2,2022-02-16T00:00:00+00:00,UMA,total,total,total,total,,6.382795280739514,678054797.6916285,418080810.2671329,678054797.6916285,9636732.190045204,0.01421232063079934,,,,,114889322.19246337,,,,,
3,2022-02-15T00:00:00+00:00,UMA,total,total,total,total,,6.011046581239813,638563324.4194055,392456348.84080374,638563324.4194055,8606647.888285266,0.013478143136564572,,,,,111297922.75690252,,,,,
4,2022-02-14T00:00:00+00:00,UMA,total,total,total,total,,6.035267594724041,641136362.355855,392908762.67401636,641136362.355855,17382182.670766294,0.027111522121277726,,,,,110754966.89033316,,,,,
5,2022-02-13T00:00:00+00:00,UMA,total,total,total,total,,6.325419772188913,671959703.4372151,411501732.9808203,671959703.4372151,24581549.76298811,0.03658188078429155,,,,,112170327.19567291,,,,,
6,2022-02-12T00:00:00+00:00,UMA,total,total,total,total,,5.962200733479958,633374350.0023774,388900078.1108766,633374350.0023774,10001972.868625617,0.015791566028191817,,,,,110426576.03374894,,,,,
7,2022-02-11T00:00:00+00:00,UMA,total,total,total,total,,6.284936989536826,667659151.1252859,410173270.9679615,667659151.1252859,10344115.539654419,0.015493108305668008,,,,,114643132.30460644,,,,,
8,2022-02-10T00:00:00+00:00,UMA,total,total,total,total,,6.674723626360969,709066824.0256257,436691568.88712054,709066824.0256257,10291860.613698019,0.014514655410427256,,,,,114643132.30460644,,,,,
9,2022-02-09T00:00:00+00:00,UMA,total,total,total,total,,6.515069536495031,692106508.5457679,425289270.9618357,692106508.5457679,15683767.21903147,0.022660915661645346,,,,,113198779.73012406,,,,,
10,2022-02-08T00:00:00+00:00,UMA,total,total,total,total,,6.62281602984695,703552595.0232984,432722734.976562,703552595.0232984,18084275.64042485,0.025704227044782608,,,,,111238839.22269769,,,,,
