,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Venus,total,total,total,total,,11.46431007995185,343929302.3985555,136572210.26681167,343929302.3985555,93968438.26259726,0.27322021592014234,,,,,1563706654.5641766,,,,,
1,2022-02-17T00:00:00+00:00,Venus,total,total,total,total,,11.85170136011958,355551040.80358744,141774365.1221003,355551040.80358744,56856122.77929717,0.15990987581078545,,,,,1682222227.299705,,,,,
2,2022-02-16T00:00:00+00:00,Venus,total,total,total,total,,9.884006226410914,296520186.7923274,117723177.85133511,296520186.7923274,7625062.158509844,0.025715153632525453,,,,,1574854145.4154177,,,,,
3,2022-02-15T00:00:00+00:00,Venus,total,total,total,total,,9.621128173046728,288633845.19140184,113925118.96372022,288633845.19140184,20876813.234329887,0.07232974781764016,,,,,1574854145.4154177,,,,,
4,2022-02-14T00:00:00+00:00,Venus,total,total,total,total,,8.753537143754766,262606114.312643,104102403.82316883,262606114.312643,3845907.2254238143,0.01464515491381556,,,,,1538904369.992369,,,,,
5,2022-02-13T00:00:00+00:00,Venus,total,total,total,total,,8.970312144705693,269109364.3411708,106690731.87157756,269109364.3411708,4511457.978078448,0.01676440353208565,,,,,1564759016.4124217,,,,,
6,2022-02-12T00:00:00+00:00,Venus,total,total,total,total,,8.917973585859922,267539207.57579768,105947654.77800564,267539207.57579768,7445561.795185695,0.02782979684604269,,,,,1622025917.5302587,,,,,
7,2022-02-11T00:00:00+00:00,Venus,total,total,total,total,,9.730888497262207,291926654.91786623,115685152.21883895,291926654.91786623,13348810.142496696,0.04572658891409691,,,,,1730294288.169714,,,,,
8,2022-02-10T00:00:00+00:00,Venus,total,total,total,total,,10.088268468766666,302648054.06299996,119889184.0619885,302648054.06299996,7737455.270413498,0.02556585170973163,,,,,1730294288.169714,,,,,
9,2022-02-09T00:00:00+00:00,Venus,total,total,total,total,,9.772453750499555,293173612.51498663,116100664.96146676,293173612.51498663,9441643.290653735,0.0322049559974334,,,,,1690971505.1903524,,,,,
10,2022-02-08T00:00:00+00:00,Venus,total,total,total,total,,10.37649175594594,311294752.6783782,123024422.93462633,311294752.6783782,19720938.819034737,0.0633513371149237,,,,,1667619921.7671657,,,,,
11,2022-02-07T00:00:00+00:00,Venus,total,total,total,total,,8.932260611899546,267967818.35698637,105867647.67612152,267967818.35698637,5270361.509048496,0.019667889753938017,,,,,1645662557.2798295,,,,,
12,2022-02-06T00:00:00+00:00,Venus,total,total,total,total,,8.673345412238863,260200362.3671659,103119557.61982569,260200362.3671659,6594807.806583577,0.025345113844529223,,,,,1645662557.2798295,,,,,
13,2022-02-05T00:00:00+00:00,Venus,total,total,total,total,,8.67764328513941,260329298.55418232,102837496.24922988,260329298.55418232,7950263.140458654,0.03053925618289163,,,,,1448081352.7251768,,,,,
14,2022-02-04T00:00:00+00:00,Venus,total,total,total,total,,8.17751336041464,245325400.8124392,96773364.50709987,245325400.8124392,5549986.3265601825,0.022622958357269178,,,,,1448081352.7251768,,,,,
15,2022-02-03T00:00:00+00:00,Venus,total,total,total,total,,7.819743826857381,234592314.80572143,92901618.07843736,234592314.80572143,4614169.0629310785,0.019668884152289137,,,,,1493007400.534927,,,,,
16,2022-02-02T00:00:00+00:00,Venus,total,total,total,total,,8.157754390325659,244732631.70976976,96731782.74058452,244732631.70976976,4322668.524131001,0.01766282041725145,,,,,1493007400.534927,,,,,
17,2022-02-01T00:00:00+00:00,Venus,total,total,total,total,,7.953997746525451,238619932.39576355,94214534.47462554,238619932.39576355,4111307.5511052026,0.017229522738638554,,,,,1452499289.172688,,,,,
18,2022-01-31T00:00:00+00:00,Venus,total,total,total,total,,7.823151471150905,234694544.13452715,92571956.63700533,234694544.13452715,5414039.9731947435,0.023068452627051313,,,,,1461884974.1897118,,,,,
19,2022-01-30T00:00:00+00:00,Venus,total,total,total,total,,8.234185021641853,247025550.64925557,97176916.68366002,247025550.64925557,8139398.0640786085,0.03294962016150104,,,,,1490894123.4019978,,,,,
20,2022-01-29T00:00:00+00:00,Venus,total,total,total,total,,8.428490275873719,252854708.27621156,99439961.48567174,252854708.27621156,7357005.988309662,0.02909578405110444,,,,,1490894123.4019978,,,,,
21,2022-01-28T00:00:00+00:00,Venus,total,total,total,total,,8.436577572772363,253097327.18317088,99363998.04253006,253097327.18317088,9665196.767089568,0.03818766825654662,,,,,1529821458.2052794,,,,,
22,2022-01-27T00:00:00+00:00,Venus,total,total,total,total,,7.944066330625371,238321989.91876113,94305931.02325921,238321989.91876113,10917630.952457797,0.04581042209398883,,,,,1536170047.2679415,,,,,
23,2022-01-26T00:00:00+00:00,Venus,total,total,total,total,,8.006185769085235,240185573.07255706,94378592.59881301,240185573.07255706,8747217.099909557,0.03641857830181637,,,,,1536170047.2679415,,,,,
24,2022-01-25T00:00:00+00:00,Venus,total,total,total,total,,7.953804151787831,238614124.55363494,93949918.31688115,238614124.55363494,24605729.9297267,0.10311933535265597,,,,,1556638126.6794636,,,,,
25,2022-01-24T00:00:00+00:00,Venus,total,total,total,total,,8.197358734272964,245920762.0281889,96283065.637283,245920762.0281889,12694679.926369935,0.051621017362148525,,,,,1511560927.0537524,,,,,
26,2022-01-23T00:00:00+00:00,Venus,total,total,total,total,,7.600190937831094,228005728.13493282,89302239.61772367,228005728.13493282,48884752.830100074,0.214401424165845,,,,,1600281184.6252131,,,,,
27,2022-01-22T00:00:00+00:00,Venus,total,total,total,total,,10.040739349084166,301222180.472525,118348187.59502529,301222180.472525,30633714.849542744,0.10169807150817335,,,,,1870904861.5237544,,,,,
28,2022-01-21T00:00:00+00:00,Venus,total,total,total,total,,11.367918610383104,341037558.3114931,133784929.1068311,341037558.3114931,13895246.350472625,0.04074403540557002,,,,,1870904861.5237544,,,,,
29,2022-01-20T00:00:00+00:00,Venus,total,total,total,total,,12.580716612946171,377421498.3883851,148268585.31308964,377421498.3883851,12090758.371343624,0.032035160749909496,,,,,2011279228.3358738,,,,,
30,2022-01-19T00:00:00+00:00,Venus,total,total,total,total,,13.077800531042925,392334015.93128777,154112073.7683014,392334015.93128777,5955672.771765612,0.015180108096486518,,,,,2009599576.342631,,,,,
31,2022-01-18T00:00:00+00:00,Venus,total,total,total,total,,13.593873590535534,407816207.716066,160117416.03185964,407816207.716066,4362778.044471944,0.010697902540228224,,,,,2028952048.719615,,,,,
32,2022-01-17T00:00:00+00:00,Venus,total,total,total,total,,14.046394634236117,421391839.0270835,165059112.93231955,421391839.0270835,3659154.4099668325,0.008683496145571184,,,,,2024493894.2486231,,,,,
33,2022-01-16T00:00:00+00:00,Venus,total,total,total,total,,14.170851985751256,425125559.57253766,166135761.9568235,425125559.57253766,3985004.3304138253,0.009373711461669662,,,,,2023305750.2586272,,,,,
34,2022-01-15T00:00:00+00:00,Venus,total,total,total,total,,14.02412453827836,420723736.1483508,164651178.1568559,420723736.1483508,4719907.54155203,0.011218543514473236,,,,,2009213931.312389,,,,,
35,2022-01-14T00:00:00+00:00,Venus,total,total,total,total,,13.879990627450116,416399718.8235035,162762304.33588302,416399718.8235035,6460038.928776217,0.015514032879341087,,,,,2009213931.312389,,,,,
36,2022-01-13T00:00:00+00:00,Venus,total,total,total,total,,14.22524893483488,426757468.0450464,166977949.87234083,426757468.0450464,6069376.567378445,0.014222074648586562,,,,,1910831065.2667727,,,,,
37,2022-01-12T00:00:00+00:00,Venus,total,total,total,total,,13.739067277847006,412172018.3354102,161997859.57716462,412172018.3354102,6858387.653901047,0.01663962459557346,,,,,1763984431.0572927,,,,,
38,2022-01-11T00:00:00+00:00,Venus,total,total,total,total,,13.179068667916528,395372060.03749585,154378139.940214,395372060.03749585,9357013.709985772,0.02366635039688536,,,,,1808336147.028813,,,,,
39,2022-01-10T00:00:00+00:00,Venus,total,total,total,total,,14.121230619961546,423636918.5988464,165428547.60299876,423636918.5988464,4928186.044761889,0.011633041947952902,,,,,1785306268.586458,,,,,
40,2022-01-09T00:00:00+00:00,Venus,total,total,total,total,,13.995861646755548,419875849.40266645,164297762.21803433,419875849.40266645,6727937.497201321,0.016023635335951747,,,,,1838917104.1570747,,,,,
41,2022-01-08T00:00:00+00:00,Venus,total,total,total,total,,13.954751721725888,418642551.6517766,163676538.6786947,418642551.6517766,8555359.980252156,0.02043595412481728,,,,,1882229205.7554283,,,,,
42,2022-01-07T00:00:00+00:00,Venus,total,total,total,total,,14.539415183848583,436182455.51545745,170749992.7166801,436182455.51545745,9624640.575013226,0.022065629768715324,,,,,1918282916.4517603,,,,,
43,2022-01-06T00:00:00+00:00,Venus,total,total,total,total,,15.275282483459906,458258474.5037972,179127040.31789336,458258474.5037972,13898127.163948568,0.03032813998474873,,,,,2040946109.2712545,,,,,
