,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.609012205512382,26090122.05512382,22220701.2975124,26090122.05512382,125690.40441845456,0.004817547581912148,,,,,64462474.738565005,,,,,
1,2022-02-17T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.79123056730204,27912305.6730204,23765524.144236747,27912305.6730204,14914.549298166366,0.0005343359833072671,,,,,68243372.47034433,,,,,
2,2022-02-16T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.781835893219498,27818358.932194978,23711651.973488096,27818358.932194978,43349.49169294994,0.001558305139372558,,,,,68349581.93796825,,,,,
3,2022-02-15T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.605728360101855,26057283.60101855,22198934.34735896,26057283.60101855,20326.79195729022,0.0007800810041648266,,,,,65101654.24327054,,,,,
4,2022-02-14T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.558843276641552,25588432.766415518,21792379.666342538,25588432.766415518,78794.4116206371,0.0030792980695579656,,,,,62781004.78205585,,,,,
5,2022-02-13T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.642681521507391,26426815.21507391,22507505.91913205,26426815.21507391,25808.246749746206,0.0009765931513013013,,,,,64355908.71356327,,,,,
6,2022-02-12T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.6619415173031213,26619415.173031215,22636118.792455737,26619415.173031215,200688.5767942547,0.0075391805375791,,,,,65506148.48010592,,,,,
7,2022-02-11T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.8157647805337436,28157647.805337436,23965053.30470357,28157647.805337436,260079.95084117446,0.009236565235817562,,,,,70025883.44603302,,,,,
8,2022-02-10T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.9378378226559985,29378378.226559985,25096887.82195365,29378378.226559985,158219.65601379526,0.005385581695273917,,,,,73822651.07070087,,,,,
9,2022-02-09T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.114629928276177,31146299.28276177,26499816.13022389,31146299.28276177,175339.82127546985,0.0056295555270835474,,,,,73822651.07070087,,,,,
10,2022-02-08T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.406256183832359,34062561.83832359,29043127.294695936,34062561.83832359,139836.41907772535,0.004105281914538682,,,,,75310716.69975585,,,,,
11,2022-02-07T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.1556720504962286,31556720.504962284,26947291.847094294,31556720.504962284,67529.9515104685,0.002139954673041815,,,,,75310716.69975585,,,,,
12,2022-02-06T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.073936696273341,30739366.96273341,26250599.598776083,30739366.96273341,37860.42076963109,0.0012316590909478007,,,,,73790093.56336577,,,,,
13,2022-02-05T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.954472967154558,29544729.671545584,25124267.408581216,29544729.671545584,499064.0638778994,0.016891813512125178,,,,,69125491.0195267,,,,,
14,2022-02-04T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.043126891626967,30431268.916269667,25900121.22477658,30431268.916269667,160436.3863688387,0.0052720899286281,,,,,69125491.0195267,,,,,
15,2022-02-03T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.1654124003721846,31654124.003721848,26962155.47467197,31654124.003721848,86443.27371739168,0.0027308692449434964,,,,,72957430.2396292,,,,,
16,2022-02-02T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.444862278892274,34448622.788922735,29284945.031940676,34448622.788922735,145997.30762623338,0.00423811739937482,,,,,72957430.2396292,,,,,
17,2022-02-01T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.579507551339879,35795075.51339879,30292862.566318266,35795075.51339879,21244.598024836047,0.0005935061658658544,,,,,72414896.89968334,,,,,
18,2022-01-31T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.533253309442931,35332533.09442931,29919851.26910445,35332533.09442931,25874.626903255546,0.0007323173471345325,,,,,70947539.69237433,,,,,
19,2022-01-30T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.4942982004985077,34942982.00498508,29522056.254934143,34942982.00498508,523800.957905239,0.014990161910924256,,,,,70947539.69237433,,,,,
20,2022-01-29T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.629498938833688,36294989.38833688,30681868.997147705,36294989.38833688,229874.75191280458,0.00633351202980853,,,,,70589363.51639089,,,,,
21,2022-01-28T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.2177204765362992,32177204.765362993,27176768.318586413,32177204.765362993,826606.6192246682,0.025689199085262533,,,,,71056588.24519102,,,,,
22,2022-01-27T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.6920136345155234,36920136.34515523,31372568.773089066,36920136.34515523,55712.716866819756,0.0015090062600521936,,,,,70481780.96509007,,,,,
23,2022-01-26T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.676452518311028,36764525.18311028,31056544.603997037,36764525.18311028,78870.18035572465,0.002145279449765825,,,,,70481780.96509007,,,,,
24,2022-01-25T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.314257404712994,33142574.047129937,28420166.483589426,33142574.047129937,98770.39856169731,0.0029801667915486055,,,,,96259824.611909,,,,,
25,2022-01-24T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.6039204269161194,36039204.269161195,31839475.365037106,36039204.269161195,281901.3308811928,0.0078220742271609,,,,,93805726.57130875,,,,,
26,2022-01-23T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.3368778760481144,33368778.760481145,28151284.235712662,33368778.760481145,267713.4229860179,0.008022871466398183,,,,,93805726.57130875,,,,,
27,2022-01-22T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.6734356651016915,36734356.65101691,31209082.59169535,36734356.65101691,396348.6982730513,0.010789591390926924,,,,,135688544.58028135,,,,,
28,2022-01-21T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.126623964202658,41266239.64202657,35030606.517679684,41266239.64202657,330893.906945,0.008018513676443864,,,,,135688544.58028135,,,,,
29,2022-01-20T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.413104465848551,44131044.65848552,37421524.10521796,44131044.65848552,658118.2607210106,0.014912818534298341,,,,,140596204.08163938,,,,,
30,2022-01-19T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.083953123814095,50839531.23814095,40634887.53414851,50839531.23814095,447820.546438155,0.008808510533672861,,,,,143857585.7225399,,,,,
31,2022-01-18T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.033578957885128,50335789.57885128,39985989.76553462,50335789.57885128,329464.4452286829,0.006545331820266276,,,,,149204517.65033093,,,,,
32,2022-01-17T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.356332564501667,53563325.64501667,42254751.67931124,53563325.64501667,201625.2668237908,0.0037642410062443394,,,,,150031578.38342953,,,,,
33,2022-01-16T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.505364351731442,55053643.51731443,43747725.124216154,55053643.51731443,206390.28724513328,0.0037488942431253133,,,,,149747793.14307463,,,,,
34,2022-01-15T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.470171846441517,54701718.46441518,43316537.62042851,54701718.46441518,182637.35469824326,0.0033387864188773775,,,,,148059387.89082956,,,,,
35,2022-01-14T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.365934370435021,53659343.7043502,42667656.209636614,53659343.7043502,246505.92026839647,0.004593904868210531,,,,,148059387.89082956,,,,,
36,2022-01-13T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.564983463380527,55649834.63380527,44149943.32047307,55649834.63380527,132051.29119801737,0.0023728963808600603,,,,,151575824.80856046,,,,,
37,2022-01-12T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.300121849793491,53001218.497934915,42012798.62564619,53001218.497934915,187041.1734651273,0.0035289976111099216,,,,,148918845.0471951,,,,,
38,2022-01-11T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.9986775681158475,49986775.681158476,39558280.29970995,49986775.681158476,396244.8555531403,0.0079269936929038,,,,,151263015.32148284,,,,,
39,2022-01-10T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.1728709370450545,51728709.37045055,41015398.3604798,51728709.37045055,561208.7009791755,0.010849076031650614,,,,,145147220.1603717,,,,,
40,2022-01-09T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.561013782831371,45610137.828313716,36156882.988007106,45610137.828313716,867440.5610530621,0.019018591093021762,,,,,152027421.4220107,,,,,
41,2022-01-08T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.082596326139147,50825963.261391476,40228277.42316893,50825963.261391476,2890926.30445027,0.05687892799163693,,,,,153137694.47831625,,,,,
42,2022-01-07T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.205999194609693,52059991.946096934,41065877.60532335,52059991.946096934,2472652.1001116973,0.04749620596699071,,,,,147052906.50446007,,,,,
43,2022-01-06T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.2416884538920185,32416884.538920186,25653513.382803146,32416884.538920186,690680.239175094,0.02130618808682411,,,,,152782309.54014218,,,,,
44,2022-01-05T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.4898826562263716,34898826.56226372,24908435.021594685,34898826.56226372,76518.73436708417,0.0021925875997740357,,,,,152415383.5150729,,,,,
45,2022-01-04T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.4050254870042838,34050254.87004284,24062177.048855707,34050254.87004284,304646.51517297875,0.008946967249898751,,,,,150431749.18562016,,,,,
46,2022-01-03T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.1468993793949203,31468993.7939492,21861483.010803707,31468993.7939492,37081.099814414854,0.0011783376379051794,,,,,148344127.66501167,,,,,
47,2022-01-02T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.042442613035007,30424426.130350072,20876980.512442086,30424426.130350072,530768.3746918029,0.017445468730216466,,,,,145299100.40349826,,,,,
48,2022-01-01T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.773950431869439,27739504.31869439,19271784.384289693,27739504.31869439,940433.2377603549,0.03390230866982623,,,,,149308861.7068144,,,,,
49,2021-12-31T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.2284635127708583,32284635.127708584,22380308.059522547,32284635.127708584,145479.44993018944,0.004506151280778465,,,,,148009620.95367387,,,,,
50,2021-12-30T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.2445823449480615,32445823.449480616,22592141.83139242,32445823.449480616,395561.21192613355,0.012191436982391198,,,,,151832652.97076306,,,,,
51,2021-12-29T00:00:00+00:00,Vesper Finance,total,total,total,total,,2.977781238798415,29777812.38798415,20674891.72296704,29777812.38798415,1448986.3675966514,0.04865993339998817,,,,,165594076.47024742,,,,,
52,2021-12-28T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.026844859278251,40268448.59278251,27943143.47887636,40268448.59278251,190010.94682011372,0.00471860609137473,,,,,165594567.32299373,,,,,
53,2021-12-27T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.029279438819052,40292794.38819052,27959721.88291843,40292794.38819052,92126.0055513058,0.0022864139097363563,,,,,164463504.74698457,,,,,
54,2021-12-26T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.953923242848839,39539232.42848839,27444445.813792348,39539232.42848839,35461.35184007998,0.0008968649531630701,,,,,163724252.9121383,,,,,
55,2021-12-25T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.8997193286094727,38997193.286094725,27030770.466570526,38997193.286094725,103269.7724726473,0.0026481334621963762,,,,,163724252.9121383,,,,,
56,2021-12-24T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.983378331269134,39833783.31269134,27557517.564590007,39833783.31269134,819824.5972390168,0.020581138146067452,,,,,169342053.59528816,,,,,
57,2021-12-23T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.6268928813316315,46268928.813316315,32116129.53137068,46268928.813316315,440828.10973742785,0.009527519245497561,,,,,170503105.16393328,,,,,
58,2021-12-22T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.633165537307695,46331655.37307695,31953769.76374167,46331655.37307695,822258.0362118531,0.017747219036116337,,,,,162954535.38830313,,,,,
59,2021-12-21T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.7942621550461264,37942621.55046126,26194561.671500325,37942621.55046126,268656.9258010019,0.007080610533030917,,,,,161529700.81455517,,,,,
60,2021-12-20T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.8887064459239364,38887064.45923936,26711563.910517763,38887064.45923936,67611.49823470358,0.0017386629506470613,,,,,166399328.15444347,,,,,
61,2021-12-19T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.995558121992045,39955581.21992045,27242196.591254562,39955581.21992045,412525.40552191,0.010324600291792009,,,,,162028176.81625673,,,,,
62,2021-12-18T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.8861889274879564,38861889.27487957,26716080.869651426,38861889.27487957,448932.0895550824,0.011551988282908142,,,,,162028176.81625673,,,,,
63,2021-12-17T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.8336575864547466,38336575.86454747,26197279.295035414,38336575.86454747,496829.8106565058,0.012959681438736924,,,,,165827695.40958259,,,,,
64,2021-12-16T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.838538881215631,38385388.81215631,26290765.31109638,38385388.81215631,256952.65648227144,0.006694022502668953,,,,,168059562.59178206,,,,,
65,2021-12-15T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.848165430901167,38481654.30901167,26267145.28857369,38481654.30901167,115508.01870734441,0.003001638593284038,,,,,164533176.59504524,,,,,
66,2021-12-14T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.902916889849028,39029168.89849028,26693234.01073956,39029168.89849028,449951.6667880031,0.011528599749542914,,,,,172133985.9929432,,,,,
67,2021-12-13T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.7591828952522097,37591828.9525221,25688236.57923883,37591828.9525221,171909.94416866498,0.004573066779639389,,,,,174613948.0050514,,,,,
68,2021-12-12T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.973127895741156,39731278.957411565,27083355.4201928,39731278.957411565,225717.55696608737,0.005681104733830409,,,,,170769406.56059876,,,,,
69,2021-12-11T00:00:00+00:00,Vesper Finance,total,total,total,total,,3.8026968599065922,38026968.59906592,26075410.752468877,38026968.59906592,218243.16952313323,0.005739168215698741,,,,,170769406.56059876,,,,,
70,2021-12-10T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.061786857226949,40617868.572269484,27893887.258788172,40617868.572269484,313531.8379139078,0.007719061805423274,,,,,190393533.9965796,,,,,
71,2021-12-09T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.560286543807045,45602865.43807045,31102147.25772353,45602865.43807045,301027.0793498538,0.006601056237543981,,,,,185599128.9131794,,,,,
72,2021-12-08T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.463134634270926,44631346.34270926,30401133.426154874,44631346.34270926,470346.99525032926,0.010538489958126989,,,,,185599128.9131794,,,,,
73,2021-12-07T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.421428314443603,44214283.14443603,29003188.220647354,44214283.14443603,381443.34501972323,0.008627152085077385,,,,,185160653.58708218,,,,,
74,2021-12-06T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.233675929787929,42336759.29787929,27191450.48421611,42336759.29787929,808486.5553277599,0.019096562153926085,,,,,182415055.60269985,,,,,
75,2021-12-05T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.257165134613357,42571651.346133575,27881838.7700868,42571651.346133575,472692.11264901434,0.011103447897891914,,,,,182415055.60269985,,,,,
76,2021-12-04T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.835651138048456,48356511.38048456,31658333.778895404,48356511.38048456,304876.19790540065,0.006304759983749382,,,,,207426552.2149413,,,,,
77,2021-12-03T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.203854728062974,52038547.28062974,33985304.29868019,52038547.28062974,435488.14936375874,0.008368568534691976,,,,,207426552.2149413,,,,,
78,2021-12-02T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.702812737935393,47028127.379353926,30779829.369613,47028127.379353926,437758.52612676896,0.009308440512537859,,,,,207174254.71573222,,,,,
79,2021-12-01T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.734313750119131,47343137.5011913,30777698.224290006,47343137.5011913,615406.59898134,0.012998855408893303,,,,,207727807.1013887,,,,,
80,2021-11-30T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.099314084059629,50993140.84059629,32817062.423968796,50993140.84059629,89127.71445149701,0.0017478373165933977,,,,,207727807.1013887,,,,,
81,2021-11-29T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.9035887144530745,49035887.14453074,31462807.432037376,49035887.14453074,630894.3212912593,0.012865971394210344,,,,,203000957.8833891,,,,,
82,2021-11-28T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.96787229389303,49678722.938930295,31914826.567287352,49678722.938930295,291953.9056296147,0.0058768399902008675,,,,,198116655.85580724,,,,,
83,2021-11-27T00:00:00+00:00,Vesper Finance,total,total,total,total,,4.9262075790935596,49262075.7909356,31599195.091343485,49262075.7909356,376900.5286673015,0.007650926653331417,,,,,215855570.72633734,,,,,
84,2021-11-26T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.601414173563064,56014141.73563064,35973525.31435042,56014141.73563064,210542.40153321312,0.0037587365441910706,,,,,215855570.72633734,,,,,
85,2021-11-25T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.425305099036404,54253050.99036404,32892787.261536792,54253050.99036404,373757.2752380465,0.006889147585532656,,,,,210161736.16691715,,,,,
86,2021-11-24T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.495088098036033,54950880.98036033,33274180.891446687,54950880.98036033,177938.3111548498,0.0032381339112369407,,,,,270318778.9746859,,,,,
87,2021-11-23T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.312810663797627,53128106.637976274,32082807.822177824,53128106.637976274,537138.9345308661,0.010110259305700838,,,,,280052533.8970025,,,,,
88,2021-11-22T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.8170828563443475,58170828.563443474,35148658.12797149,58170828.563443474,277411.4462415732,0.004768910003387986,,,,,288533028.9698265,,,,,
89,2021-11-21T00:00:00+00:00,Vesper Finance,total,total,total,total,,6.013868320690626,60138683.20690626,36421749.15038526,60138683.20690626,1669413.9197357607,0.02775940261266058,,,,,286420261.0345181,,,,,
90,2021-11-20T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.798372087218999,57983720.87218999,34532637.19673745,57983720.87218999,773733.7547232795,0.013343982467575236,,,,,286420261.0345181,,,,,
91,2021-11-19T00:00:00+00:00,Vesper Finance,total,total,total,total,,5.595382784011521,55953827.84011521,31113474.515028484,55953827.84011521,804774.702970316,0.014382835527712468,,,,,293805853.07243073,,,,,
92,2021-11-18T00:00:00+00:00,Vesper Finance,total,total,total,total,,6.2841982395711975,62841982.39571197,34854161.71430424,62841982.39571197,277505.368025597,0.00441592320048345,,,,,288193023.0779098,,,,,
93,2021-11-17T00:00:00+00:00,Vesper Finance,total,total,total,total,,6.166082654727171,61660826.54727171,34348249.422107555,61660826.54727171,859705.79362557,0.013942495450762152,,,,,303060615.0675341,,,,,
94,2021-11-16T00:00:00+00:00,Vesper Finance,total,total,total,total,,6.517701603992795,65177016.03992795,36292640.82541512,65177016.03992795,281525.6947321243,0.0043194014061591806,,,,,317825446.78809845,,,,,
95,2021-11-15T00:00:00+00:00,Vesper Finance,total,total,total,total,,6.79163431198204,67916343.1198204,37635318.777829066,67916343.1198204,272422.8162154345,0.004011152598938029,,,,,314844415.74384594,,,,,
96,2021-11-14T00:00:00+00:00,Vesper Finance,total,total,total,total,,7.101385373337376,71013853.73337376,39446683.227992155,71013853.73337376,376396.91547963803,0.0053003307902827704,,,,,318007132.23868567,,,,,
97,2021-11-13T00:00:00+00:00,Vesper Finance,total,total,total,total,,7.101385373337376,71013853.73337376,39446683.227992155,71013853.73337376,376396.91547963803,0.0053003307902827704,,,,,318007132.23868567,,,,,
98,2021-11-12T00:00:00+00:00,Vesper Finance,total,total,total,total,,7.043274085139857,70432740.85139857,39265716.44409831,70432740.85139857,382034.05398619646,0.005424097505906026,,,,,315339303.5387084,,,,,
