,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1645879.300112329,,,,,
1,2022-02-17T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1648518.848235444,,,,,
2,2022-02-16T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1644252.530882764,,,,,
3,2022-02-15T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1644143.0896508642,,,,,
4,2022-02-14T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1657663.2016772476,,,,,
5,2022-02-13T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1655597.6535696727,,,,,
6,2022-02-12T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1654390.9822098531,,,,,
7,2022-02-11T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1654905.694685695,,,,,
8,2022-02-10T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1652215.54861482,,,,,
9,2022-02-09T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1646549.289147276,,,,,
10,2022-02-08T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1642143.271571496,,,,,
11,2022-02-07T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1642143.271571496,,,,,
12,2022-02-06T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1633047.811664496,,,,,
13,2022-02-05T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1623161.2405379226,,,,,
14,2022-02-04T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1623161.2405379226,,,,,
15,2022-02-03T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1609868.3530474717,,,,,
16,2022-02-02T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1609868.3530474717,,,,,
17,2022-02-01T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1601571.9598074742,,,,,
18,2022-01-31T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1596238.951642445,,,,,
19,2022-01-30T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1597124.1167072179,,,,,
20,2022-01-29T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1597124.1167072179,,,,,
21,2022-01-28T00:00:00+00:00,Volmex,total,total,total,total,,,,,,,,,,,,1547489.0726603975,,,,,
