,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,11213.818527108382,33.64145558132514,22.42763705421676,11.21381852710838,
1,2022-02-17T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,12586.738733911434,37.76021620173431,25.173477467822867,12.586738733911433,
2,2022-02-16T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,9499.855958832773,28.499567876498325,18.99971191766555,9.499855958832775,
3,2022-02-15T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,9113.698134246928,27.341094402740783,18.22739626849386,9.11369813424693,
4,2022-02-14T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,18064.093637918137,54.1922809137544,36.12818727583626,18.06409363791813,
5,2022-02-13T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,11953.9008474351,35.861702542305295,23.907801694870198,11.953900847435099,
6,2022-02-12T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,27445.981100722212,82.33794330216665,54.891962201444436,27.445981100722218,
7,2022-02-11T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,13688.749824576835,41.0662494737305,27.377499649153673,13.688749824576837,
8,2022-02-10T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,29732.042288092067,89.19612686427622,59.464084576184135,29.732042288092067,
9,2022-02-09T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,16547.60259953237,49.64280779859709,33.095205199064736,16.547602599532368,
10,2022-02-08T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,22096.050695291124,66.28815208587339,44.19210139058226,22.09605069529113,
11,2022-02-07T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,15612.53018536556,46.83759055609668,31.225060370731118,15.612530185365559,
12,2022-02-06T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,11445.801716802633,34.337405150407896,22.891603433605265,11.445801716802633,
13,2022-02-05T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,9776.951856121628,29.330855568364893,19.553903712243255,9.776951856121627,
14,2022-02-04T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,12150.254523754138,36.45076357126242,24.300509047508275,12.150254523754137,
15,2022-02-03T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,12809.73661475137,38.4292098442541,25.619473229502738,12.809736614751369,
16,2022-02-02T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,29512.220663950597,88.53666199185177,59.0244413279012,29.5122206639506,
17,2022-02-01T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,19853.215441271685,59.55964632381505,39.70643088254337,19.853215441271686,
18,2022-01-31T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,19703.14804750314,59.10944414250942,39.406296095006276,19.703148047503138,
19,2022-01-30T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,19326.076086807578,57.97822826042271,38.65215217361514,19.32607608680757,
20,2022-01-29T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,19198.87099715183,57.59661299145547,38.39774199430366,19.19887099715183,
21,2022-01-28T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,27932.168429843292,83.79650528952988,55.86433685968658,27.93216842984329,
22,2022-01-27T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,42886.22218092312,128.65866654276937,85.77244436184623,42.88622218092311,
23,2022-01-26T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,39245.85205880676,117.7375561764203,78.49170411761352,39.24585205880676,
24,2022-01-25T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,34048.626187862756,102.14587856358824,68.0972523757255,34.04862618786275,
25,2022-01-24T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,50466.49685368254,151.39949056104757,100.93299370736506,50.46649685368253,
26,2022-01-23T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,53943.78173487542,161.83134520462622,107.88756346975082,53.94378173487541,
27,2022-01-22T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,72480.9173189586,217.44275195687578,144.96183463791718,72.48091731895859,
28,2022-01-21T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,54554.51424330495,163.6635427299149,109.10902848660993,54.554514243304965,
29,2022-01-20T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,42197.1372450838,126.59141173525138,84.39427449016762,42.19713724508381,
30,2022-01-19T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,48413.724470452275,145.24117341135678,96.82744894090456,48.41372447045228,
31,2022-01-18T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,53742.86358822965,161.22859076468893,107.48572717645929,53.742863588229646,
32,2022-01-17T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,48172.81079374643,144.5184323812393,96.34562158749284,48.17281079374642,
33,2022-01-16T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,48339.30541343051,145.01791624029158,96.67861082686106,48.33930541343053,
34,2022-01-15T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,30510.659068369463,91.53197720510839,61.02131813673891,30.510659068369456,
35,2022-01-14T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,71505.10579328188,214.51531737984567,143.0102115865638,71.5051057932819,
36,2022-01-13T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,91396.49818114727,274.18949454344187,182.7929963622946,91.3964981811473,
37,2022-01-12T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,69948.67040562003,209.84601121686015,139.89734081124007,69.94867040562004,
38,2022-01-11T00:00:00+00:00,WakaSwap,total,total,total,total,,,,,,,,,,,,,38457.54512975791,115.37263538927375,76.91509025951584,38.45754512975792,
