,datetime,project,business_type,business_line,version,chain,component,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol,token_incentives
0,2022-02-18T00:00:00+00:00,Yield Yak,total,total,total,total,,2665.284865858188,26652848.65858188,22933290.805881537,26652848.65858188,177814.7813138336,0.006671511311665348,,,,,,,,,,
1,2022-02-17T00:00:00+00:00,Yield Yak,total,total,total,total,,3053.4405060310514,30534405.060310513,26241562.27494765,30534405.060310513,233723.64301171497,0.007654435793003729,,,,,,,,,,
2,2022-02-16T00:00:00+00:00,Yield Yak,total,total,total,total,,3021.8219396204217,30218219.39620422,25937405.13309827,30218219.39620422,491612.39527522586,0.016268741345394376,,,,,,,,,,
3,2022-02-15T00:00:00+00:00,Yield Yak,total,total,total,total,,2459.8864614232157,24598864.614232156,21101384.929523863,24598864.614232156,155911.3018215998,0.006338150327938073,,,,,,,,,,
4,2022-02-14T00:00:00+00:00,Yield Yak,total,total,total,total,,2178.852822530229,21788528.22530229,18699761.746085778,21788528.22530229,263478.49587168545,0.012092532967220643,,,,,,,,,,
5,2022-02-13T00:00:00+00:00,Yield Yak,total,total,total,total,,2298.8318229835554,22988318.229835555,19707443.10784286,22988318.229835555,73644.29489253578,0.003203552959213693,,,,,,,,,,
6,2022-02-12T00:00:00+00:00,Yield Yak,total,total,total,total,,2406.7073754984863,24067073.754984863,19397807.68635106,24067073.754984863,84860.02513034058,0.0035259801833101563,,,,,,,,,,
7,2022-02-11T00:00:00+00:00,Yield Yak,total,total,total,total,,2596.247537467415,25962475.37467415,20983665.970303047,25962475.37467415,155588.77590841427,0.00599283287371696,,,,,,,,,,
8,2022-02-10T00:00:00+00:00,Yield Yak,total,total,total,total,,2634.529603628371,26345296.036283713,21285038.796386015,26345296.036283713,260161.67223292962,0.009875071127484215,,,,,,,,,,
9,2022-02-09T00:00:00+00:00,Yield Yak,total,total,total,total,,2813.052244892864,28130522.44892864,22691263.43210864,28130522.44892864,338091.3965045239,0.01201866752095819,,,,,,,,,,
10,2022-02-08T00:00:00+00:00,Yield Yak,total,total,total,total,,2857.5290534072933,28575290.53407293,23071692.432872932,28575290.53407293,361392.81943126046,0.012647039196341286,,,,,343002367.12915283,,,,,
11,2022-02-07T00:00:00+00:00,Yield Yak,total,total,total,total,,2732.651915667488,27326519.15667488,22081138.15762275,27326519.15667488,79244.90083872437,0.0028999266384561718,,,,,322115986.4255283,,,,,
12,2022-02-06T00:00:00+00:00,Yield Yak,total,total,total,total,,2757.2378834025517,27572378.834025517,22343843.99501277,27572378.834025517,375096.85227403085,0.013604080175017217,,,,,322115986.4255283,,,,,
13,2022-02-05T00:00:00+00:00,Yield Yak,total,total,total,total,,2598.1417967990096,25981417.967990097,20817016.233369593,25981417.967990097,193800.8552832125,0.007459210098616676,,,,,291591502.3700183,,,,,
